Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Bethune-Cookman (MEAC),12,9-3,717,2850,3.97,28,31,237.5
Norfolk St. (MEAC),12,4-8,743,3015,4.06,20,24,251.3
Stony Brook (CAA),12,5-7,746,3280,4.40,19,21,273.3
Chattanooga (SoCon),14,10-4,845,3887,4.60,36,37,277.6
North Dakota St. (MVFC),16,15-1,966,4486,4.64,25,27,280.4
Wagner (NEC),11,7-4,708,3094,4.37,24,26,281.3
Southeastern La. (Southland),13,9-4,932,3811,4.09,28,30,293.2
Sacred Heart (NEC),12,9-3,825,3534,4.28,29,31,294.5
Bryant (NEC),11,8-3,704,3299,4.69,21,22,299.9
Bucknell (Patriot),11,8-3,717,3326,4.64,31,31,302.4
Tennessee St. (OVC),12,6-6,825,3639,4.41,30,36,303.3
Harvard (Ivy League),10,10-0,705,3065,4.35,14,15,306.5
Samford (SoCon),11,7-4,762,3440,4.51,26,28,312.7
UNI (MVFC),14,9-5,965,4406,4.57,34,36,314.7
Maine (CAA),11,5-6,752,3484,4.63,26,29,316.7
N.C. A&T (MEAC),12,9-3,835,3806,4.56,20,21,317.2
Jacksonville St. (OVC),12,10-2,801,3809,4.76,29,32,317.4
Drake (Pioneer),11,7-4,704,3498,4.97,27,29,318.0
Alcorn (SWAC),13,10-3,889,4157,4.68,27,32,319.8
Duquesne (NEC),12,6-6,813,3907,4.81,28,31,325.6
Charleston So. (Big South),12,8-4,689,3908,5.67,32,33,325.7
Marist (Pioneer),11,4-7,804,3609,4.49,23,27,328.1
Wofford (SoCon),11,6-5,707,3627,5.13,30,31,329.7
McNeese (Southland),11,6-5,728,3632,4.99,31,31,330.2
South Carolina St. (MEAC),12,8-4,849,3997,4.71,28,31,333.1
Jacksonville (Pioneer),11,9-2,782,3684,4.71,23,25,334.9
Saint Francis (PA) (NEC),11,5-6,723,3709,5.13,41,42,337.2
Fordham (Patriot),14,11-3,979,4774,4.88,40,42,341.0
Dayton (Pioneer),11,8-3,797,3774,4.74,32,34,343.1
Illinois St. (MVFC),15,13-2,1019,5178,5.08,38,41,345.2
Lafayette (Patriot),11,5-6,762,3823,5.02,29,29,347.5
Central Conn. St. (NEC),12,3-9,836,4192,5.01,39,39,349.3
Richmond (CAA),14,9-5,963,4932,5.12,39,44,352.3
North Dakota (Big Sky),12,5-7,818,4253,5.20,35,40,354.4
Texas Southern (SWAC),11,5-6,731,3903,5.34,37,38,354.8
Villanova (CAA),14,11-3,956,4975,5.20,38,39,355.4
Towson (CAA),12,4-8,822,4278,5.20,41,44,356.5
Morgan St. (MEAC),13,7-6,963,4662,4.84,42,44,358.6
Montana (Big Sky),14,9-5,998,5032,5.04,33,36,359.4
Lamar University (Southland),12,8-4,848,4315,5.09,43,46,359.6
UAlbany (CAA),12,7-5,813,4321,5.31,37,37,360.1
Eastern Ill. (OVC),12,5-7,852,4338,5.09,34,37,361.5
New Hampshire (CAA),14,12-2,990,5126,5.18,37,37,366.1
San Diego (Pioneer),12,9-3,857,4395,5.13,41,44,366.3
Jackson St. (SWAC),12,5-7,826,4402,5.33,36,41,366.8
Florida A&M (MEAC),12,3-9,754,4412,5.85,34,38,367.7
N.C. Central (MEAC),12,7-5,823,4424,5.38,39,41,368.7
Brown (Ivy League),10,5-5,698,3715,5.32,29,30,371.5
Georgetown (Patriot),11,3-8,765,4127,5.39,29,31,375.2
