Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Coastal Carolina (Big South),14,12-2,12,15,0.800
Northwestern St. (Southland),12,6-6,12,16,0.750
Richmond (CAA),14,9-5,9,12,0.750
Illinois St. (MVFC),15,13-2,8,11,0.727
Montana St. (Big Sky),13,8-5,21,29,0.724
Holy Cross (Patriot),12,4-8,18,26,0.692
Ark.-Pine Bluff (SWAC),11,4-7,11,16,0.688
UAlbany (CAA),12,7-5,11,16,0.688
Northern Ariz. (Big Sky),12,7-5,11,16,0.688
Liberty (Big South),14,9-5,15,22,0.682
Lamar University (Southland),12,8-4,17,25,0.680
Eastern Wash. (Big Sky),14,11-3,21,31,0.677
Villanova (CAA),14,11-3,16,24,0.667
Southeast Mo. St. (OVC),12,5-7,12,18,0.667
Western Caro. (SoCon),12,7-5,12,18,0.667
Idaho St. (Big Sky),12,8-4,12,18,0.667
Northern Colo. (Big Sky),11,3-8,8,12,0.667
Cal Poly (Big Sky),12,7-5,23,35,0.657
Campbell (Pioneer),12,5-7,13,20,0.650
Fordham (Patriot),14,11-3,13,20,0.650
Chattanooga (SoCon),14,10-4,9,14,0.643
New Hampshire (CAA),14,12-2,14,22,0.636
North Dakota St. (MVFC),16,15-1,7,11,0.636
Lehigh (Patriot),11,3-8,19,30,0.633
Columbia (Ivy League),10,0-10,17,27,0.630
Alcorn (SWAC),13,10-3,16,26,0.615
Central Ark. (Southland),12,6-6,17,28,0.607
Valparaiso (Pioneer),12,4-8,21,35,0.600
Montana (Big Sky),14,9-5,9,15,0.600
Sam Houston (Southland),16,11-5,13,22,0.591
Indiana St. (MVFC),14,8-6,10,17,0.588
Jacksonville (Pioneer),11,9-2,10,17,0.588
Elon (CAA),12,1-11,17,29,0.586
Wofford (SoCon),11,6-5,18,31,0.581
Yale (Ivy League),10,8-2,11,19,0.579
Morgan St. (MEAC),13,7-6,12,21,0.571
Bucknell (Patriot),11,8-3,8,14,0.571
Southern U. (SWAC),13,9-4,10,18,0.556
Portland St. (Big Sky),12,3-9,10,18,0.556
Davidson (Pioneer),12,1-11,17,31,0.548
Bryant (NEC),11,8-3,17,31,0.548
Youngstown St. (MVFC),12,7-5,7,13,0.538
Colgate (Patriot),12,5-7,11,21,0.524
Houston Christian (Southland),11,2-9,11,21,0.524
Delaware (CAA),12,6-6,11,21,0.524
Tennessee St. (OVC),12,6-6,12,23,0.522
Penn (Ivy League),10,2-8,13,25,0.520
Howard (MEAC),12,5-7,13,25,0.520
James Madison (CAA),13,9-4,13,25,0.520
UT Martin (OVC),12,6-6,13,25,0.520
The Citadel (SoCon),12,5-7,16,31,0.516
Morehead St. (Pioneer),12,4-8,21,41,0.512
Bethune-Cookman (MEAC),12,9-3,12,24,0.500
Jacksonville St. (OVC),12,10-2,10,20,0.500
Sacramento St. (Big Sky),12,7-5,9,18,0.500
Harvard (Ivy League),10,10-0,9,18,0.500
Saint Francis (PA) (NEC),11,5-6,7,14,0.500
North Dakota (Big Sky),12,5-7,7,14,0.500
Missouri St. (MVFC),12,4-8,7,14,0.500
Monmouth (Big South),11,6-5,7,14,0.500
William & Mary (CAA),12,7-5,5,10,0.500
Eastern Ill. (OVC),12,5-7,15,31,0.484
Murray St. (OVC),12,3-9,14,29,0.483
Hampton (MEAC),12,3-9,11,23,0.478
Princeton (Ivy League),10,5-5,9,19,0.474
Charleston So. (Big South),12,8-4,8,17,0.471
Dayton (Pioneer),11,8-3,8,17,0.471
Southern Ill. (MVFC),12,6-6,7,15,0.467
Drake (Pioneer),11,7-4,11,24,0.458
UNI (MVFC),14,9-5,5,11,0.455
Maine (CAA),11,5-6,9,20,0.450
Grambling (SWAC),12,7-5,9,20,0.450
Lafayette (Patriot),11,5-6,12,27,0.444
Alabama A&M (SWAC),12,4-8,14,32,0.438
Southeastern La. (Southland),13,9-4,14,32,0.438
Tennessee Tech (OVC),12,5-7,7,16,0.438
N.C. A&T (MEAC),12,9-3,7,16,0.438
SFA (),13,8-5,10,23,0.435
Central Conn. St. (NEC),12,3-9,13,30,0.433
Western Ill. (MVFC),12,5-7,12,28,0.429
Jackson St. (SWAC),12,5-7,9,21,0.429
Gardner-Webb (Big South),12,4-8,6,14,0.429
Florida A&M (MEAC),12,3-9,5,12,0.417
Samford (SoCon),11,7-4,5,12,0.417
