Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Bethune-Cookman (MEAC),12,9-3,40,160,0.250
Sacred Heart (NEC),12,9-3,52,198,0.263
Stony Brook (CAA),12,5-7,48,174,0.276
Jacksonville St. (OVC),12,10-2,48,171,0.281
Bryant (NEC),11,8-3,45,158,0.285
UNI (MVFC),14,9-5,62,216,0.287
N.C. Central (MEAC),12,7-5,46,156,0.295
Lafayette (Patriot),11,5-6,48,162,0.296
Dayton (Pioneer),11,8-3,51,171,0.298
Tennessee St. (OVC),12,6-6,54,179,0.302
Chattanooga (SoCon),14,10-4,59,193,0.306
Texas Southern (SWAC),11,5-6,46,148,0.311
Norfolk St. (MEAC),12,4-8,56,179,0.313
N.C. A&T (MEAC),12,9-3,56,179,0.313
Southeastern La. (Southland),13,9-4,67,210,0.319
Maine (CAA),11,5-6,51,159,0.321
Wagner (NEC),11,7-4,53,165,0.321
North Dakota St. (MVFC),16,15-1,71,221,0.321
Charleston So. (Big South),12,8-4,46,143,0.322
South Carolina St. (MEAC),12,8-4,60,186,0.323
McNeese (Southland),11,6-5,52,161,0.323
Alcorn (SWAC),13,10-3,64,196,0.327
Samford (SoCon),11,7-4,56,171,0.327
Northern Ariz. (Big Sky),12,7-5,52,158,0.329
Villanova (CAA),14,11-3,66,200,0.330
Robert Morris (NEC),11,1-10,55,166,0.331
Harvard (Ivy League),10,10-0,55,163,0.337
Lamar University (Southland),12,8-4,60,177,0.339
Grambling (SWAC),12,7-5,64,188,0.340
Duquesne (NEC),12,6-6,65,188,0.346
SFA (),13,8-5,66,189,0.349
Illinois St. (MVFC),15,13-2,78,223,0.350
Fordham (Patriot),14,11-3,78,221,0.353
Gardner-Webb (Big South),12,4-8,62,175,0.354
Saint Francis (PA) (NEC),11,5-6,54,152,0.355
Drake (Pioneer),11,7-4,56,156,0.359
Florida A&M (MEAC),12,3-9,55,152,0.362
Delaware St. (MEAC),12,2-10,59,163,0.362
San Diego (Pioneer),12,9-3,66,182,0.363
Valparaiso (Pioneer),12,4-8,61,167,0.365
Butler (Pioneer),11,4-7,61,167,0.365
Alabama A&M (SWAC),12,4-8,63,172,0.366
Coastal Carolina (Big South),14,12-2,77,210,0.367
Stetson (Pioneer),12,5-7,62,169,0.367
Richmond (CAA),14,9-5,74,201,0.368
Central Conn. St. (NEC),12,3-9,69,187,0.369
Eastern Ill. (OVC),12,5-7,68,184,0.370
Brown (Ivy League),10,5-5,51,138,0.370
Prairie View (SWAC),10,5-5,56,151,0.371
Morehead St. (Pioneer),12,4-8,59,159,0.371
Alabama St. (SWAC),11,7-5,69,185,0.373
Bucknell (Patriot),11,8-3,60,160,0.375
Jacksonville (Pioneer),11,9-2,65,173,0.376
New Hampshire (CAA),14,12-2,79,210,0.376
North Dakota (Big Sky),12,5-7,64,170,0.376
Sam Houston (Southland),16,11-5,97,256,0.379
Portland St. (Big Sky),12,3-9,67,176,0.381
Princeton (Ivy League),10,5-5,68,178,0.382
South Dakota St. (MVFC),14,9-5,72,188,0.383
Marist (Pioneer),11,4-7,66,172,0.384
Presbyterian (Big South),11,6-5,59,153,0.386
Georgetown (Patriot),11,3-8,60,155,0.387
Campbell (Pioneer),12,5-7,67,173,0.387
Elon (CAA),12,1-11,67,173,0.387
Mississippi Val. (SWAC),11,2-9,57,147,0.388
Youngstown St. (MVFC),12,7-5,64,165,0.388
Western Ill. (MVFC),12,5-7,70,180,0.389
Howard (MEAC),12,5-7,62,159,0.390
Eastern Ky. (OVC),13,9-4,88,225,0.391
