Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Hampton (MEAC),12,3-9,33,476,0,14.42
Charleston So. (Big South),12,8-4,57,862,0,15.12
Savannah St. (MEAC),12,0-12,21,318,0,15.14
Butler (Pioneer),11,4-7,43,654,0,15.21
Alcorn (SWAC),13,10-3,68,1044,0,15.35
Penn (Ivy League),10,2-8,35,540,0,15.43
South Carolina St. (MEAC),12,8-4,52,833,0,16.02
Southeastern La. (Southland),13,9-4,80,1282,0,16.03
UT Martin (OVC),12,6-6,45,730,0,16.22
Duquesne (NEC),12,6-6,44,721,0,16.39
N.C. A&T (MEAC),12,9-3,60,986,1,16.43
Southern Utah (Big Sky),12,3-9,13,215,0,16.54
Yale (Ivy League),10,8-2,53,883,1,16.66
Sacred Heart (NEC),12,9-3,47,784,1,16.68
Holy Cross (Patriot),12,4-8,41,684,0,16.68
Delaware (CAA),12,6-6,44,741,0,16.84
Towson (CAA),12,4-8,34,585,0,17.21
New Hampshire (CAA),14,12-2,82,1414,0,17.24
Princeton (Ivy League),10,5-5,45,784,0,17.42
The Citadel (SoCon),12,5-7,46,802,0,17.43
Gardner-Webb (Big South),12,4-8,39,680,0,17.44
Valparaiso (Pioneer),12,4-8,48,846,0,17.63
Northern Ariz. (Big Sky),12,7-5,24,423,0,17.63
Coastal Carolina (Big South),14,12-2,79,1396,1,17.67
Campbell (Pioneer),12,5-7,46,814,0,17.70
Northern Colo. (Big Sky),11,3-8,41,727,0,17.73
N.C. Central (MEAC),12,7-5,48,860,0,17.92
Norfolk St. (MEAC),12,4-8,28,504,0,18.00
Monmouth (Big South),11,6-5,40,723,1,18.08
Sam Houston (Southland),16,11-5,75,1364,0,18.19
Texas Southern (SWAC),11,5-6,38,693,0,18.24
Southeast Mo. St. (OVC),12,5-7,36,659,0,18.31
Dartmouth (Ivy League),10,8-2,44,811,0,18.43
Western Caro. (SoCon),12,7-5,50,922,0,18.44
Jackson St. (SWAC),12,5-7,55,1020,1,18.55
Dayton (Pioneer),11,8-3,52,966,0,18.58
Northwestern St. (Southland),12,6-6,45,837,0,18.60
UAlbany (CAA),12,7-5,54,1007,0,18.65
Brown (Ivy League),10,5-5,49,914,0,18.65
South Dakota St. (MVFC),14,9-5,60,1122,2,18.70
Southern Ill. (MVFC),12,6-6,34,636,0,18.71
Davidson (Pioneer),12,1-11,47,885,1,18.83
Villanova (CAA),14,11-3,67,1262,0,18.84
Florida A&M (MEAC),12,3-9,37,699,1,18.89
Bryant (NEC),11,8-3,43,813,0,18.91
Central Ark. (Southland),12,6-6,75,1429,0,19.05
North Dakota St. (MVFC),16,15-1,57,1092,1,19.16
Lafayette (Patriot),11,5-6,40,768,0,19.20
Presbyterian (Big South),11,6-5,32,615,0,19.22
Rhode Island (CAA),12,1-11,30,577,0,19.23
Jacksonville St. (OVC),12,10-2,54,1047,0,19.39
Alabama St. (SWAC),11,7-5,55,1069,0,19.44
Illinois St. (MVFC),15,13-2,71,1383,1,19.48
McNeese (Southland),11,6-5,44,860,0,19.55
Harvard (Ivy League),10,10-0,42,824,0,19.62
Eastern Ill. (OVC),12,5-7,58,1147,1,19.78
Georgetown (Patriot),11,3-8,33,653,0,19.79
UNI (MVFC),14,9-5,60,1194,0,19.90
Samford (SoCon),11,7-4,48,958,0,19.96
Austin Peay (OVC),12,1-11,22,440,0,20.00
Western Ill. (MVFC),12,5-7,46,923,0,20.07
Tennessee St. (OVC),12,6-6,42,847,0,20.17
Idaho St. (Big Sky),12,8-4,49,989,1,20.18
VMI (SoCon),12,2-10,38,767,0,20.18
Cal Poly (Big Sky),12,7-5,52,1052,1,20.23
Central Conn. St. (NEC),12,3-9,43,872,0,20.28
Lehigh (Patriot),11,3-8,44,894,0,20.32
Grambling (SWAC),12,7-5,61,1241,1,20.34
South Dakota (MVFC),12,2-10,40,814,0,20.35
Robert Morris (NEC),11,1-10,22,448,0,20.36
Drake (Pioneer),11,7-4,35,716,0,20.46
Mercer (SoCon),12,6-6,58,1187,0,20.47
Morgan St. (MEAC),13,7-6,47,964,1,20.51
Colgate (Patriot),12,5-7,50,1030,2,20.60
Columbia (Ivy League),10,0-10,19,392,0,20.63
Marist (Pioneer),11,4-7,30,622,0,20.73
UC Davis (Big Sky),11,2-9,48,1000,0,20.83
Youngstown St. (MVFC),12,7-5,36,750,0,20.83
Eastern Wash. (Big Sky),14,11-3,81,1689,0,20.85
James Madison (CAA),13,9-4,64,1342,0,20.97
Furman (SoCon),12,3-9,30,633,0,21.10
Stony Brook (CAA),12,5-7,39,827,0,21.21
Lamar University (Southland),12,8-4,74,1573,1,21.26
William & Mary (CAA),12,7-5,40,851,0,21.28
SFA (),13,8-5,57,1218,0,21.37
Fordham (Patriot),14,11-3,91,1947,0,21.40
Murray St. (OVC),12,3-9,50,1071,1,21.42
Morehead St. (Pioneer),12,4-8,50,1073,2,21.46
Chattanooga (SoCon),14,10-4,55,1185,1,21.55
Indiana St. (MVFC),14,8-6,50,1088,0,21.76
