Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Sacred Heart (NEC),12,9-3,34,2,11,3,16,0.471
Presbyterian (Big South),11,6-5,35,13,2,6,21,0.600
Stony Brook (CAA),12,5-7,28,6,1,10,17,0.607
Norfolk St. (MEAC),12,4-8,34,7,6,9,22,0.647
N.C. A&T (MEAC),12,9-3,39,9,9,8,26,0.667
Southeastern La. (Southland),13,9-4,42,17,6,5,28,0.667
Alcorn (SWAC),13,10-3,43,10,10,9,29,0.674
Duquesne (NEC),12,6-6,41,11,7,10,28,0.683
Dartmouth (Ivy League),10,8-2,38,13,8,5,26,0.684
Alabama A&M (SWAC),12,4-8,48,23,6,4,33,0.688
Alabama St. (SWAC),11,7-5,43,15,6,9,30,0.698
Butler (Pioneer),11,4-7,41,7,13,9,29,0.707
Montana (Big Sky),14,9-5,48,12,10,12,34,0.708
Fordham (Patriot),14,11-3,49,13,11,11,35,0.714
Harvard (Ivy League),10,10-0,28,8,5,7,20,0.714
Brown (Ivy League),10,5-5,32,10,8,5,23,0.719
Central Conn. St. (NEC),12,3-9,50,12,17,7,36,0.720
Eastern Ky. (OVC),13,9-4,51,13,13,11,37,0.725
Marist (Pioneer),11,4-7,44,12,9,11,32,0.727
South Carolina St. (MEAC),12,8-4,33,10,7,7,24,0.727
UC Davis (Big Sky),11,2-9,48,19,7,9,35,0.729
Southeast Mo. St. (OVC),12,5-7,48,17,14,4,35,0.729
Bryant (NEC),11,8-3,26,8,6,5,19,0.731
Florida A&M (MEAC),12,3-9,56,21,7,13,41,0.732
Yale (Ivy League),10,8-2,30,12,4,6,22,0.733
Campbell (Pioneer),12,5-7,47,23,5,7,35,0.745
Grambling (SWAC),12,7-5,59,24,11,9,44,0.746
Western Caro. (SoCon),12,7-5,44,16,6,11,33,0.750
Wagner (NEC),11,7-4,28,8,7,6,21,0.750
Maine (CAA),11,5-6,36,12,8,7,27,0.750
UNI (MVFC),14,9-5,36,13,8,6,27,0.750
Rhode Island (CAA),12,1-11,52,18,11,10,39,0.750
Jacksonville (Pioneer),11,9-2,28,10,6,5,21,0.750
Indiana St. (MVFC),14,8-6,53,18,7,15,40,0.755
Penn (Ivy League),10,2-8,41,11,12,8,31,0.756
Eastern Ill. (OVC),12,5-7,41,15,8,8,31,0.756
San Diego (Pioneer),12,9-3,37,12,10,6,28,0.757
Chattanooga (SoCon),14,10-4,33,16,5,4,25,0.758
Idaho St. (Big Sky),12,8-4,46,18,11,6,35,0.761
Georgetown (Patriot),11,3-8,42,17,5,10,32,0.762
Coastal Carolina (Big South),14,12-2,38,9,11,9,29,0.763
South Dakota St. (MVFC),14,9-5,51,24,8,7,39,0.765
