Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Sacred Heart (NEC),12,9-3,6,26,0.231
Tennessee St. (OVC),12,6-6,5,20,0.250
Wofford (SoCon),11,6-5,5,19,0.263
Wagner (NEC),11,7-4,4,15,0.267
Saint Francis (PA) (NEC),11,5-6,3,11,0.273
Bryant (NEC),11,8-3,6,20,0.300
Stony Brook (CAA),12,5-7,4,13,0.308
Jackson St. (SWAC),12,5-7,5,15,0.333
Alabama A&M (SWAC),12,4-8,8,24,0.333
Columbia (Ivy League),10,0-10,5,15,0.333
Sam Houston (Southland),16,11-5,8,23,0.348
Jacksonville St. (OVC),12,10-2,6,17,0.353
Charleston So. (Big South),12,8-4,4,11,0.364
Tennessee Tech (OVC),12,5-7,7,19,0.368
Harvard (Ivy League),10,10-0,7,19,0.368
N.C. A&T (MEAC),12,9-3,7,19,0.368
Idaho St. (Big Sky),12,8-4,9,24,0.375
Alcorn (SWAC),13,10-3,9,24,0.375
UNI (MVFC),14,9-5,6,16,0.375
Hampton (MEAC),12,3-9,7,18,0.389
Valparaiso (Pioneer),12,4-8,11,28,0.393
Rhode Island (CAA),12,1-11,6,15,0.400
Norfolk St. (MEAC),12,4-8,6,15,0.400
Indiana St. (MVFC),14,8-6,9,22,0.409
Howard (MEAC),12,5-7,9,22,0.409
Southern Ill. (MVFC),12,6-6,7,17,0.412
Southeastern La. (Southland),13,9-4,14,34,0.412
Marist (Pioneer),11,4-7,10,24,0.417
Houston Christian (Southland),11,2-9,5,12,0.417
N.C. Central (MEAC),12,7-5,8,19,0.421
Illinois St. (MVFC),15,13-2,11,26,0.423
Jacksonville (Pioneer),11,9-2,9,21,0.429
Robert Morris (NEC),11,1-10,9,21,0.429
Montana (Big Sky),14,9-5,12,28,0.429
Dartmouth (Ivy League),10,8-2,10,23,0.435
Northern Colo. (Big Sky),11,3-8,4,9,0.444
Southern U. (SWAC),13,9-4,12,27,0.444
Western Caro. (SoCon),12,7-5,8,18,0.444
Eastern Ky. (OVC),13,9-4,12,27,0.444
The Citadel (SoCon),12,5-7,9,20,0.450
Mercer (SoCon),12,6-6,9,20,0.450
Stetson (Pioneer),12,5-7,10,22,0.455
South Carolina St. (MEAC),12,8-4,10,22,0.455
Lamar University (Southland),12,8-4,11,24,0.458
Bethune-Cookman (MEAC),12,9-3,11,24,0.458
Princeton (Ivy League),10,5-5,12,26,0.462
Colgate (Patriot),12,5-7,12,26,0.462
Butler (Pioneer),11,4-7,12,26,0.462
Mississippi Val. (SWAC),11,2-9,7,15,0.467
William & Mary (CAA),12,7-5,7,15,0.467
North Dakota St. (MVFC),16,15-1,15,32,0.469
Morehead St. (Pioneer),12,4-8,9,19,0.474
Montana St. (Big Sky),13,8-5,9,19,0.474
SFA (),13,8-5,10,21,0.476
Penn (Ivy League),10,2-8,10,21,0.476
Central Conn. St. (NEC),12,3-9,10,21,0.476
McNeese (Southland),11,6-5,11,23,0.478
Maine (CAA),11,5-6,13,27,0.481
Morgan St. (MEAC),13,7-6,13,27,0.481
Delaware (CAA),12,6-6,14,29,0.483
Chattanooga (SoCon),14,10-4,10,20,0.500
Sacramento St. (Big Sky),12,7-5,14,28,0.500
Grambling (SWAC),12,7-5,16,32,0.500
Cal Poly (Big Sky),12,7-5,9,18,0.500
Southeast Mo. St. (OVC),12,5-7,13,26,0.500
North Dakota (Big Sky),12,5-7,9,18,0.500
Prairie View (SWAC),10,5-5,8,16,0.500
Missouri St. (MVFC),12,4-8,5,10,0.500
Lafayette (Patriot),11,5-6,8,16,0.500
Duquesne (NEC),12,6-6,13,25,0.520
Eastern Wash. (Big Sky),14,11-3,13,25,0.520
Delaware St. (MEAC),12,2-10,12,23,0.522
UT Martin (OVC),12,6-6,12,23,0.522
Southern Utah (Big Sky),12,3-9,11,21,0.524
Savannah St. (MEAC),12,0-12,9,17,0.529
UC Davis (Big Sky),11,2-9,9,17,0.529
Dayton (Pioneer),11,8-3,17,32,0.531
Northwestern St. (Southland),12,6-6,8,15,0.533
Brown (Ivy League),10,5-5,8,15,0.533
San Diego (Pioneer),12,9-3,15,28,0.536
Coastal Carolina (Big South),14,12-2,13,24,0.542
South Dakota (MVFC),12,2-10,6,11,0.545
Gardner-Webb (Big South),12,4-8,12,22,0.545
New Hampshire (CAA),14,12-2,11,20,0.550
Samford (SoCon),11,7-4,11,20,0.550
Presbyterian (Big South),11,6-5,11,20,0.550
Richmond (CAA),14,9-5,15,27,0.556
Monmouth (Big South),11,6-5,10,18,0.556
Bucknell (Patriot),11,8-3,9,16,0.563
Northern Ariz. (Big Sky),12,7-5,9,16,0.563
Georgetown (Patriot),11,3-8,13,23,0.565
Yale (Ivy League),10,8-2,12,21,0.571
Elon (CAA),12,1-11,8,14,0.571
UAlbany (CAA),12,7-5,12,21,0.571
Murray St. (OVC),12,3-9,16,28,0.571
Fordham (Patriot),14,11-3,20,35,0.571
Alabama St. (SWAC),11,7-5,11,19,0.579
Davidson (Pioneer),12,1-11,11,19,0.579
Villanova (CAA),14,11-3,18,31,0.581
Texas Southern (SWAC),11,5-6,7,12,0.583
Florida A&M (MEAC),12,3-9,10,17,0.588
Campbell (Pioneer),12,5-7,10,17,0.588
Eastern Ill. (OVC),12,5-7,10,17,0.588
South Dakota St. (MVFC),14,9-5,15,25,0.600
Cornell (Ivy League),10,1-9,12,20,0.600
Western Ill. (MVFC),12,5-7,11,18,0.611
Youngstown St. (MVFC),12,7-5,10,16,0.625
Portland St. (Big Sky),12,3-9,10,16,0.625
Ark.-Pine Bluff (SWAC),11,4-7,5,8,0.625
Weber St. (Big Sky),12,2-10,12,19,0.632
Liberty (Big South),14,9-5,14,22,0.636
Holy Cross (Patriot),12,4-8,14,22,0.636
Austin Peay (OVC),12,1-11,13,20,0.650
Furman (SoCon),12,3-9,12,18,0.667
Drake (Pioneer),11,7-4,8,12,0.667
Nicholls (Southland),12,0-12,15,22,0.682
Lehigh (Patriot),11,3-8,11,16,0.688
James Madison (CAA),13,9-4,17,24,0.708
Towson (CAA),12,4-8,15,21,0.714
Central Ark. (Southland),12,6-6,16,21,0.762
