Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Grambling (SWAC),12,7-5,86,70,485,121,10.1
Wagner (NEC),11,7-4,82,52,396,108,9.8
Alabama St. (SWAC),11,7-5,70,73,478,107,9.7
Stony Brook (CAA),12,5-7,87,50,394,112,9.3
Central Ark. (Southland),12,6-6,84,56,406,112,9.3
North Dakota (Big Sky),12,5-7,84,54,445,111,9.3
South Carolina St. (MEAC),12,8-4,99,16,499,107,8.9
Prairie View (SWAC),10,5-5,52,73,301,89,8.9
Bethune-Cookman (MEAC),12,9-3,72,62,365,103,8.6
UNI (MVFC),14,9-5,98,42,490,119,8.5
Sacred Heart (NEC),12,9-3,70,60,498,100,8.3
Bryant (NEC),11,8-3,70,40,327,90,8.2
Tennessee St. (OVC),12,6-6,67,62,394,98,8.2
Alabama A&M (SWAC),12,4-8,73,50,370,98,8.2
Princeton (Ivy League),10,5-5,56,48,298,80,8.0
Alcorn (SWAC),13,10-3,78,50,435,103,7.9
N.C. A&T (MEAC),12,9-3,68,52,371,94,7.8
Butler (Pioneer),11,4-7,50,70,312,85,7.7
SFA (),13,8-5,74,48,358,98,7.5
UT Martin (OVC),12,6-6,61,56,308,89,7.4
Jacksonville St. (OVC),12,10-2,63,50,346,88,7.3
Hampton (MEAC),12,3-9,61,54,320,88,7.3
Chattanooga (SoCon),14,10-4,89,22,414,100,7.1
Villanova (CAA),14,11-3,78,44,393,100,7.1
Mississippi Val. (SWAC),11,2-9,58,40,300,78,7.1
Marist (Pioneer),11,4-7,52,52,288,78,7.1
Robert Morris (NEC),11,1-10,57,42,253,78,7.1
McNeese (Southland),11,6-5,54,46,303,77,7.0
Jackson St. (SWAC),12,5-7,48,71,310,84,7.0
Sam Houston (Southland),16,11-5,79,64,431,111,6.9
Samford (SoCon),11,7-4,66,20,245,76,6.9
Fordham (Patriot),14,11-3,78,36,489,96,6.9
Stetson (Pioneer),12,5-7,63,38,356,82,6.8
N.C. Central (MEAC),12,7-5,60,44,359,82,6.8
Tennessee Tech (OVC),12,5-7,61,41,253,82,6.8
Montana (Big Sky),14,9-5,76,38,357,95,6.8
Eastern Ill. (OVC),12,5-7,58,44,241,80,6.7
Lamar University (Southland),12,8-4,54,52,315,80,6.7
Maine (CAA),11,5-6,58,30,292,73,6.6
New Hampshire (CAA),14,12-2,72,40,356,92,6.6
Southeastern La. (Southland),13,9-4,61,48,323,85,6.5
Bucknell (Patriot),11,8-3,60,22,343,71,6.5
Texas Southern (SWAC),11,5-6,48,44,280,70,6.4
Monmouth (Big South),11,6-5,57,26,259,70,6.4
Indiana St. (MVFC),14,8-6,60,58,302,89,6.4
Drake (Pioneer),11,7-4,55,28,261,69,6.3
Florida A&M (MEAC),12,3-9,63,24,268,75,6.3
Yale (Ivy League),10,8-2,56,12,231,62,6.2
Southern U. (SWAC),13,9-4,54,53,344,81,6.2
Murray St. (OVC),12,3-9,57,34,249,74,6.2
Southern Utah (Big Sky),12,3-9,66,16,250,74,6.2
Portland St. (Big Sky),12,3-9,57,34,276,74,6.2
James Madison (CAA),13,9-4,68,24,354,80,6.2
Jacksonville (Pioneer),11,9-2,48,38,231,67,6.1
