Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Bethune-Cookman (MEAC),12,9-3,370,959,2.59,9,79.9
Wagner (NEC),11,7-4,367,914,2.49,9,83.1
Sacred Heart (NEC),12,9-3,426,1035,2.43,7,86.3
Harvard (Ivy League),10,10-0,321,868,2.70,8,86.8
North Dakota (Big Sky),12,5-7,461,1230,2.67,12,102.5
Norfolk St. (MEAC),12,4-8,465,1232,2.65,8,102.7
Princeton (Ivy League),10,5-5,360,1043,2.90,10,104.3
Villanova (CAA),14,11-3,482,1494,3.10,17,106.7
Wofford (SoCon),11,6-5,392,1182,3.02,19,107.5
UNI (MVFC),14,9-5,502,1508,3.00,19,107.7
Bucknell (Patriot),11,8-3,390,1186,3.04,19,107.8
Alcorn (SWAC),13,10-3,448,1404,3.13,11,108.0
Butler (Pioneer),11,4-7,385,1218,3.16,9,110.7
McNeese (Southland),11,6-5,367,1238,3.37,10,112.5
Stony Brook (CAA),12,5-7,417,1366,3.28,9,113.8
Marist (Pioneer),11,4-7,426,1264,2.97,12,114.9
Southeastern La. (Southland),13,9-4,507,1496,2.95,17,115.1
Illinois St. (MVFC),15,13-2,536,1823,3.40,19,121.5
Drake (Pioneer),11,7-4,380,1366,3.59,14,124.2
Chattanooga (SoCon),14,10-4,518,1742,3.36,20,124.4
South Carolina St. (MEAC),12,8-4,451,1498,3.32,14,124.8
North Dakota St. (MVFC),16,15-1,520,2006,3.86,14,125.4
Jacksonville St. (OVC),12,10-2,446,1532,3.43,12,127.7
N.C. A&T (MEAC),12,9-3,443,1563,3.53,10,130.3
Bryant (NEC),11,8-3,389,1440,3.70,12,130.9
Brown (Ivy League),10,5-5,335,1312,3.92,15,131.2
Jacksonville (Pioneer),11,9-2,421,1500,3.56,11,136.4
Western Ill. (MVFC),12,5-7,426,1669,3.92,19,139.1
Charleston So. (Big South),12,8-4,395,1687,4.27,14,140.6
Duquesne (NEC),12,6-6,458,1701,3.71,14,141.8
Dartmouth (Ivy League),10,8-2,355,1424,4.01,15,142.4
Eastern Ky. (OVC),13,9-4,469,1858,3.96,14,142.9
Richmond (CAA),14,9-5,498,2005,4.03,22,143.2
Maine (CAA),11,5-6,430,1590,3.70,14,144.5
Colgate (Patriot),12,5-7,442,1745,3.95,15,145.4
Yale (Ivy League),10,8-2,340,1455,4.28,16,145.5
Montana (Big Sky),14,9-5,549,2073,3.78,16,148.1
William & Mary (CAA),12,7-5,410,1783,4.35,17,148.6
Tennessee St. (OVC),12,6-6,508,1799,3.54,19,149.9
Dayton (Pioneer),11,8-3,421,1695,4.03,16,154.1
New Hampshire (CAA),14,12-2,518,2188,4.22,22,156.3
UAlbany (CAA),12,7-5,454,1881,4.14,23,156.8
Alabama St. (SWAC),11,7-5,457,1725,3.77,18,156.8
Youngstown St. (MVFC),12,7-5,438,1887,4.31,13,157.3
