Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Yale (Ivy League),10,8-2,837,5715,6.83,51,571.5
Idaho St. (Big Sky),12,8-4,992,6744,6.80,64,562.0
Eastern Wash. (Big Sky),14,11-3,1079,7188,6.66,77,513.4
Jacksonville St. (OVC),12,10-2,991,6129,6.18,54,510.8
Lamar University (Southland),12,8-4,936,6036,6.45,58,503.0
Jacksonville (Pioneer),11,9-2,810,5499,6.79,48,499.9
Fordham (Patriot),14,11-3,1036,6918,6.68,70,494.1
Alcorn (SWAC),13,10-3,927,6410,6.91,76,493.1
Montana St. (Big Sky),13,8-5,961,6352,6.61,64,488.6
James Madison (CAA),13,9-4,1060,6300,5.94,55,484.6
Cal Poly (Big Sky),12,7-5,946,5792,6.12,58,482.7
Sacramento St. (Big Sky),12,7-5,886,5780,6.52,55,481.7
Eastern Ill. (OVC),12,5-7,978,5761,5.89,46,480.1
Villanova (CAA),14,11-3,1014,6586,6.50,71,470.4
Murray St. (OVC),12,3-9,893,5620,6.29,51,468.3
Southeastern La. (Southland),13,9-4,949,6071,6.40,65,467.0
Illinois St. (MVFC),15,13-2,1007,6954,6.91,73,463.6
Coastal Carolina (Big South),14,12-2,1014,6487,6.40,61,463.4
Harvard (Ivy League),10,10-0,690,4614,6.69,40,461.4
Richmond (CAA),14,9-5,1068,6453,6.04,53,460.9
SFA (),13,8-5,976,5990,6.14,55,460.8
Prairie View (SWAC),10,5-5,747,4606,6.17,44,460.6
Sam Houston (Southland),16,11-5,1212,7153,5.90,67,447.1
Alabama St. (SWAC),11,7-5,807,4862,6.02,36,442.0
Central Ark. (Southland),12,6-6,934,5301,5.68,60,441.8
New Hampshire (CAA),14,12-2,983,6139,6.25,67,438.5
South Dakota St. (MVFC),14,9-5,948,6092,6.43,53,435.1
North Dakota St. (MVFC),16,15-1,1083,6916,6.39,61,432.3
Morehead St. (Pioneer),12,4-8,1022,5151,5.04,47,429.3
The Citadel (SoCon),12,5-7,907,5124,5.65,42,427.0
UT Martin (OVC),12,6-6,883,5124,5.80,42,427.0
Southern Utah (Big Sky),12,3-9,874,5089,5.82,36,424.1
Southeast Mo. St. (OVC),12,5-7,865,5070,5.86,45,422.5
Northern Ariz. (Big Sky),12,7-5,865,5034,5.82,38,419.5
Dartmouth (Ivy League),10,8-2,711,4166,5.86,39,416.6
