Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Northwestern St. (Southland),12,6-6,9,3,0,0.33
Murray St. (OVC),12,3-9,13,14,0,1.08
Butler (Pioneer),11,4-7,15,20,0,1.33
Bryant (NEC),11,8-3,24,66,1,2.75
Wofford (SoCon),11,6-5,13,40,0,3.08
Central Ark. (Southland),12,6-6,12,38,0,3.17
Mercer (SoCon),12,6-6,17,62,0,3.65
Harvard (Ivy League),10,10-0,2,8,0,4.00
UAlbany (CAA),12,7-5,23,93,0,4.04
UT Martin (OVC),12,6-6,14,59,0,4.21
Alabama St. (SWAC),11,7-5,10,45,0,4.50
Brown (Ivy League),10,5-5,15,69,0,4.60
Villanova (CAA),14,11-3,20,96,0,4.80
Lehigh (Patriot),11,3-8,7,36,0,5.14
Cal Poly (Big Sky),12,7-5,13,68,0,5.23
Montana St. (Big Sky),13,8-5,17,91,0,5.35
Tennessee St. (OVC),12,6-6,14,75,0,5.36
Maine (CAA),11,5-6,26,143,0,5.50
Duquesne (NEC),12,6-6,16,88,0,5.50
Marist (Pioneer),11,4-7,21,119,0,5.67
Southern U. (SWAC),13,9-4,23,136,1,5.91
Prairie View (SWAC),10,5-5,15,89,0,5.93
Holy Cross (Patriot),12,4-8,17,101,0,5.94
Campbell (Pioneer),12,5-7,27,161,0,5.96
Dartmouth (Ivy League),10,8-2,13,78,1,6.00
Tennessee Tech (OVC),12,5-7,26,159,0,6.12
UNI (MVFC),14,9-5,41,254,0,6.20
New Hampshire (CAA),14,12-2,14,87,0,6.21
William & Mary (CAA),12,7-5,23,144,0,6.26
Jacksonville St. (OVC),12,10-2,15,95,0,6.33
Monmouth (Big South),11,6-5,24,153,0,6.38
Wagner (NEC),11,7-4,21,135,0,6.43
Coastal Carolina (Big South),14,12-2,12,79,0,6.58
Colgate (Patriot),12,5-7,27,178,0,6.59
Southeast Mo. St. (OVC),12,5-7,14,94,1,6.71
Robert Morris (NEC),11,1-10,21,141,0,6.71
Sacred Heart (NEC),12,9-3,32,216,1,6.75
Drake (Pioneer),11,7-4,24,166,1,6.92
James Madison (CAA),13,9-4,21,147,1,7.00
Elon (CAA),12,1-11,19,133,0,7.00
Bucknell (Patriot),11,8-3,23,162,0,7.04
Jacksonville (Pioneer),11,9-2,12,86,0,7.17
Youngstown St. (MVFC),12,7-5,16,115,0,7.19
Southern Ill. (MVFC),12,6-6,7,51,1,7.29
Sacramento St. (Big Sky),12,7-5,26,190,0,7.31
Furman (SoCon),12,3-9,29,212,1,7.31
Northern Colo. (Big Sky),11,3-8,18,132,1,7.33
N.C. Central (MEAC),12,7-5,31,231,0,7.45
Alabama A&M (SWAC),12,4-8,24,179,0,7.46
Towson (CAA),12,4-8,13,97,0,7.46
Gardner-Webb (Big South),12,4-8,26,195,0,7.50
Liberty (Big South),14,9-5,25,190,0,7.60
Fordham (Patriot),14,11-3,12,93,1,7.75
San Diego (Pioneer),12,9-3,24,187,2,7.79
Valparaiso (Pioneer),12,4-8,16,125,0,7.81
Presbyterian (Big South),11,6-5,20,160,0,8.00
