Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Valparaiso (Pioneer),12,4-8,5,39,0.42
The Citadel (SoCon),12,5-7,6,36,0.50
Alcorn (SWAC),13,10-3,7,36,0.54
Southern U. (SWAC),13,9-4,8,30,0.62
Prairie View (SWAC),10,5-5,8,50,0.80
Southeast Mo. St. (OVC),12,5-7,10,70,0.83
Portland St. (Big Sky),12,3-9,10,82,0.83
Yale (Ivy League),10,8-2,9,49,0.90
Wofford (SoCon),11,6-5,10,58,0.91
Central Conn. St. (NEC),12,3-9,11,76,0.92
Richmond (CAA),14,9-5,14,107,1.00
Chattanooga (SoCon),14,10-4,15,86,1.07
Southeastern La. (Southland),13,9-4,14,92,1.08
Harvard (Ivy League),10,10-0,11,67,1.10
Coastal Carolina (Big South),14,12-2,16,103,1.14
Liberty (Big South),14,9-5,16,91,1.14
Western Caro. (SoCon),12,7-5,14,83,1.17
Tennessee St. (OVC),12,6-6,14,89,1.17
Charleston So. (Big South),12,8-4,14,86,1.17
Youngstown St. (MVFC),12,7-5,14,100,1.17
Morgan St. (MEAC),13,7-6,16,43,1.23
Idaho St. (Big Sky),12,8-4,15,92,1.25
North Dakota St. (MVFC),16,15-1,20,112,1.25
Cal Poly (Big Sky),12,7-5,15,81,1.25
Montana (Big Sky),14,9-5,18,108,1.29
Holy Cross (Patriot),12,4-8,16,96,1.33
Morehead St. (Pioneer),12,4-8,16,101,1.33
Dayton (Pioneer),11,8-3,15,70,1.36
Houston Christian (Southland),11,2-9,15,121,1.36
UC Davis (Big Sky),11,2-9,15,91,1.36
Southern Ill. (MVFC),12,6-6,17,112,1.42
Sacramento St. (Big Sky),12,7-5,17,97,1.42
Campbell (Pioneer),12,5-7,17,108,1.42
Bryant (NEC),11,8-3,16,113,1.45
Illinois St. (MVFC),15,13-2,22,131,1.47
Jacksonville St. (OVC),12,10-2,18,131,1.50
Mercer (SoCon),12,6-6,18,105,1.50
Brown (Ivy League),10,5-5,16,114,1.60
Wagner (NEC),11,7-4,18,121,1.64
Butler (Pioneer),11,4-7,18,108,1.64
UNI (MVFC),14,9-5,23,148,1.64
Western Ill. (MVFC),12,5-7,20,118,1.67
Sacred Heart (NEC),12,9-3,20,108,1.67
Alabama St. (SWAC),11,7-5,19,100,1.73
UT Martin (OVC),12,6-6,21,143,1.75
Eastern Ill. (OVC),12,5-7,21,124,1.75
VMI (SoCon),12,2-10,21,124,1.75
Princeton (Ivy League),10,5-5,18,109,1.80
Rhode Island (CAA),12,1-11,22,134,1.83
Samford (SoCon),11,7-4,21,144,1.91
Saint Francis (PA) (NEC),11,5-6,21,152,1.91
South Carolina St. (MEAC),12,8-4,23,191,1.92
Austin Peay (OVC),12,1-11,23,160,1.92
New Hampshire (CAA),14,12-2,27,173,1.93
Howard (MEAC),12,5-7,24,150,2.00
James Madison (CAA),13,9-4,26,161,2.00
Lamar University (Southland),12,8-4,24,143,2.00
Montana St. (Big Sky),13,8-5,26,159,2.00
San Diego (Pioneer),12,9-3,24,163,2.00
Murray St. (OVC),12,3-9,24,142,2.00
Dartmouth (Ivy League),10,8-2,20,126,2.00
McNeese (Southland),11,6-5,22,121,2.00
Eastern Ky. (OVC),13,9-4,27,157,2.08
Davidson (Pioneer),12,1-11,25,148,2.08
N.C. A&T (MEAC),12,9-3,25,159,2.08
Northwestern St. (Southland),12,6-6,25,131,2.08
Duquesne (NEC),12,6-6,25,161,2.08
Colgate (Patriot),12,5-7,25,216,2.08
Jacksonville (Pioneer),11,9-2,23,169,2.09
Georgetown (Patriot),11,3-8,23,160,2.09
Presbyterian (Big South),11,6-5,23,126,2.09
SFA (),13,8-5,28,199,2.15
Furman (SoCon),12,3-9,26,158,2.17
Stetson (Pioneer),12,5-7,26,175,2.17
N.C. Central (MEAC),12,7-5,26,176,2.17
Columbia (Ivy League),10,0-10,22,143,2.20
Weber St. (Big Sky),12,2-10,27,199,2.25
Stony Brook (CAA),12,5-7,27,178,2.25
North Dakota (Big Sky),12,5-7,27,157,2.25
Central Ark. (Southland),12,6-6,28,184,2.33
Monmouth (Big South),11,6-5,26,179,2.36
Missouri St. (MVFC),12,4-8,29,190,2.42
Northern Ariz. (Big Sky),12,7-5,29,208,2.42
Towson (CAA),12,4-8,29,184,2.42
South Dakota St. (MVFC),14,9-5,34,170,2.43
UAlbany (CAA),12,7-5,30,156,2.50
Delaware (CAA),12,6-6,30,220,2.50
Lehigh (Patriot),11,3-8,28,185,2.55
Drake (Pioneer),11,7-4,28,195,2.55
Sam Houston (Southland),16,11-5,41,260,2.56
Villanova (CAA),14,11-3,36,184,2.57
Grambling (SWAC),12,7-5,31,194,2.58
Penn (Ivy League),10,2-8,26,178,2.60
Bucknell (Patriot),11,8-3,29,168,2.64
Elon (CAA),12,1-11,33,247,2.75
Hampton (MEAC),12,3-9,33,241,2.75
Indiana St. (MVFC),14,8-6,40,278,2.86
William & Mary (CAA),12,7-5,35,269,2.92
Delaware St. (MEAC),12,2-10,35,163,2.92
Fordham (Patriot),14,11-3,42,250,3.00
Tennessee Tech (OVC),12,5-7,36,210,3.00
South Dakota (MVFC),12,2-10,37,228,3.08
Southern Utah (Big Sky),12,3-9,38,190,3.17
Robert Morris (NEC),11,1-10,35,267,3.18
Texas Southern (SWAC),11,5-6,35,223,3.18
Eastern Wash. (Big Sky),14,11-3,45,206,3.21
Jackson St. (SWAC),12,5-7,39,213,3.25
Florida A&M (MEAC),12,3-9,39,235,3.25
Cornell (Ivy League),10,1-9,33,215,3.30
Marist (Pioneer),11,4-7,37,251,3.36
Lafayette (Patriot),11,5-6,38,250,3.45
Alabama A&M (SWAC),12,4-8,43,256,3.58
Maine (CAA),11,5-6,41,221,3.73
Norfolk St. (MEAC),12,4-8,45,257,3.75
Ark.-Pine Bluff (SWAC),11,4-7,42,289,3.82
Bethune-Cookman (MEAC),12,9-3,46,261,3.83
Mississippi Val. (SWAC),11,2-9,44,309,4.00
Savannah St. (MEAC),12,0-12,49,325,4.08
Northern Colo. (Big Sky),11,3-8,49,268,4.45
Gardner-Webb (Big South),12,4-8,55,309,4.58
Nicholls (Southland),12,0-12,56,403,4.67
UIW (Southland),11,2-9,20,95,1.82
Abilene Christian (Southland),12,6-6,36,205,3.00
