Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
UNI (MVFC),14,9-5,49,19,10,19,48,0.980
Eastern Wash. (Big Sky),14,11-3,59,26,19,11,56,0.949
Princeton (Ivy League),10,5-5,38,20,7,9,36,0.947
Saint Francis (PA) (NEC),11,5-6,39,17,5,14,36,0.923
Maine (CAA),11,5-6,25,8,7,8,23,0.920
Bucknell (Patriot),11,8-3,36,14,11,8,33,0.917
San Diego (Pioneer),12,9-3,42,11,16,11,38,0.905
Sam Houston (Southland),16,11-5,60,27,12,15,54,0.900
The Citadel (SoCon),12,5-7,49,29,7,8,44,0.898
Liberty (Big South),14,9-5,58,26,12,14,52,0.897
Montana (Big Sky),14,9-5,45,12,17,11,40,0.889
Western Ill. (MVFC),12,5-7,35,11,9,11,31,0.886
North Dakota St. (MVFC),16,15-1,69,25,17,19,61,0.884
South Dakota St. (MVFC),14,9-5,51,17,13,15,45,0.882
Dartmouth (Ivy League),10,8-2,42,12,14,11,37,0.881
Wofford (SoCon),11,6-5,32,24,2,2,28,0.875
Northern Ariz. (Big Sky),12,7-5,40,13,16,6,35,0.875
Idaho St. (Big Sky),12,8-4,56,19,20,10,49,0.875
Cal Poly (Big Sky),12,7-5,55,38,8,2,48,0.873
South Dakota (MVFC),12,2-10,39,15,7,12,34,0.872
Central Ark. (Southland),12,6-6,61,25,18,10,53,0.869
McNeese (Southland),11,6-5,52,24,11,10,45,0.865
Southern Ill. (MVFC),12,6-6,43,13,17,7,37,0.860
Davidson (Pioneer),12,1-11,43,20,9,8,37,0.860
UT Martin (OVC),12,6-6,49,19,14,9,42,0.857
Richmond (CAA),14,9-5,62,22,18,13,53,0.855
Missouri St. (MVFC),12,4-8,34,12,8,9,29,0.853
Villanova (CAA),14,11-3,61,26,22,4,52,0.852
Northwestern St. (Southland),12,6-6,53,14,21,10,45,0.849
UC Davis (Big Sky),11,2-9,33,7,17,4,28,0.848
Southeastern La. (Southland),13,9-4,59,31,10,9,50,0.847
Southern U. (SWAC),13,9-4,51,27,7,9,43,0.843
Southeast Mo. St. (OVC),12,5-7,50,19,15,8,42,0.840
UAlbany (CAA),12,7-5,43,12,16,8,36,0.837
Colgate (Patriot),12,5-7,43,19,4,13,36,0.837
Prairie View (SWAC),10,5-5,49,19,10,12,41,0.837
Yale (Ivy League),10,8-2,61,22,16,13,51,0.836
Fordham (Patriot),14,11-3,72,25,18,17,60,0.833
SFA (),13,8-5,54,28,8,9,45,0.833
Morgan St. (MEAC),13,7-6,41,23,8,3,34,0.829
Alcorn (SWAC),13,10-3,64,32,15,6,53,0.828
Coastal Carolina (Big South),14,12-2,75,35,12,15,62,0.827
Alabama St. (SWAC),11,7-5,46,21,4,13,38,0.826
Chattanooga (SoCon),14,10-4,63,29,11,12,52,0.825
Brown (Ivy League),10,5-5,40,10,11,12,33,0.825
Mercer (SoCon),12,6-6,45,22,11,4,37,0.822
VMI (SoCon),12,2-10,39,15,13,4,32,0.821
North Dakota (Big Sky),12,5-7,27,9,3,10,22,0.815
