Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Stetson (Pioneer),12,5-7,38,25,4,1,5,0,278,23.2
Ark.-Pine Bluff (SWAC),11,4-7,33,25,2,0,9,0,254,23.1
Missouri St. (MVFC),12,4-8,35,29,0,0,12,0,275,22.9
Hampton (MEAC),12,3-9,35,28,1,0,10,0,270,22.5
Drake (Pioneer),11,7-4,33,29,1,0,6,0,247,22.5
Weber St. (Big Sky),12,2-10,32,28,3,0,12,0,262,21.8
Delaware (CAA),12,6-6,35,31,1,0,6,0,261,21.8
Colgate (Patriot),12,5-7,31,27,0,0,14,1,257,21.4
Penn (Ivy League),10,2-8,26,24,0,0,11,0,213,21.3
Holy Cross (Patriot),12,4-8,30,23,1,0,14,1,249,20.8
Wagner (NEC),11,7-4,28,20,1,0,12,1,228,20.7
Tennessee Tech (OVC),12,5-7,29,27,1,0,11,1,238,19.8
Northern Colo. (Big Sky),11,3-8,27,20,2,0,8,2,214,19.5
South Dakota (MVFC),12,2-10,27,19,2,0,16,0,233,19.4
Central Conn. St. (NEC),12,3-9,30,20,1,0,10,0,232,19.3
Houston Christian (Southland),11,2-9,27,24,1,0,6,2,210,19.1
Gardner-Webb (Big South),12,4-8,29,25,1,0,8,0,225,18.8
Stony Brook (CAA),12,5-7,29,24,0,0,6,0,216,18.0
Mississippi Val. (SWAC),11,2-9,26,20,0,1,3,4,195,17.7
Furman (SoCon),12,3-9,26,22,1,0,10,0,210,17.5
Marist (Pioneer),11,4-7,25,23,0,0,5,0,188,17.1
Florida A&M (MEAC),12,3-9,24,24,0,0,12,0,204,17.0
Maine (CAA),11,5-6,22,16,1,0,10,0,180,16.4
Towson (CAA),12,4-8,25,23,1,0,6,0,193,16.1
North Dakota (Big Sky),12,5-7,20,17,2,0,16,1,191,15.9
Presbyterian (Big South),11,6-5,24,20,1,0,3,0,175,15.9
Cornell (Ivy League),10,1-9,22,15,1,1,2,1,159,15.9
Elon (CAA),12,1-11,18,16,0,0,15,0,169,14.1
Nicholls (Southland),12,0-12,22,16,0,0,5,0,163,13.6
Georgetown (Patriot),11,3-8,18,16,1,0,7,1,149,13.5
Rhode Island (CAA),12,1-11,21,16,1,0,2,0,150,12.5
Norfolk St. (MEAC),12,4-8,16,14,0,0,10,0,140,11.7
Savannah St. (MEAC),12,0-12,19,17,0,0,2,0,137,11.4
Delaware St. (MEAC),12,2-10,18,14,1,0,4,0,136,11.3
Columbia (Ivy League),10,0-10,14,13,0,0,2,0,103,10.3
Robert Morris (NEC),11,1-10,13,9,1,0,6,1,109,9.9
Austin Peay (OVC),12,1-11,15,10,1,0,4,1,116,9.7
Abilene Christian (Southland),12,6-6,50,48,1,0,14,0,392,32.7
UIW (Southland),11,2-9,20,17,0,0,9,0,164,14.9
