Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Eastern Wash. (Big Sky),14,11-3,84,73,1,0,13,0,618,44.1
Alcorn (SWAC),13,10-3,79,74,0,0,8,0,572,44.0
Yale (Ivy League),10,8-2,53,45,3,0,14,0,411,41.1
Central Ark. (Southland),12,6-6,65,58,0,0,12,2,488,40.7
Fordham (Patriot),14,11-3,72,64,3,0,21,2,569,40.6
Idaho St. (Big Sky),12,8-4,64,52,3,0,14,0,484,40.3
Southeastern La. (Southland),13,9-4,68,63,1,0,16,1,523,40.2
Lamar University (Southland),12,8-4,63,57,2,0,12,0,475,39.6
Illinois St. (MVFC),15,13-2,76,70,2,0,14,1,574,38.3
Sacramento St. (Big Sky),12,7-5,60,56,0,0,14,0,458,38.2
Montana St. (Big Sky),13,8-5,66,51,4,0,13,1,496,38.2
Villanova (CAA),14,11-3,74,61,3,0,5,1,528,37.7
Coastal Carolina (Big South),14,12-2,67,58,4,0,18,0,522,37.3
Prairie View (SWAC),10,5-5,46,43,1,0,15,0,366,36.6
Murray St. (OVC),12,3-9,59,50,0,1,11,0,439,36.6
New Hampshire (CAA),14,12-2,69,45,11,0,7,1,504,36.0
James Madison (CAA),13,9-4,60,57,1,0,15,0,464,35.7
Jacksonville (Pioneer),11,9-2,50,46,1,0,13,1,389,35.4
Jacksonville St. (OVC),12,10-2,56,53,0,0,11,0,422,35.2
Chattanooga (SoCon),14,10-4,63,60,0,0,16,0,486,34.7
Southern U. (SWAC),13,9-4,60,47,0,0,12,1,445,34.2
Sam Houston (Southland),16,11-5,70,67,0,0,18,1,543,33.9
Cal Poly (Big Sky),12,7-5,58,52,0,0,2,0,406,33.8
North Dakota St. (MVFC),16,15-1,63,60,1,0,29,0,527,32.9
Harvard (Ivy League),10,10-0,44,39,0,0,8,0,327,32.7
SFA (),13,8-5,56,54,1,0,11,0,425,32.7
Mercer (SoCon),12,6-6,53,47,2,0,7,0,390,32.5
McNeese (Southland),11,6-5,47,42,1,0,10,0,356,32.4
N.C. A&T (MEAC),12,9-3,49,45,1,0,15,1,388,32.3
UNI (MVFC),14,9-5,53,51,0,0,27,1,452,32.3
Samford (SoCon),11,7-4,47,46,0,0,9,0,355,32.3
Saint Francis (PA) (NEC),11,5-6,43,36,3,0,18,0,354,32.2
Grambling (SWAC),12,7-5,50,44,2,0,12,1,386,32.2
Northwestern St. (Southland),12,6-6,48,43,3,0,16,0,385,32.1
Liberty (Big South),14,9-5,56,48,1,0,20,1,448,32.0
Southeast Mo. St. (OVC),12,5-7,47,44,2,0,18,0,384,32.0
South Dakota St. (MVFC),14,9-5,55,50,3,1,19,0,445,31.8
Eastern Ill. (OVC),12,5-7,48,44,0,0,14,1,376,31.3
Dartmouth (Ivy League),10,8-2,40,37,0,0,12,0,313,31.3
Eastern Ky. (OVC),13,9-4,50,44,3,1,17,1,405,31.2
Richmond (CAA),14,9-5,54,46,4,0,19,0,435,31.1
Dayton (Pioneer),11,8-3,42,36,1,1,14,0,334,30.4
UT Martin (OVC),12,6-6,46,44,0,0,12,0,356,29.7
Montana (Big Sky),14,9-5,54,50,0,0,13,1,415,29.6
Alabama St. (SWAC),11,7-5,40,35,0,0,16,1,325,29.5
Southern Ill. (MVFC),12,6-6,46,41,3,0,10,0,353,29.4
Morehead St. (Pioneer),12,4-8,48,41,1,0,7,0,352,29.3
Monmouth (Big South),11,6-5,42,36,2,0,10,0,322,29.3
Princeton (Ivy League),10,5-5,36,30,1,0,13,0,287,28.7
Charleston So. (Big South),12,8-4,45,36,0,0,11,1,341,28.4
Morgan St. (MEAC),13,7-6,49,47,0,0,7,0,362,27.8
Tennessee St. (OVC),12,6-6,44,37,1,0,9,1,332,27.7
N.C. Central (MEAC),12,7-5,43,38,0,0,12,0,332,27.7
Bethune-Cookman (MEAC),12,9-3,45,37,3,0,4,2,329,27.4
Youngstown St. (MVFC),12,7-5,41,38,1,0,14,0,328,27.3
Wofford (SoCon),11,6-5,41,37,1,0,5,0,300,27.3
Western Caro. (SoCon),12,7-5,45,43,1,0,3,1,326,27.2
Sacred Heart (NEC),12,9-3,41,38,0,0,13,1,325,27.1
UAlbany (CAA),12,7-5,41,38,0,0,12,1,322,26.8
The Citadel (SoCon),12,5-7,42,33,4,0,9,0,320,26.7
Bucknell (Patriot),11,8-3,38,30,1,0,11,0,293,26.6
South Carolina St. (MEAC),12,8-4,43,41,0,0,6,1,319,26.6
Duquesne (NEC),12,6-6,40,34,1,0,13,1,317,26.4
Northern Ariz. (Big Sky),12,7-5,40,37,1,0,12,0,315,26.3
Alabama A&M (SWAC),12,4-8,40,30,0,0,14,1,314,26.2
San Diego (Pioneer),12,9-3,40,33,2,0,12,0,313,26.1
UC Davis (Big Sky),11,2-9,39,37,0,0,5,0,286,26.0
Texas Southern (SWAC),11,5-6,35,32,1,0,14,0,286,26.0
Lehigh (Patriot),11,3-8,37,34,1,0,9,0,285,25.9
Jackson St. (SWAC),12,5-7,37,32,1,0,18,0,310,25.8
Bryant (NEC),11,8-3,39,34,0,0,5,0,283,25.7
Howard (MEAC),12,5-7,42,31,1,0,6,1,305,25.4
Indiana St. (MVFC),14,8-6,43,37,2,0,17,2,354,25.3
William & Mary (CAA),12,7-5,34,31,2,1,20,1,303,25.3
Western Ill. (MVFC),12,5-7,38,36,0,1,11,0,299,24.9
Brown (Ivy League),10,5-5,30,29,1,0,12,0,247,24.7
VMI (SoCon),12,2-10,39,33,1,0,7,0,290,24.2
Portland St. (Big Sky),12,3-9,34,33,0,0,17,1,290,24.2
Valparaiso (Pioneer),12,4-8,36,30,1,0,13,0,287,23.9
Campbell (Pioneer),12,5-7,37,34,0,0,9,0,283,23.6
Lafayette (Patriot),11,5-6,34,28,3,0,6,1,258,23.5
Butler (Pioneer),11,4-7,34,31,0,0,6,2,257,23.4
Davidson (Pioneer),12,1-11,36,30,3,0,9,0,279,23.3
Southern Utah (Big Sky),12,3-9,37,31,1,0,7,1,278,23.2
