Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Cal Poly (Big Sky),12,7-5,764,4221,5.52,44,351.8
The Citadel (SoCon),12,5-7,760,4166,5.48,34,347.2
Wofford (SoCon),11,6-5,575,3264,5.68,35,296.7
Jacksonville St. (OVC),12,10-2,647,3424,5.29,35,285.3
Alcorn (SWAC),13,10-3,578,3708,6.42,50,285.2
Yale (Ivy League),10,8-2,462,2479,5.37,29,247.9
Montana St. (Big Sky),13,8-5,614,3177,5.17,43,244.4
Villanova (CAA),14,11-3,672,3401,5.06,35,242.9
Sam Houston (Southland),16,11-5,730,3866,5.30,45,241.6
Illinois St. (MVFC),15,13-2,635,3619,5.70,41,241.3
Eastern Ill. (OVC),12,5-7,535,2836,5.30,27,236.3
Alabama St. (SWAC),11,7-5,494,2590,5.24,25,235.5
North Dakota St. (MVFC),16,15-1,719,3764,5.24,35,235.3
Southeastern La. (Southland),13,9-4,599,3051,5.09,41,234.7
Harvard (Ivy League),10,10-0,421,2305,5.48,24,230.5
Charleston So. (Big South),12,8-4,548,2726,4.97,27,227.2
McNeese (Southland),11,6-5,485,2441,5.03,28,221.9
Eastern Ky. (OVC),13,9-4,618,2867,4.64,32,220.5
N.C. A&T (MEAC),12,9-3,513,2604,5.08,29,217.0
Coastal Carolina (Big South),14,12-2,581,3017,5.19,41,215.5
James Madison (CAA),13,9-4,585,2801,4.79,25,215.5
UT Martin (OVC),12,6-6,523,2575,4.92,22,214.6
Idaho St. (Big Sky),12,8-4,457,2567,5.62,25,213.9
Chattanooga (SoCon),14,10-4,637,2951,4.63,35,210.8
Saint Francis (PA) (NEC),11,5-6,507,2297,4.53,24,208.8
Morgan St. (MEAC),13,7-6,495,2711,5.48,29,208.5
Portland St. (Big Sky),12,3-9,458,2499,5.46,17,208.3
SFA (),13,8-5,515,2696,5.23,38,207.4
Mercer (SoCon),12,6-6,486,2437,5.01,27,203.1
Youngstown St. (MVFC),12,7-5,481,2427,5.05,21,202.3
Southeast Mo. St. (OVC),12,5-7,530,2419,4.56,22,201.6
Bethune-Cookman (MEAC),12,9-3,593,2391,4.03,32,199.3
Prairie View (SWAC),10,5-5,377,1960,5.20,26,196.0
Dayton (Pioneer),11,8-3,427,2151,5.04,25,195.5
Southern U. (SWAC),13,9-4,527,2502,4.75,32,192.5
Lamar University (Southland),12,8-4,465,2264,4.87,25,188.7
Jacksonville (Pioneer),11,9-2,399,2063,5.17,17,187.5
Howard (MEAC),12,5-7,453,2226,4.91,26,185.5
Eastern Wash. (Big Sky),14,11-3,552,2593,4.70,32,185.2
Samford (SoCon),11,7-4,465,1995,4.29,28,181.4
Colgate (Patriot),12,5-7,529,2172,4.11,22,181.0
Missouri St. (MVFC),12,4-8,527,2168,4.11,13,180.7
Bryant (NEC),11,8-3,444,1974,4.45,18,179.5
Sacramento St. (Big Sky),12,7-5,431,2144,4.97,21,178.7
South Dakota St. (MVFC),14,9-5,520,2480,4.77,25,177.1
Presbyterian (Big South),11,6-5,461,1915,4.15,14,174.1
Campbell (Pioneer),12,5-7,449,2086,4.65,19,173.8
Northwestern St. (Southland),12,6-6,511,2084,4.08,17,173.7
Sacred Heart (NEC),12,9-3,528,2075,3.93,16,172.9
Texas Southern (SWAC),11,5-6,422,1887,4.47,13,171.5
New Hampshire (CAA),14,12-2,509,2373,4.66,39,169.5
Western Caro. (SoCon),12,7-5,431,2024,4.70,22,168.7
Dartmouth (Ivy League),10,8-2,377,1685,4.47,16,168.5
Stetson (Pioneer),12,5-7,472,2018,4.28,17,168.2
Fordham (Patriot),14,11-3,504,2353,4.67,31,168.1
UNI (MVFC),14,9-5,539,2353,4.37,28,168.1
Montana (Big Sky),14,9-5,463,2350,5.08,23,167.9
Lehigh (Patriot),11,3-8,447,1837,4.11,19,167.0
South Dakota (MVFC),12,2-10,440,1983,4.51,15,165.3
Western Ill. (MVFC),12,5-7,461,1973,4.28,13,164.4
Towson (CAA),12,4-8,473,1961,4.15,14,163.4
Hampton (MEAC),12,3-9,466,1958,4.20,14,163.2
Liberty (Big South),14,9-5,523,2284,4.37,29,163.1
South Carolina St. (MEAC),12,8-4,517,1953,3.78,24,162.8
Delaware (CAA),12,6-6,460,1946,4.23,21,162.2
Ark.-Pine Bluff (SWAC),11,4-7,441,1778,4.03,13,161.6
Stony Brook (CAA),12,5-7,494,1929,3.90,16,160.8
Wagner (NEC),11,7-4,485,1767,3.64,16,160.6
