Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Gardner-Webb (Big South),12,4-8,43,343,28.58
Elon (CAA),12,1-11,45,360,30.00
Southern Ill. (MVFC),12,6-6,48,416,34.67
VMI (SoCon),12,2-10,58,479,39.92
William & Mary (CAA),12,7-5,57,482,40.17
Valparaiso (Pioneer),12,4-8,56,482,40.17
Holy Cross (Patriot),12,4-8,53,490,40.83
Furman (SoCon),12,3-9,57,505,42.08
Coastal Carolina (Big South),14,12-2,67,593,42.36
Youngstown St. (MVFC),12,7-5,60,514,42.83
Wofford (SoCon),11,6-5,54,473,43.00
UAlbany (CAA),12,7-5,60,521,43.42
New Hampshire (CAA),14,12-2,72,611,43.64
Towson (CAA),12,4-8,63,527,43.92
Illinois St. (MVFC),15,13-2,77,661,44.07
UC Davis (Big Sky),11,2-9,49,485,44.09
Richmond (CAA),14,9-5,70,618,44.14
Tennessee Tech (OVC),12,5-7,63,534,44.50
Colgate (Patriot),12,5-7,59,537,44.75
Robert Morris (NEC),11,1-10,63,493,44.82
Chattanooga (SoCon),14,10-4,74,633,45.21
Montana (Big Sky),14,9-5,73,634,45.29
South Dakota St. (MVFC),14,9-5,80,647,46.21
Butler (Pioneer),11,4-7,62,512,46.55
Rhode Island (CAA),12,1-11,64,559,46.58
Northern Ariz. (Big Sky),12,7-5,62,559,46.58
South Dakota (MVFC),12,2-10,57,560,46.67
Penn (Ivy League),10,2-8,51,474,47.40
Brown (Ivy League),10,5-5,55,475,47.50
UNI (MVFC),14,9-5,78,665,47.50
San Diego (Pioneer),12,9-3,71,572,47.67
Delaware St. (MEAC),12,2-10,71,575,47.92
Davidson (Pioneer),12,1-11,68,579,48.25
Princeton (Ivy League),10,5-5,55,483,48.30
Cal Poly (Big Sky),12,7-5,62,582,48.50
Presbyterian (Big South),11,6-5,58,534,48.55
Nicholls (Southland),12,0-12,77,597,49.75
Dartmouth (Ivy League),10,8-2,51,498,49.80
North Dakota St. (MVFC),16,15-1,97,797,49.81
North Dakota (Big Sky),12,5-7,71,604,50.33
Central Ark. (Southland),12,6-6,69,607,50.58
The Citadel (SoCon),12,5-7,71,607,50.58
Southern Utah (Big Sky),12,3-9,67,616,51.33
Samford (SoCon),11,7-4,56,568,51.64
Northwestern St. (Southland),12,6-6,67,625,52.08
Lafayette (Patriot),11,5-6,75,574,52.18
South Carolina St. (MEAC),12,8-4,68,629,52.42
Liberty (Big South),14,9-5,74,737,52.64
Maine (CAA),11,5-6,56,582,52.91
Savannah St. (MEAC),12,0-12,90,641,53.42
Cornell (Ivy League),10,1-9,66,545,54.50
Morehead St. (Pioneer),12,4-8,80,657,54.75
Lehigh (Patriot),11,3-8,64,603,54.82
Southeast Mo. St. (OVC),12,5-7,77,659,54.92
Harvard (Ivy League),10,10-0,67,556,55.60
Montana St. (Big Sky),13,8-5,76,723,55.62
Southern U. (SWAC),13,9-4,92,724,55.69
Charleston So. (Big South),12,8-4,79,673,56.08
Missouri St. (MVFC),12,4-8,77,677,56.42
Wagner (NEC),11,7-4,67,633,57.55
Sam Houston (Southland),16,11-5,102,921,57.56
Western Ill. (MVFC),12,5-7,75,693,57.75
Bucknell (Patriot),11,8-3,68,638,58.00
Norfolk St. (MEAC),12,4-8,72,696,58.00
Murray St. (OVC),12,3-9,78,697,58.08
McNeese (Southland),11,6-5,74,651,59.18
UT Martin (OVC),12,6-6,76,712,59.33
N.C. A&T (MEAC),12,9-3,86,714,59.50
Columbia (Ivy League),10,0-10,72,599,59.90
Monmouth (Big South),11,6-5,73,661,60.09
Eastern Ky. (OVC),13,9-4,92,784,60.31
Mercer (SoCon),12,6-6,77,726,60.50
Eastern Wash. (Big Sky),14,11-3,89,850,60.71
Idaho St. (Big Sky),12,8-4,74,730,60.83
Portland St. (Big Sky),12,3-9,84,731,60.92
Georgetown (Patriot),11,3-8,75,678,61.64
Marist (Pioneer),11,4-7,73,680,61.82
Delaware (CAA),12,6-6,80,744,62.00
Florida A&M (MEAC),12,3-9,88,747,62.25
SFA (),13,8-5,94,814,62.62
Northern Colo. (Big Sky),11,3-8,77,695,63.18
Duquesne (NEC),12,6-6,80,768,64.00
Stetson (Pioneer),12,5-7,84,781,65.08
Indiana St. (MVFC),14,8-6,96,912,65.14
Lamar University (Southland),12,8-4,87,784,65.33
Dayton (Pioneer),11,8-3,71,719,65.36
Yale (Ivy League),10,8-2,71,655,65.50
Saint Francis (PA) (NEC),11,5-6,86,721,65.55
Central Conn. St. (NEC),12,3-9,91,791,65.92
Stony Brook (CAA),12,5-7,85,791,65.92
Villanova (CAA),14,11-3,108,924,66.00
Houston Christian (Southland),11,2-9,85,726,66.00
Austin Peay (OVC),12,1-11,84,792,66.00
Morgan St. (MEAC),13,7-6,99,861,66.23
Southeastern La. (Southland),13,9-4,111,862,66.31
James Madison (CAA),13,9-4,102,866,66.62
Eastern Ill. (OVC),12,5-7,99,800,66.67
Weber St. (Big Sky),12,2-10,90,809,67.42
Jackson St. (SWAC),12,5-7,97,822,68.50
Drake (Pioneer),11,7-4,83,767,69.73
Ark.-Pine Bluff (SWAC),11,4-7,100,772,70.18
Mississippi Val. (SWAC),11,2-9,90,778,70.73
Hampton (MEAC),12,3-9,100,859,71.58
Sacramento St. (Big Sky),12,7-5,88,861,71.75
Fordham (Patriot),14,11-3,97,1005,71.79
Campbell (Pioneer),12,5-7,97,870,72.50
Howard (MEAC),12,5-7,96,873,72.75
Western Caro. (SoCon),12,7-5,87,875,72.92
Alcorn (SWAC),13,10-3,97,953,73.31
Alabama A&M (SWAC),12,4-8,97,885,73.75
Bryant (NEC),11,8-3,93,838,76.18
N.C. Central (MEAC),12,7-5,95,923,76.92
Texas Southern (SWAC),11,5-6,91,847,77.00
Jacksonville St. (OVC),12,10-2,91,940,78.33
Alabama St. (SWAC),11,7-5,101,930,84.55
Jacksonville (Pioneer),11,9-2,101,938,85.27
Sacred Heart (NEC),12,9-3,107,1028,85.67
Tennessee St. (OVC),12,6-6,121,1097,91.42
Bethune-Cookman (MEAC),12,9-3,123,1147,95.58
Grambling (SWAC),12,7-5,129,1177,98.08
Prairie View (SWAC),10,5-5,105,1031,103.10
UIW (Southland),11,2-9,60,489,44.45
Abilene Christian (Southland),12,6-6,64,691,57.58
