Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Ark.-Pine Bluff (SWAC),11,2-9,1,13,0.077
Alabama A&M (SWAC),11,5-6,4,17,0.235
Maine (CAA),11,2-9,4,14,0.286
North Ala. (ASUN),11,3-8,6,20,0.300
Robert Morris (OVC),11,4-7,5,16,0.312
Marist (Pioneer),11,4-7,6,19,0.316
Tennessee St. (OVC),11,6-5,6,19,0.316
Morehead St. (Pioneer),11,4-7,7,21,0.333
Southern Ill. (MVFC),13,8-5,7,21,0.333
Dartmouth (Ivy League),10,6-4,8,23,0.348
Brown (Ivy League),10,5-5,4,11,0.364
Bucknell (Patriot),11,4-7,7,19,0.368
Furman (SoCon),13,10-3,10,26,0.385
Montana (Big Sky),13,12-1,15,39,0.385
Mississippi Val. (SWAC),11,1-10,7,18,0.389
San Diego (Pioneer),11,4-7,7,18,0.389
UAlbany (CAA),14,11-3,15,37,0.405
Southern U. (SWAC),11,6-5,11,27,0.407
Eastern Ill. (OVC),11,8-3,9,22,0.409
Lamar University (Southland),11,6-5,7,17,0.412
Indiana St. (MVFC),11,1-10,5,12,0.417
UC Davis (Big Sky),11,7-4,10,24,0.417
Yale (Ivy League),10,7-3,10,24,0.417
Northern Ariz. (Big Sky),11,5-6,13,30,0.433
Hampton (CAA),11,5-6,7,16,0.438
SFA (ASUN),11,3-8,8,18,0.444
Abilene Christian (ASUN),11,5-6,9,20,0.450
Elon (CAA),11,6-5,9,20,0.450
Delaware (CAA),13,9-4,10,22,0.455
Morgan St. (MEAC),10,4-6,5,11,0.455
Gardner-Webb (OVC),12,7-5,11,24,0.458
Nicholls (Southland),11,6-5,13,28,0.464
Cal Poly (Big Sky),11,3-8,8,17,0.471
Chattanooga (SoCon),13,8-5,8,17,0.471
Central Ark. (ASUN),11,7-4,9,19,0.474
Drake (Pioneer),12,8-4,11,23,0.478
North Dakota (MVFC),12,7-5,11,23,0.478
Colgate (Patriot),11,6-5,13,27,0.481
Butler (Pioneer),11,7-4,14,29,0.483
Villanova (CAA),13,10-3,14,29,0.483
Bryant (OVC),11,6-5,15,30,0.500
Cornell (Ivy League),10,3-7,4,8,0.500
