Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Grambling (SWAC),11,5-6,11,22,0.500
Holy Cross (Patriot),11,7-4,15,30,0.500
Houston Christian (Southland),10,5-5,6,12,0.500
North Dakota St. (MVFC),14,11-3,12,24,0.500
Northern Colo. (Big Sky),11,0-11,9,18,0.500
Richmond (CAA),13,9-4,9,18,0.500
Samford (SoCon),11,6-5,13,26,0.500
South Carolina St. (MEAC),11,5-6,8,16,0.500
Weber St. (Big Sky),11,6-5,11,22,0.500
Florida A&M (SWAC),12,11-1,16,31,0.516
N.C. Central (MEAC),12,9-3,14,27,0.519
Stetson (Pioneer),11,3-8,13,25,0.520
Davidson (Pioneer),11,7-4,12,23,0.522
Dayton (Pioneer),11,4-7,12,23,0.522
Lehigh (Patriot),11,2-9,12,23,0.522
Duquesne (NEC),12,7-5,11,21,0.524
Fordham (Patriot),11,6-5,11,21,0.524
Montana St. (Big Sky),12,8-4,11,21,0.524
Southern Utah (ASUN),11,6-5,10,19,0.526
Delaware St. (MEAC),11,1-10,9,17,0.529
UNI (MVFC),11,6-5,9,17,0.529
Sacramento St. (Big Sky),13,8-5,16,30,0.533
New Hampshire (CAA),11,6-5,15,28,0.536
Lafayette (Patriot),12,9-3,22,41,0.537
Campbell (CAA),11,5-6,18,33,0.545
Portland St. (Big Sky),11,5-6,6,11,0.545
Harvard (Ivy League),10,8-2,17,31,0.548
South Dakota (MVFC),13,10-3,11,20,0.550
Murray St. (MVFC),11,2-9,10,18,0.556
Youngstown St. (MVFC),13,8-5,10,18,0.556
Idaho (Big Sky),13,9-4,14,25,0.560
Georgetown (Patriot),11,5-6,9,16,0.562
Western Caro. (SoCon),11,7-4,9,16,0.562
Wagner (NEC),11,4-7,13,23,0.565
Mercer (SoCon),13,9-4,16,28,0.571
Merrimack (NEC),11,5-6,8,14,0.571
Sacred Heart (NEC),11,2-9,8,14,0.571
Bethune-Cookman (SWAC),11,3-8,11,19,0.579
Southeastern La. (Southland),11,3-8,11,19,0.579
VMI (SoCon),11,5-6,11,19,0.579
Northwestern St. (Southland),6,0-6,7,12,0.583
Valparaiso (Pioneer),11,3-8,14,24,0.583
Idaho St. (Big Sky),11,3-8,10,17,0.588
Tennessee Tech (OVC),11,4-7,10,17,0.588
UIW (Southland),10,8-2,10,17,0.588
Charleston So. (OVC),11,4-7,13,22,0.591
Jackson St. (SWAC),11,7-4,13,22,0.591
Penn (Ivy League),10,6-4,13,22,0.591
Missouri St. (MVFC),11,4-7,16,27,0.593
Austin Peay (ASUN),12,9-3,18,30,0.600
Illinois St. (MVFC),11,6-5,12,20,0.600
N.C. A&T (CAA),11,1-10,9,15,0.600
Prairie View (SWAC),12,6-6,9,15,0.600
Rhode Island (CAA),11,6-5,9,15,0.600
Central Conn. St. (NEC),11,3-8,11,18,0.611
South Dakota St. (MVFC),13,13-0,11,18,0.611
Southeast Mo. St. (OVC),11,4-7,19,31,0.613
Columbia (Ivy League),10,3-7,16,26,0.615
Towson (CAA),11,5-6,10,16,0.625
Eastern Ky. (ASUN),11,5-6,19,30,0.633
McNeese (Southland),10,0-10,7,11,0.636
Stony Brook (CAA),10,0-10,7,11,0.636
LIU (NEC),11,4-7,16,25,0.640
Howard (MEAC),11,6-5,9,14,0.643
Wofford (SoCon),11,2-9,9,14,0.643
Eastern Wash. (Big Sky),11,4-7,11,17,0.647
The Citadel (SoCon),11,0-11,13,20,0.650
UT Martin (OVC),11,8-3,13,20,0.650
Kennesaw St. (FCS Independent),9,3-6,10,15,0.667
Princeton (Ivy League),10,5-5,14,21,0.667
Saint Francis (PA) (NEC),10,4-6,10,15,0.667
Western Ill. (MVFC),11,0-11,8,12,0.667
Alabama St. (SWAC),11,7-4,15,22,0.682
Texas Southern (SWAC),11,3-8,15,22,0.682
Monmouth (CAA),11,4-7,16,23,0.696
ETSU (SoCon),11,3-8,12,17,0.706
Presbyterian (Pioneer),11,4-7,16,22,0.727
Norfolk St. (MEAC),11,3-8,12,16,0.750
Alcorn (SWAC),11,7-4,11,14,0.786
William & Mary (CAA),11,6-5,11,14,0.786
St. Thomas (MN) (Pioneer),11,8-3,10,25,0.400
Tex. A&M-Commerce (Southland),10,1-9,11,24,0.458
Lindenwood (OVC),10,3-7,12,26,0.462
Stonehill (NEC),10,5-5,7,14,0.500
Tarleton St. (ASUN),11,8-3,19,32,0.594
Utah Tech (ASUN),11,2-9,13,20,0.650
