Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Florida A&M (SWAC),12,11-1,83,30,427,98,8.2
Gardner-Webb (OVC),12,7-5,71,52,355,97,8.1
Tennessee St. (OVC),11,6-5,72,30,353,87,7.9
Southern U. (SWAC),11,6-5,64,38,370,83,7.5
Yale (Ivy League),10,7-3,63,24,273,75,7.5
Bethune-Cookman (SWAC),11,3-8,59,46,291,82,7.5
Morehead St. (Pioneer),11,4-7,50,64,264,82,7.5
South Carolina St. (MEAC),11,5-6,72,20,326,82,7.5
Southern Utah (ASUN),11,6-5,55,54,310,82,7.5
UT Martin (OVC),11,8-3,59,46,299,82,7.5
Tennessee Tech (OVC),11,4-7,59,45,302,82,7.4
Richmond (CAA),13,9-4,75,40,387,95,7.3
Southern Ill. (MVFC),13,8-5,61,68,442,95,7.3
Furman (SoCon),13,10-3,71,44,359,93,7.2
Merrimack (NEC),11,5-6,62,32,306,78,7.1
UAlbany (CAA),14,11-3,83,30,473,98,7.0
Lafayette (Patriot),12,9-3,57,54,346,84,7.0
Illinois St. (MVFC),11,6-5,61,32,327,77,7.0
San Diego (Pioneer),11,4-7,60,34,296,77,7.0
Texas Southern (SWAC),11,3-8,53,46,288,76,6.9
Delaware (CAA),13,9-4,55,68,279,89,6.8
Montana St. (Big Sky),12,8-4,64,36,337,82,6.8
Alabama A&M (SWAC),11,5-6,49,52,283,75,6.8
Alcorn (SWAC),11,7-4,52,46,301,75,6.8
Mercer (SoCon),13,9-4,66,44,306,88,6.8
Nicholls (Southland),11,6-5,56,34,250,73,6.6
Dayton (Pioneer),11,4-7,45,54,248,72,6.5
Weber St. (Big Sky),11,6-5,53,38,361,72,6.5
UIW (Southland),10,8-2,36,58,286,65,6.5
Alabama St. (SWAC),11,7-4,56,30,247,71,6.5
Elon (CAA),11,6-5,54,34,277,71,6.5
LIU (NEC),11,4-7,54,34,255,71,6.5
Houston Christian (Southland),10,5-5,45,36,282,63,6.3
Portland St. (Big Sky),11,5-6,52,34,234,69,6.3
Eastern Ill. (OVC),11,8-3,48,40,245,68,6.2
Montana (Big Sky),13,12-1,61,36,358,79,6.1
Villanova (CAA),13,10-3,59,38,305,78,6.0
Central Ark. (ASUN),11,7-4,49,34,276,66,6.0
Columbia (Ivy League),10,3-7,48,24,206,60,6.0
Penn (Ivy League),10,6-4,41,38,230,60,6.0
Colgate (Patriot),11,6-5,50,30,246,65,5.9
Jackson St. (SWAC),11,7-4,48,34,256,65,5.9
Missouri St. (MVFC),11,4-7,47,36,263,65,5.9
Presbyterian (Pioneer),11,4-7,46,38,220,65,5.9
SFA (ASUN),11,3-8,45,40,260,65,5.9
UNI (MVFC),11,6-5,47,36,240,65,5.9
