Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Harvard (Ivy League),10,8-2,34,294,29.40
North Dakota (MVFC),12,7-5,42,379,31.58
Bethune-Cookman (SWAC),11,3-8,49,389,35.36
Brown (Ivy League),10,5-5,36,355,35.50
Columbia (Ivy League),10,3-7,47,373,37.30
Stetson (Pioneer),11,3-8,52,413,37.55
UC Davis (Big Sky),11,7-4,50,414,37.64
Butler (Pioneer),11,7-4,46,419,38.09
Penn (Ivy League),10,6-4,45,391,39.10
Chattanooga (SoCon),13,8-5,63,510,39.23
Western Ill. (MVFC),11,0-11,55,438,39.82
Cal Poly (Big Sky),11,3-8,52,439,39.91
Northwestern St. (Southland),6,0-6,27,245,40.83
Eastern Wash. (Big Sky),11,4-7,50,450,40.91
Yale (Ivy League),10,7-3,50,412,41.20
Eastern Ky. (ASUN),11,5-6,55,455,41.36
Charleston So. (OVC),11,4-7,49,456,41.45
Lafayette (Patriot),12,9-3,54,517,43.08
Illinois St. (MVFC),11,6-5,57,476,43.27
South Carolina St. (MEAC),11,5-6,52,476,43.27
Houston Christian (Southland),10,5-5,53,434,43.40
VMI (SoCon),11,5-6,49,480,43.64
Furman (SoCon),13,10-3,64,568,43.69
Villanova (CAA),13,10-3,70,578,44.46
Northern Colo. (Big Sky),11,0-11,52,491,44.64
South Dakota (MVFC),13,10-3,76,590,45.38
Sacramento St. (Big Sky),13,8-5,69,592,45.54
Sacred Heart (NEC),11,2-9,59,508,46.18
The Citadel (SoCon),11,0-11,63,511,46.45
Delaware (CAA),13,9-4,61,607,46.69
Howard (MEAC),11,6-5,60,516,46.91
Davidson (Pioneer),11,7-4,55,519,47.18
Indiana St. (MVFC),11,1-10,54,532,48.36
Idaho St. (Big Sky),11,3-8,56,534,48.55
Monmouth (CAA),11,4-7,65,534,48.55
Richmond (CAA),13,9-4,63,634,48.77
Abilene Christian (ASUN),11,5-6,66,538,48.91
N.C. Central (MEAC),12,9-3,63,591,49.25
Princeton (Ivy League),10,5-5,57,494,49.40
N.C. A&T (CAA),11,1-10,67,547,49.73
Dartmouth (Ivy League),10,6-4,51,498,49.80
Wagner (NEC),11,4-7,70,551,50.09
Alabama St. (SWAC),11,7-4,72,556,50.55
Ark.-Pine Bluff (SWAC),11,2-9,67,556,50.55
Cornell (Ivy League),10,3-7,49,506,50.60
Montana St. (Big Sky),12,8-4,68,611,50.92
Eastern Ill. (OVC),11,8-3,64,564,51.27
Lehigh (Patriot),11,2-9,65,564,51.27
Colgate (Patriot),11,6-5,63,565,51.36
Lamar University (Southland),11,6-5,60,568,51.64
Norfolk St. (MEAC),11,3-8,71,571,51.91
Alabama A&M (SWAC),11,5-6,74,572,52.00
Robert Morris (OVC),11,4-7,77,573,52.09
Gardner-Webb (OVC),12,7-5,64,626,52.17
Bucknell (Patriot),11,4-7,66,575,52.27
Maine (CAA),11,2-9,65,575,52.27
Southeastern La. (Southland),11,3-8,71,576,52.36
Tennessee Tech (OVC),11,4-7,73,576,52.36
McNeese (Southland),10,0-10,59,524,52.40
North Dakota St. (MVFC),14,11-3,84,737,52.64
Elon (CAA),11,6-5,63,580,52.73
Saint Francis (PA) (NEC),10,4-6,64,528,52.80
Southern Ill. (MVFC),13,8-5,85,687,52.85
Mercer (SoCon),13,9-4,79,690,53.08
Youngstown St. (MVFC),13,8-5,82,690,53.08
Bryant (OVC),11,6-5,67,585,53.18
LIU (NEC),11,4-7,59,585,53.18
Dayton (Pioneer),11,4-7,63,588,53.45
Morehead St. (Pioneer),11,4-7,76,596,54.18
Valparaiso (Pioneer),11,3-8,68,601,54.64
Idaho (Big Sky),13,9-4,74,711,54.69
UNI (MVFC),11,6-5,66,603,54.82
SFA (ASUN),11,3-8,74,608,55.27
Samford (SoCon),11,6-5,61,620,56.36
Duquesne (NEC),12,7-5,83,678,56.50
Merrimack (NEC),11,5-6,73,623,56.64
Holy Cross (Patriot),11,7-4,67,625,56.82
Missouri St. (MVFC),11,4-7,66,627,57.00
Delaware St. (MEAC),11,1-10,71,628,57.09
Hampton (CAA),11,5-6,74,628,57.09
Campbell (CAA),11,5-6,75,629,57.18
Nicholls (Southland),11,6-5,71,632,57.45
Austin Peay (ASUN),12,9-3,76,691,57.58
Rhode Island (CAA),11,6-5,70,634,57.64
Marist (Pioneer),11,4-7,70,642,58.36
Portland St. (Big Sky),11,5-6,68,643,58.45
UT Martin (OVC),11,8-3,73,643,58.45
Prairie View (SWAC),12,6-6,79,704,58.67
William & Mary (CAA),11,6-5,66,649,59.00
Tennessee St. (OVC),11,6-5,76,655,59.55
ETSU (SoCon),11,3-8,69,656,59.64
Central Conn. St. (NEC),11,3-8,75,657,59.73
Western Caro. (SoCon),11,7-4,75,658,59.82
Mississippi Val. (SWAC),11,1-10,77,663,60.27
Stony Brook (CAA),10,0-10,75,605,60.50
Murray St. (MVFC),11,2-9,66,668,60.73
Wofford (SoCon),11,2-9,82,679,61.73
Presbyterian (Pioneer),11,4-7,76,683,62.09
Southern Utah (ASUN),11,6-5,71,684,62.18
UAlbany (CAA),14,11-3,92,878,62.71
Alcorn (SWAC),11,7-4,72,693,63.00
Georgetown (Patriot),11,5-6,79,693,63.00
Kennesaw St. (FCS Independent),9,3-6,59,570,63.33
Morgan St. (MEAC),10,4-6,66,648,64.80
Fordham (Patriot),11,6-5,86,713,64.82
South Dakota St. (MVFC),13,13-0,88,850,65.38
Montana (Big Sky),13,12-1,88,862,66.31
Jackson St. (SWAC),11,7-4,82,730,66.36
Northern Ariz. (Big Sky),11,5-6,86,739,67.18
North Ala. (ASUN),11,3-8,80,746,67.82
Drake (Pioneer),12,8-4,96,816,68.00
Southeast Mo. St. (OVC),11,4-7,73,768,69.82
New Hampshire (CAA),11,6-5,80,775,70.45
Towson (CAA),11,5-6,89,779,70.82
Weber St. (Big Sky),11,6-5,90,799,72.64
Central Ark. (ASUN),11,7-4,88,835,75.91
Florida A&M (SWAC),12,11-1,105,940,78.33
San Diego (Pioneer),11,4-7,99,862,78.36
Southern U. (SWAC),11,6-5,93,865,78.64
UIW (Southland),10,8-2,85,788,78.80
Texas Southern (SWAC),11,3-8,95,889,80.82
Grambling (SWAC),11,5-6,108,900,81.82
Utah Tech (ASUN),11,2-9,54,488,44.36
St. Thomas (MN) (Pioneer),11,8-3,62,553,50.27
Lindenwood (OVC),10,3-7,53,520,52.00
Tarleton St. (ASUN),11,8-3,71,678,61.64
Stonehill (NEC),10,5-5,64,630,63.00
Tex. A&M-Commerce (Southland),10,1-9,83,767,76.70
