Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Western Caro. (SoCon),11,7-4,764,5545,7.26,52,504.1
UIW (Southland),10,8-2,706,4802,6.80,41,480.2
Montana St. (Big Sky),12,8-4,719,5664,7.88,61,472.0
Holy Cross (Patriot),11,7-4,714,5133,7.19,56,466.6
Davidson (Pioneer),11,7-4,770,5095,6.62,59,463.2
South Dakota St. (MVFC),13,13-0,775,5829,7.52,59,448.4
North Dakota St. (MVFC),14,11-3,873,6206,7.11,66,443.3
UT Martin (OVC),11,8-3,803,4838,6.02,45,439.8
Eastern Ky. (ASUN),11,5-6,768,4811,6.26,37,437.4
Illinois St. (MVFC),11,6-5,768,4778,6.22,47,434.4
New Hampshire (CAA),11,6-5,786,4778,6.08,48,434.4
Monmouth (CAA),11,4-7,733,4747,6.48,48,431.5
Fordham (Patriot),11,6-5,777,4708,6.06,42,428.0
Austin Peay (ASUN),12,9-3,816,5121,6.28,48,426.8
Villanova (CAA),13,10-3,783,5524,7.05,54,424.9
Samford (SoCon),11,6-5,823,4673,5.68,42,424.8
Sacramento St. (Big Sky),13,8-5,902,5470,6.06,51,420.8
Central Ark. (ASUN),11,7-4,748,4607,6.16,43,418.8
Rhode Island (CAA),11,6-5,735,4599,6.26,40,418.1
Idaho (Big Sky),13,9-4,867,5430,6.26,48,417.7
Eastern Wash. (Big Sky),11,4-7,825,4594,5.57,41,417.6
Delaware (CAA),13,9-4,891,5372,6.03,52,413.2
Youngstown St. (MVFC),13,8-5,878,5333,6.07,51,410.2
SFA (ASUN),11,3-8,825,4464,5.41,36,405.8
Penn (Ivy League),10,6-4,712,4011,5.63,30,401.1
Missouri St. (MVFC),11,4-7,683,4409,6.46,41,400.8
Southern Utah (ASUN),11,6-5,745,4370,5.87,45,397.3
Brown (Ivy League),10,5-5,780,3962,5.08,32,396.2
Georgetown (Patriot),11,5-6,774,4316,5.58,35,392.4
Campbell (CAA),11,5-6,741,4306,5.81,42,391.5
Montana (Big Sky),13,12-1,902,5076,5.63,47,390.5
North Ala. (ASUN),11,3-8,828,4291,5.18,34,390.1
Jackson St. (SWAC),11,7-4,760,4285,5.64,38,389.5
Idaho St. (Big Sky),11,3-8,786,4283,5.45,38,389.4
UC Davis (Big Sky),11,7-4,772,4281,5.55,35,389.2
