Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
South Dakota St. (MVFC),13,13-0,726,3301,4.55,15,15,253.9
Florida A&M (SWAC),12,11-1,757,3204,4.23,23,23,267.0
Alabama St. (SWAC),11,7-4,684,3101,4.53,18,19,281.9
Southern Ill. (MVFC),13,8-5,824,3670,4.45,21,23,282.3
Merrimack (NEC),11,5-6,622,3115,5.01,32,33,283.2
UIW (Southland),10,8-2,656,2982,4.55,21,24,298.2
Villanova (CAA),13,10-3,795,3904,4.91,27,30,300.3
Princeton (Ivy League),10,5-5,712,3021,4.24,18,20,302.1
William & Mary (CAA),11,6-5,629,3342,5.31,22,24,303.8
North Dakota St. (MVFC),14,11-3,779,4255,5.46,31,32,303.9
Penn (Ivy League),10,6-4,705,3040,4.31,25,25,304.0
Dartmouth (Ivy League),10,6-4,657,3055,4.65,22,24,305.5
UAlbany (CAA),14,11-3,937,4282,4.57,27,28,305.9
Tennessee Tech (OVC),11,4-7,662,3367,5.09,31,37,306.1
Idaho (Big Sky),13,9-4,796,3989,5.01,35,35,306.8
Kennesaw St. (FCS Independent),9,3-6,592,2774,4.69,19,19,308.2
Morgan St. (MEAC),10,4-6,651,3085,4.74,22,26,308.5
Montana (Big Sky),13,12-1,855,4025,4.71,28,28,309.6
Presbyterian (Pioneer),11,4-7,734,3460,4.71,28,34,314.5
Furman (SoCon),13,10-3,834,4108,4.93,27,31,316.0
Howard (MEAC),11,6-5,635,3478,5.48,28,31,316.2
Valparaiso (Pioneer),11,3-8,712,3504,4.92,33,35,318.5
Butler (Pioneer),11,7-4,652,3520,5.40,24,25,320.0
South Carolina St. (MEAC),11,5-6,651,3549,5.45,33,36,322.6
South Dakota (MVFC),13,10-3,799,4203,5.26,26,28,323.3
Georgetown (Patriot),11,5-6,664,3565,5.37,35,37,324.1
Illinois St. (MVFC),11,6-5,729,3574,4.90,29,30,324.9
Columbia (Ivy League),10,3-7,694,3259,4.70,21,23,325.9
Southern U. (SWAC),11,6-5,770,3600,4.68,25,28,327.3
Central Ark. (ASUN),11,7-4,734,3639,4.96,30,31,330.8
Montana St. (Big Sky),12,8-4,759,3977,5.24,34,34,331.4
Dayton (Pioneer),11,4-7,684,3647,5.33,34,36,331.5
Gardner-Webb (OVC),12,7-5,854,4002,4.69,39,42,333.5
Tennessee St. (OVC),11,6-5,742,3672,4.95,34,36,333.8
San Diego (Pioneer),11,4-7,678,3701,5.46,33,34,336.5
UNI (MVFC),11,6-5,665,3702,5.57,35,37,336.5
Jackson St. (SWAC),11,7-4,677,3720,5.49,36,37,338.2
Richmond (CAA),13,9-4,790,4400,5.57,35,38,338.5
Sacred Heart (NEC),11,2-9,693,3726,5.38,32,34,338.7
UC Davis (Big Sky),11,7-4,723,3740,5.17,30,33,340.0
Cornell (Ivy League),10,3-7,589,3412,5.79,32,34,341.2
Eastern Ill. (OVC),11,8-3,730,3759,5.15,29,29,341.7
Alcorn (SWAC),11,7-4,672,3762,5.60,28,30,342.0
Youngstown St. (MVFC),13,8-5,721,4456,6.18,43,43,342.8
Robert Morris (OVC),11,4-7,646,3772,5.84,38,43,342.9
Lafayette (Patriot),12,9-3,801,4119,5.14,37,37,343.2
Harvard (Ivy League),10,8-2,738,3438,4.66,25,25,343.8
Mercer (SoCon),13,9-4,852,4474,5.25,36,37,344.2
Southern Utah (ASUN),11,6-5,745,3803,5.10,32,33,345.7
Alabama A&M (SWAC),11,5-6,696,3805,5.47,35,38,345.9
Yale (Ivy League),10,7-3,725,3476,4.79,24,25,347.6
Delaware (CAA),13,9-4,839,4541,5.41,34,38,349.3
UT Martin (OVC),11,8-3,776,3863,4.98,30,34,351.2
Drake (Pioneer),12,8-4,768,4232,5.51,38,41,352.7
Saint Francis (PA) (NEC),10,4-6,659,3536,5.37,32,35,353.6
Wofford (SoCon),11,2-9,747,3897,5.22,28,31,354.3
Chattanooga (SoCon),13,8-5,796,4621,5.81,37,39,355.5
Monmouth (CAA),11,4-7,709,3915,5.52,41,41,355.9
Grambling (SWAC),11,5-6,715,3924,5.49,40,43,356.7
LIU (NEC),11,4-7,746,3938,5.28,34,36,358.0
Nicholls (Southland),11,6-5,724,3990,5.51,31,34,362.7
Davidson (Pioneer),11,7-4,633,3994,6.31,41,43,363.1
Duquesne (NEC),12,7-5,780,4385,5.62,45,49,365.4
Wagner (NEC),11,4-7,705,4021,5.70,40,45,365.5
Marist (Pioneer),11,4-7,686,4061,5.92,43,44,369.2
Weber St. (Big Sky),11,6-5,775,4062,5.24,33,35,369.3
Elon (CAA),11,6-5,746,4063,5.45,34,34,369.4
Lamar University (Southland),11,6-5,705,4079,5.79,33,34,370.8
Western Caro. (SoCon),11,7-4,724,4101,5.66,36,40,372.8
VMI (SoCon),11,5-6,744,4127,5.55,31,34,375.2
Holy Cross (Patriot),11,7-4,726,4138,5.70,35,37,376.2
Norfolk St. (MEAC),11,3-8,653,4140,6.34,40,43,376.4
Fordham (Patriot),11,6-5,744,4145,5.57,35,36,376.8
N.C. Central (MEAC),12,9-3,716,4523,6.32,44,47,376.9
Indiana St. (MVFC),11,1-10,697,4150,5.95,37,43,377.3
Bethune-Cookman (SWAC),11,3-8,720,4151,5.77,33,37,377.4
Bryant (OVC),11,6-5,778,4158,5.34,37,37,378.0
Texas Southern (SWAC),11,3-8,800,4177,5.22,46,48,379.7
Mississippi Val. (SWAC),11,1-10,678,4188,6.18,36,38,380.7
Sacramento St. (Big Sky),13,8-5,867,4992,5.76,41,44,384.0
Samford (SoCon),11,6-5,747,4234,5.67,32,34,384.9
Houston Christian (Southland),10,5-5,667,3855,5.78,35,38,385.5
Rhode Island (CAA),11,6-5,715,4242,5.93,38,41,385.6
North Dakota (MVFC),12,7-5,774,4670,6.03,42,42,389.2
Northern Ariz. (Big Sky),11,5-6,744,4299,5.78,39,43,390.8
Austin Peay (ASUN),12,9-3,889,4752,5.35,35,37,396.0
Prairie View (SWAC),12,6-6,748,4753,6.35,44,48,396.1
SFA (ASUN),11,3-8,715,4358,6.10,42,45,396.2
Charleston So. (OVC),11,4-7,773,4385,5.67,40,41,398.6
Brown (Ivy League),10,5-5,672,3989,5.94,36,38,398.9
ETSU (SoCon),11,3-8,809,4400,5.44,42,44,400.0
