Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Davidson (Pioneer),11,7-4,60,59,0,0,7,0,440,40.0
Montana St. (Big Sky),12,8-4,65,57,1,0,10,0,479,39.9
North Dakota St. (MVFC),14,11-3,71,69,0,0,16,0,543,38.8
Western Caro. (SoCon),11,7-4,53,51,1,0,14,0,413,37.5
New Hampshire (CAA),11,6-5,53,46,2,0,14,1,412,37.5
Holy Cross (Patriot),11,7-4,57,55,0,0,3,0,406,36.9
South Dakota St. (MVFC),13,13-0,62,58,0,0,16,0,478,36.8
N.C. Central (MEAC),12,9-3,58,52,0,0,10,0,430,35.8
Austin Peay (ASUN),12,9-3,53,48,1,0,13,1,409,34.1
Portland St. (Big Sky),11,5-6,50,46,1,0,8,0,372,33.8
UIW (Southland),10,8-2,45,43,0,1,7,0,334,33.6
Illinois St. (MVFC),11,6-5,49,39,2,0,8,0,361,32.8
Monmouth (CAA),11,4-7,50,41,2,0,4,0,357,32.5
Idaho (Big Sky),13,9-4,52,43,4,0,19,0,420,32.3
Montana (Big Sky),13,12-1,53,44,4,0,16,1,420,32.3
Eastern Wash. (Big Sky),11,4-7,45,41,1,0,14,0,355,32.3
Youngstown St. (MVFC),13,8-5,52,48,1,0,18,0,416,32.0
Villanova (CAA),13,10-3,55,53,0,0,10,1,415,31.9
Southern Utah (ASUN),11,6-5,48,44,0,0,6,0,350,31.8
Harvard (Ivy League),10,8-2,43,35,2,0,7,0,318,31.8
UT Martin (OVC),11,8-3,46,43,0,0,10,0,349,31.7
Delaware (CAA),13,9-4,56,45,3,0,8,0,411,31.6
Central Ark. (ASUN),11,7-4,45,37,0,0,13,0,346,31.5
North Dakota (MVFC),12,7-5,53,43,1,1,4,0,375,31.4
Bryant (OVC),11,6-5,45,38,2,0,9,2,343,31.2
Florida A&M (SWAC),12,11-1,48,46,1,1,10,0,366,30.7
Sacramento St. (Big Sky),13,8-5,51,49,0,0,14,0,397,30.5
Fordham (Patriot),11,6-5,43,33,1,0,14,0,335,30.5
UAlbany (CAA),14,11-3,56,51,0,0,13,0,426,30.4
Lafayette (Patriot),12,9-3,49,46,0,0,6,1,360,30.0
Yale (Ivy League),10,7-3,40,36,1,0,7,0,299,29.9
Missouri St. (MVFC),11,4-7,43,43,0,0,9,0,328,29.8
Alabama A&M (SWAC),11,5-6,43,40,2,1,6,2,324,29.6
Eastern Ky. (ASUN),11,5-6,38,31,4,0,19,0,324,29.5
SFA (ASUN),11,3-8,38,37,1,0,17,2,322,29.3
Samford (SoCon),11,6-5,43,40,0,0,7,0,319,29.0
Butler (Pioneer),11,7-4,38,37,0,0,17,1,318,28.9
Rhode Island (CAA),11,6-5,42,39,0,0,9,0,318,28.9
Campbell (CAA),11,5-6,43,39,1,0,5,1,316,28.7
Grambling (SWAC),11,5-6,42,33,2,0,7,3,316,28.7
Howard (MEAC),11,6-5,42,34,3,0,8,0,316,28.7
Richmond (CAA),13,9-4,48,45,0,0,11,0,366,28.2
Northern Ariz. (Big Sky),11,5-6,42,36,2,0,3,1,303,27.5
Chattanooga (SoCon),13,8-5,41,38,2,0,23,0,357,27.5
Furman (SoCon),13,10-3,43,41,0,0,19,0,356,27.4
Jackson St. (SWAC),11,7-4,39,32,1,0,10,1,300,27.3
Saint Francis (PA) (NEC),10,4-6,37,33,1,0,5,0,272,27.2
Duquesne (NEC),12,7-5,44,40,0,0,7,0,325,27.1
Gardner-Webb (OVC),12,7-5,42,41,0,0,9,1,322,26.8
Merrimack (NEC),11,5-6,38,35,0,0,10,1,295,26.8
Southeast Mo. St. (OVC),11,4-7,37,35,1,0,11,1,294,26.7
Penn (Ivy League),10,6-4,30,27,0,0,17,2,262,26.2
