Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
South Dakota St. (MVFC),13,13-0,50,26,14,8,48,0.960
North Dakota St. (MVFC),14,11-3,64,30,15,15,60,0.938
N.C. Central (MEAC),12,9-3,45,25,11,6,42,0.933
Idaho (Big Sky),13,9-4,54,21,16,13,50,0.926
Eastern Ky. (ASUN),11,5-6,48,13,16,15,44,0.917
South Dakota (MVFC),13,10-3,35,16,7,9,32,0.914
Davidson (Pioneer),11,7-4,46,29,8,5,42,0.913
Colgate (Patriot),11,6-5,32,13,8,8,29,0.906
UNI (MVFC),11,6-5,42,12,11,15,38,0.905
Portland St. (Big Sky),11,5-6,41,22,12,3,37,0.902
Sacramento St. (Big Sky),13,8-5,59,25,17,11,53,0.898
Austin Peay (ASUN),12,9-3,39,15,9,11,35,0.897
Abilene Christian (ASUN),11,5-6,29,10,9,7,26,0.897
Saint Francis (PA) (NEC),10,4-6,37,14,14,5,33,0.892
Chattanooga (SoCon),13,8-5,46,14,10,17,41,0.891
Eastern Wash. (Big Sky),11,4-7,45,15,12,13,40,0.889
North Dakota (MVFC),12,7-5,49,26,14,3,43,0.878
Missouri St. (MVFC),11,4-7,40,9,18,8,35,0.875
Furman (SoCon),13,10-3,55,21,13,14,48,0.873
Illinois St. (MVFC),11,6-5,47,19,14,8,41,0.872
Hampton (CAA),11,5-6,31,14,6,7,27,0.871
Morehead St. (Pioneer),11,4-7,23,7,6,7,20,0.870
Richmond (CAA),13,9-4,45,13,15,11,39,0.867
Towson (CAA),11,5-6,45,14,12,13,39,0.867
Harvard (Ivy League),10,8-2,37,17,10,5,32,0.865
Northern Colo. (Big Sky),11,0-11,22,6,8,5,19,0.864
Idaho St. (Big Sky),11,3-8,36,12,15,4,31,0.861
Presbyterian (Pioneer),11,4-7,36,6,12,13,31,0.861
Southeast Mo. St. (OVC),11,4-7,36,16,9,6,31,0.861
Fordham (Patriot),11,6-5,42,14,13,9,36,0.857
Youngstown St. (MVFC),13,8-5,62,22,17,14,53,0.855
Tennessee St. (OVC),11,6-5,34,18,5,6,29,0.853
Montana St. (Big Sky),12,8-4,54,27,12,7,46,0.852
Campbell (CAA),11,5-6,46,20,16,3,39,0.848
Central Ark. (ASUN),11,7-4,51,11,21,11,43,0.843
Yale (Ivy League),10,7-3,38,13,13,6,32,0.842
Bethune-Cookman (SWAC),11,3-8,25,9,7,5,21,0.840
Bryant (OVC),11,6-5,50,14,22,6,42,0.840
Merrimack (NEC),11,5-6,31,18,1,7,26,0.839
Gardner-Webb (OVC),12,7-5,36,16,9,5,30,0.833
Montana (Big Sky),13,12-1,48,23,9,8,40,0.833
Southern Utah (ASUN),11,6-5,42,13,16,6,35,0.833
UC Davis (Big Sky),11,7-4,42,16,11,8,35,0.833
Howard (MEAC),11,6-5,41,17,9,8,34,0.829
Penn (Ivy League),10,6-4,41,11,10,13,34,0.829
Butler (Pioneer),11,7-4,35,11,6,12,29,0.829
Central Conn. St. (NEC),11,3-8,35,14,8,7,29,0.829
Drake (Pioneer),12,8-4,35,9,10,10,29,0.829
William & Mary (CAA),11,6-5,40,14,10,9,33,0.825
Charleston So. (OVC),11,4-7,17,6,4,4,14,0.824
UAlbany (CAA),14,11-3,51,11,21,10,42,0.824
Elon (CAA),11,6-5,28,6,8,9,23,0.821
Duquesne (NEC),12,7-5,39,11,14,7,32,0.821
Holy Cross (Patriot),11,7-4,50,25,13,3,41,0.820
Lafayette (Patriot),12,9-3,50,23,13,5,41,0.820
Alcorn (SWAC),11,7-4,33,8,8,11,27,0.818
Southern Ill. (MVFC),13,8-5,44,17,10,9,36,0.818
Lehigh (Patriot),11,2-9,27,10,9,3,22,0.815
New Hampshire (CAA),11,6-5,54,16,17,11,44,0.815
SFA (ASUN),11,3-8,43,10,14,11,35,0.814
Dartmouth (Ivy League),10,6-4,37,15,5,10,30,0.811
Weber St. (Big Sky),11,6-5,36,14,8,7,29,0.806
