Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Idaho St. (Big Sky),11,3-8,543,325,22,3631,6.69,11.17,24,330.1
UIW (Southland),10,8-2,371,241,9,3231,8.71,13.41,25,323.1
Western Caro. (SoCon),11,7-4,401,261,13,3533,8.81,13.54,33,321.2
New Hampshire (CAA),11,6-5,467,295,6,3496,7.49,11.85,30,317.8
Missouri St. (MVFC),11,4-7,378,249,11,3303,8.74,13.27,29,300.3
Brown (Ivy League),10,5-5,468,292,11,3000,6.41,10.27,19,300.0
Samford (SoCon),11,6-5,452,324,8,3154,6.98,9.73,18,286.7
Penn (Ivy League),10,6-4,435,281,12,2861,6.58,10.18,16,286.1
Rhode Island (CAA),11,6-5,377,223,10,3133,8.31,14.05,19,284.8
Maine (CAA),11,2-9,425,273,13,3081,7.25,11.29,27,280.1
Eastern Ky. (ASUN),11,5-6,421,265,12,3033,7.20,11.45,20,275.7
Fordham (Patriot),11,6-5,379,242,1,3032,8.00,12.53,26,275.6
Austin Peay (ASUN),12,9-3,372,248,10,3289,8.84,13.26,30,274.1
Cal Poly (Big Sky),11,3-8,439,257,13,2981,6.79,11.60,23,271.0
UNI (MVFC),11,6-5,344,211,15,2950,8.58,13.98,17,268.2
Bryant (OVC),11,6-5,395,248,7,2947,7.46,11.88,29,267.9
SFA (ASUN),11,3-8,459,259,12,2904,6.33,11.21,22,264.0
Eastern Wash. (Big Sky),11,4-7,416,269,10,2897,6.96,10.77,21,263.4
Bucknell (Patriot),11,4-7,400,242,5,2854,7.14,11.79,24,259.5
Cornell (Ivy League),10,3-7,395,258,8,2594,6.57,10.05,10,259.4
Idaho (Big Sky),13,9-4,394,260,9,3353,8.51,12.90,26,257.9
Delaware (CAA),13,9-4,441,255,15,3289,7.46,12.90,27,253.0
Eastern Ill. (OVC),11,8-3,400,240,7,2741,6.85,11.42,17,249.2
Georgetown (Patriot),11,5-6,396,251,12,2737,6.91,10.90,22,248.8
Youngstown St. (MVFC),13,8-5,388,270,7,3196,8.24,11.84,24,245.8
Chattanooga (SoCon),13,8-5,384,230,12,3189,8.30,13.87,22,245.3
Monmouth (CAA),11,4-7,340,221,6,2682,7.89,12.14,21,243.8
UAlbany (CAA),14,11-3,433,249,10,3402,7.86,13.66,37,243.0
Sacramento St. (Big Sky),13,8-5,416,256,11,3158,7.59,12.34,23,242.9
Campbell (CAA),11,5-6,339,238,8,2659,7.84,11.17,20,241.7
Southern Utah (ASUN),11,6-5,360,215,9,2655,7.38,12.35,29,241.4
Stetson (Pioneer),11,3-8,360,201,15,2654,7.37,13.20,15,241.3
Illinois St. (MVFC),11,6-5,390,269,6,2599,6.66,9.66,21,236.3
Southeastern La. (Southland),11,3-8,354,213,10,2582,7.29,12.12,15,234.7
Southeast Mo. St. (OVC),11,4-7,373,230,5,2576,6.91,11.20,15,234.2
Morehead St. (Pioneer),11,4-7,363,187,11,2556,7.04,13.67,21,232.4
