Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Dartmouth (Ivy League),10,6-4,5,29,0.50
Drake (Pioneer),12,8-4,7,73,0.58
Illinois St. (MVFC),11,6-5,7,54,0.64
South Carolina St. (MEAC),11,5-6,7,36,0.64
The Citadel (SoCon),11,0-11,7,53,0.64
South Dakota St. (MVFC),13,13-0,10,64,0.77
Southern Utah (ASUN),11,6-5,9,76,0.82
UC Davis (Big Sky),11,7-4,9,53,0.82
Western Caro. (SoCon),11,7-4,10,63,0.91
Montana St. (Big Sky),12,8-4,11,70,0.92
South Dakota (MVFC),13,10-3,13,97,1.00
Lehigh (Patriot),11,2-9,12,55,1.09
UT Martin (OVC),11,8-3,12,82,1.09
Abilene Christian (ASUN),11,5-6,13,96,1.18
Penn (Ivy League),10,6-4,12,70,1.20
North Dakota St. (MVFC),14,11-3,17,126,1.21
Sacramento St. (Big Sky),13,8-5,16,120,1.23
Florida A&M (SWAC),12,11-1,15,98,1.25
Central Conn. St. (NEC),11,3-8,14,109,1.27
Eastern Ky. (ASUN),11,5-6,14,89,1.27
Cornell (Ivy League),10,3-7,13,92,1.30
Chattanooga (SoCon),13,8-5,17,87,1.31
Alabama St. (SWAC),11,7-4,15,101,1.36
Davidson (Pioneer),11,7-4,15,73,1.36
Grambling (SWAC),11,5-6,15,102,1.36
Hampton (CAA),11,5-6,15,66,1.36
SFA (ASUN),11,3-8,15,115,1.36
Towson (CAA),11,5-6,15,89,1.36
Youngstown St. (MVFC),13,8-5,18,114,1.38
N.C. Central (MEAC),12,9-3,17,102,1.42
Georgetown (Patriot),11,5-6,16,95,1.45
Duquesne (NEC),12,7-5,18,146,1.50
UIW (Southland),10,8-2,15,108,1.50
Alcorn (SWAC),11,7-4,17,114,1.55
Bryant (OVC),11,6-5,17,106,1.55
Charleston So. (OVC),11,4-7,17,127,1.55
Brown (Ivy League),10,5-5,16,106,1.60
Eastern Wash. (Big Sky),11,4-7,18,111,1.64
Norfolk St. (MEAC),11,3-8,18,122,1.64
Northern Ariz. (Big Sky),11,5-6,18,93,1.64
Portland St. (Big Sky),11,5-6,18,110,1.64
Tennessee Tech (OVC),11,4-7,18,107,1.64
Kennesaw St. (FCS Independent),9,3-6,15,109,1.67
Furman (SoCon),13,10-3,22,119,1.69
Saint Francis (PA) (NEC),10,4-6,17,105,1.70
Butler (Pioneer),11,7-4,19,100,1.73
Howard (MEAC),11,6-5,19,140,1.73
Merrimack (NEC),11,5-6,19,121,1.73
Weber St. (Big Sky),11,6-5,19,93,1.73
Houston Christian (Southland),10,5-5,18,111,1.80
Stony Brook (CAA),10,0-10,18,118,1.80
Holy Cross (Patriot),11,7-4,20,104,1.82
New Hampshire (CAA),11,6-5,20,120,1.82
Alabama A&M (SWAC),11,5-6,21,152,1.91
Maine (CAA),11,2-9,21,154,1.91
Morehead St. (Pioneer),11,4-7,21,133,1.91
Nicholls (Southland),11,6-5,21,156,1.91
Southeastern La. (Southland),11,3-8,21,143,1.91
William & Mary (CAA),11,6-5,21,136,1.91
Villanova (CAA),13,10-3,25,168,1.92
Lafayette (Patriot),12,9-3,24,158,2.00
Murray St. (MVFC),11,2-9,22,176,2.00
North Dakota (MVFC),12,7-5,24,180,2.00
Rhode Island (CAA),11,6-5,22,132,2.00
Texas Southern (SWAC),11,3-8,22,134,2.00
Central Ark. (ASUN),11,7-4,23,138,2.09
Sacred Heart (NEC),11,2-9,23,138,2.09
Yale (Ivy League),10,7-3,21,145,2.10
Cal Poly (Big Sky),11,3-8,24,168,2.18
