Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
UAlbany (CAA),14,11-3,425,1094,2.57,9,78.1
Princeton (Ivy League),10,5-5,343,938,2.73,7,93.8
Southern Ill. (MVFC),13,8-5,444,1224,2.76,14,94.2
South Dakota St. (MVFC),13,13-0,370,1231,3.33,6,94.7
Florida A&M (SWAC),12,11-1,405,1141,2.82,9,95.1
UT Martin (OVC),11,8-3,356,1059,2.97,8,96.3
UNI (MVFC),11,6-5,328,1063,3.24,16,96.6
Furman (SoCon),13,10-3,428,1260,2.94,11,96.9
Montana (Big Sky),13,12-1,389,1264,3.25,9,97.2
Alabama St. (SWAC),11,7-4,349,1110,3.18,8,100.9
Youngstown St. (MVFC),13,8-5,332,1329,4.00,16,102.2
Penn (Ivy League),10,6-4,347,1025,2.95,9,102.5
Central Ark. (ASUN),11,7-4,333,1145,3.44,14,104.1
Dartmouth (Ivy League),10,6-4,322,1050,3.26,12,105.0
Southern Utah (ASUN),11,6-5,348,1176,3.38,14,106.9
UC Davis (Big Sky),11,7-4,349,1198,3.43,10,108.9
Gardner-Webb (OVC),12,7-5,402,1336,3.32,19,111.3
Columbia (Ivy League),10,3-7,348,1122,3.22,16,112.2
Richmond (CAA),13,9-4,425,1465,3.45,17,112.7
Harvard (Ivy League),10,8-2,358,1130,3.16,13,113.0
Tennessee Tech (OVC),11,4-7,367,1255,3.42,11,114.1
North Dakota St. (MVFC),14,11-3,411,1624,3.95,16,116.0
Kennesaw St. (FCS Independent),9,3-6,329,1069,3.25,9,118.8
Villanova (CAA),13,10-3,412,1567,3.80,12,120.5
Weber St. (Big Sky),11,6-5,377,1334,3.54,17,121.3
South Carolina St. (MEAC),11,5-6,379,1336,3.53,15,121.5
Lafayette (Patriot),12,9-3,404,1477,3.66,16,123.1
Valparaiso (Pioneer),11,3-8,411,1356,3.30,19,123.3
Mercer (SoCon),13,9-4,438,1616,3.69,14,124.3
Eastern Ill. (OVC),11,8-3,369,1371,3.72,16,124.6
Idaho (Big Sky),13,9-4,410,1621,3.95,15,124.7
Nicholls (Southland),11,6-5,357,1373,3.85,12,124.8
San Diego (Pioneer),11,4-7,332,1378,4.15,17,125.3
Davidson (Pioneer),11,7-4,326,1380,4.23,11,125.5
Merrimack (NEC),11,5-6,361,1401,3.88,14,127.4
Morgan St. (MEAC),10,4-6,369,1281,3.47,10,128.1
Houston Christian (Southland),10,5-5,348,1284,3.69,14,128.4
ETSU (SoCon),11,3-8,408,1426,3.50,21,129.6
Yale (Ivy League),10,7-3,360,1298,3.61,11,129.8
Southern U. (SWAC),11,6-5,430,1439,3.35,12,130.8
Dayton (Pioneer),11,4-7,362,1454,4.02,16,132.2
Illinois St. (MVFC),11,6-5,419,1460,3.48,14,132.7
Butler (Pioneer),11,7-4,360,1467,4.08,11,133.4
Fordham (Patriot),11,6-5,371,1493,4.02,13,135.7
Montana St. (Big Sky),12,8-4,402,1643,4.09,18,136.9
UIW (Southland),10,8-2,369,1410,3.82,11,141.0
Southeast Mo. St. (OVC),11,4-7,348,1553,4.46,16,141.2
Prairie View (SWAC),12,6-6,393,1695,4.31,17,141.2
Alabama A&M (SWAC),11,5-6,398,1557,3.91,19,141.5
Alcorn (SWAC),11,7-4,368,1563,4.25,14,142.1
South Dakota (MVFC),13,10-3,470,1852,3.94,15,142.5
New Hampshire (CAA),11,6-5,367,1577,4.30,19,143.4
Austin Peay (ASUN),12,9-3,412,1748,4.24,12,145.7
Jackson St. (SWAC),11,7-4,352,1644,4.67,20,149.5
Southeastern La. (Southland),11,3-8,404,1649,4.08,17,149.9
William & Mary (CAA),11,6-5,384,1653,4.30,10,150.3
Delaware (CAA),13,9-4,447,1958,4.38,17,150.6
Georgetown (Patriot),11,5-6,366,1676,4.58,22,152.4
Drake (Pioneer),12,8-4,395,1840,4.66,21,153.3
Western Caro. (SoCon),11,7-4,422,1695,4.02,19,154.1
Indiana St. (MVFC),11,1-10,376,1701,4.52,19,154.6
Tennessee St. (OVC),11,6-5,427,1705,3.99,20,155.0
Northern Ariz. (Big Sky),11,5-6,398,1706,4.29,18,155.1
North Dakota (MVFC),12,7-5,417,1864,4.47,24,155.3
Monmouth (CAA),11,4-7,409,1713,4.19,18,155.7
Colgate (Patriot),11,6-5,384,1752,4.56,20,159.3
Hampton (CAA),11,5-6,370,1753,4.74,18,159.4
Robert Morris (OVC),11,4-7,389,1757,4.52,23,159.7
Chattanooga (SoCon),13,8-5,430,2086,4.85,21,160.5
Marist (Pioneer),11,4-7,387,1768,4.57,22,160.7
Eastern Ky. (ASUN),11,5-6,379,1803,4.76,11,163.9
Wofford (SoCon),11,2-9,424,1803,4.25,17,163.9
Rhode Island (CAA),11,6-5,375,1806,4.82,23,164.2
Sacramento St. (Big Sky),13,8-5,482,2137,4.43,24,164.4
Cornell (Ivy League),10,3-7,329,1650,5.02,18,165.0
Wagner (NEC),11,4-7,436,1836,4.21,19,166.9
Saint Francis (PA) (NEC),10,4-6,418,1670,4.00,14,167.0
Bethune-Cookman (SWAC),11,3-8,410,1847,4.50,25,167.9
Bryant (OVC),11,6-5,424,1847,4.36,22,167.9
Elon (CAA),11,6-5,396,1877,4.74,21,170.6
Mississippi Val. (SWAC),11,1-10,364,1877,5.16,16,170.6
Presbyterian (Pioneer),11,4-7,467,1887,4.04,17,171.5
Missouri St. (MVFC),11,4-7,380,1904,5.01,21,173.1
Campbell (CAA),11,5-6,404,1914,4.74,25,174.0
Portland St. (Big Sky),11,5-6,383,1917,5.01,28,174.3
LIU (NEC),11,4-7,451,1926,4.27,13,175.1
Bucknell (Patriot),11,4-7,402,1928,4.80,22,175.3
Grambling (SWAC),11,5-6,433,1932,4.46,21,175.6
Duquesne (NEC),12,7-5,463,2112,4.56,25,176.0
Texas Southern (SWAC),11,3-8,469,1940,4.14,28,176.4
North Ala. (ASUN),11,3-8,431,1942,4.51,19,176.5
Maine (CAA),11,2-9,405,1947,4.81,22,177.0
Charleston So. (OVC),11,4-7,452,1965,4.35,20,178.6
N.C. Central (MEAC),12,9-3,401,2150,5.36,22,179.2
Samford (SoCon),11,6-5,415,1990,4.80,20,180.9
Stony Brook (CAA),10,0-10,367,1824,4.97,25,182.4
Central Conn. St. (NEC),11,3-8,432,2012,4.66,20,182.9
Holy Cross (Patriot),11,7-4,442,2018,4.57,17,183.5
Lehigh (Patriot),11,2-9,453,2044,4.51,21,185.8
Brown (Ivy League),10,5-5,355,1866,5.26,14,186.6
Howard (MEAC),11,6-5,380,2053,5.40,18,186.6
VMI (SoCon),11,5-6,449,2070,4.61,20,188.2
Lamar University (Southland),11,6-5,406,2098,5.17,17,190.7
Towson (CAA),11,5-6,445,2122,4.77,23,192.9
The Citadel (SoCon),11,0-11,427,2130,4.99,26,193.6
Northwestern St. (Southland),6,0-6,221,1165,5.27,14,194.2
Ark.-Pine Bluff (SWAC),11,2-9,421,2137,5.08,21,194.3
Morehead St. (Pioneer),11,4-7,431,2148,4.98,18,195.3
Cal Poly (Big Sky),11,3-8,407,2179,5.35,30,198.1
SFA (ASUN),11,3-8,423,2240,5.30,17,203.6
Sacred Heart (NEC),11,2-9,441,2265,5.14,16,205.9
Norfolk St. (MEAC),11,3-8,422,2271,5.38,26,206.5
Northern Colo. (Big Sky),11,0-11,457,2285,5.00,24,207.7
Abilene Christian (ASUN),11,5-6,431,2309,5.36,21,209.9
Murray St. (MVFC),11,2-9,413,2361,5.72,29,214.6
Idaho St. (Big Sky),11,3-8,446,2477,5.55,28,225.2
N.C. A&T (CAA),11,1-10,460,2498,5.43,18,227.1
Eastern Wash. (Big Sky),11,4-7,430,2554,5.94,31,232.2
Western Ill. (MVFC),11,0-11,404,2623,6.49,39,238.5
Delaware St. (MEAC),11,1-10,441,2705,6.13,32,245.9
McNeese (Southland),10,0-10,459,2492,5.43,31,249.2
Stetson (Pioneer),11,3-8,485,3054,6.30,36,277.6
St. Thomas (MN) (Pioneer),11,8-3,351,1187,3.38,16,107.9
Lindenwood (OVC),10,3-7,367,1488,4.05,17,148.8
Tarleton St. (ASUN),11,8-3,414,1659,4.01,20,150.8
Tex. A&M-Commerce (Southland),10,1-9,370,1620,4.38,23,162.0
Stonehill (NEC),10,5-5,388,1716,4.42,16,171.6
Utah Tech (ASUN),11,2-9,459,2446,5.33,27,222.4
