Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Youngstown St. (MVFC),13,8-5,456:17,35:06
Cornell (Ivy League),10,3-7,345:45,34:35
Idaho (Big Sky),13,9-4,439:19,33:48
Davidson (Pioneer),11,7-4,367:37,33:25
North Dakota St. (MVFC),14,11-3,466:24,33:19
Georgetown (Patriot),11,5-6,364:02,33:06
San Diego (Pioneer),11,4-7,361:42,32:53
UAlbany (CAA),14,11-3,456:48,32:38
Marist (Pioneer),11,4-7,358:20,32:35
Chattanooga (SoCon),13,8-5,421:50,32:27
Tennessee Tech (OVC),11,4-7,355:37,32:20
Merrimack (NEC),11,5-6,355:29,32:19
Southern Utah (ASUN),11,6-5,354:20,32:13
Nicholls (Southland),11,6-5,353:39,32:09
Butler (Pioneer),11,7-4,352:12,32:01
South Dakota St. (MVFC),13,13-0,415:40,31:58
N.C. Central (MEAC),12,9-3,382:11,31:51
Portland St. (Big Sky),11,5-6,350:13,31:50
Norfolk St. (MEAC),11,3-8,349:29,31:46
Florida A&M (SWAC),12,11-1,380:54,31:45
Villanova (CAA),13,10-3,412:11,31:42
Jackson St. (SWAC),11,7-4,347:26,31:35
Eastern Ill. (OVC),11,8-3,346:30,31:30
UC Davis (Big Sky),11,7-4,345:48,31:26
Montana (Big Sky),13,12-1,408:32,31:26
William & Mary (CAA),11,6-5,344:14,31:18
Furman (SoCon),13,10-3,406:26,31:16
Dartmouth (Ivy League),10,6-4,312:25,31:15
Ark.-Pine Bluff (SWAC),11,2-9,343:34,31:14
UT Martin (OVC),11,8-3,343:09,31:12
New Hampshire (CAA),11,6-5,342:33,31:08
Mississippi Val. (SWAC),11,1-10,342:31,31:08
Dayton (Pioneer),11,4-7,341:17,31:02
Robert Morris (OVC),11,4-7,339:53,30:54
Southeast Mo. St. (OVC),11,4-7,339:48,30:53
Grambling (SWAC),11,5-6,339:11,30:50
Howard (MEAC),11,6-5,338:46,30:48
Lamar University (Southland),11,6-5,338:05,30:44
Alabama A&M (SWAC),11,5-6,337:32,30:41
Monmouth (CAA),11,4-7,337:13,30:39
Richmond (CAA),13,9-4,398:28,30:39
North Dakota (MVFC),12,7-5,367:44,30:39
Eastern Ky. (ASUN),11,5-6,336:35,30:36
Bryant (OVC),11,6-5,336:16,30:34
Maine (CAA),11,2-9,336:15,30:34
Southeastern La. (Southland),11,3-8,335:13,30:28
Penn (Ivy League),10,6-4,304:21,30:26
Elon (CAA),11,6-5,334:32,30:25
Mercer (SoCon),13,9-4,395:17,30:24
Northwestern St. (Southland),6,0-6,182:24,30:24
Valparaiso (Pioneer),11,3-8,333:52,30:21
Colgate (Patriot),11,6-5,333:03,30:17
SFA (ASUN),11,3-8,332:40,30:15
Indiana St. (MVFC),11,1-10,332:33,30:14
Lafayette (Patriot),12,9-3,361:43,30:09
Drake (Pioneer),12,8-4,361:38,30:08
Hampton (CAA),11,5-6,331:27,30:08
North Ala. (ASUN),11,3-8,329:52,29:59
Princeton (Ivy League),10,5-5,299:40,29:58
