Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
South Dakota St. (MVFC),13,13-0,15,13,0,0,11,0,136,10.5
Florida A&M (SWAC),12,11-1,23,21,0,0,4,0,171,14.2
Alabama St. (SWAC),11,7-4,19,16,0,0,9,1,159,14.5
Montana (Big Sky),13,12-1,28,21,1,0,5,0,206,15.8
Southern Ill. (MVFC),13,8-5,23,20,1,0,16,1,210,16.2
UAlbany (CAA),14,11-3,28,24,2,0,15,0,241,17.2
Princeton (Ivy League),10,5-5,20,18,1,0,11,1,175,17.5
Butler (Pioneer),11,7-4,25,21,2,0,6,0,193,17.5
South Dakota (MVFC),13,10-3,28,26,0,0,12,0,230,17.7
Kennesaw St. (FCS Independent),9,3-6,19,17,0,0,10,0,161,17.9
Columbia (Ivy League),10,3-7,23,23,0,0,7,0,182,18.2
Furman (SoCon),13,10-3,31,24,3,0,7,0,237,18.2
William & Mary (CAA),11,6-5,24,24,0,0,12,0,204,18.5
Villanova (CAA),13,10-3,30,24,1,0,13,0,245,18.8
North Dakota St. (MVFC),14,11-3,32,31,0,0,15,0,268,19.1
Dartmouth (Ivy League),10,6-4,24,23,0,0,8,1,193,19.3
UIW (Southland),10,8-2,24,22,1,0,9,0,195,19.5
Eastern Ill. (OVC),11,8-3,29,28,0,0,5,0,217,19.7
Yale (Ivy League),10,7-3,25,22,0,0,9,0,199,19.9
Harvard (Ivy League),10,8-2,25,22,0,0,10,0,202,20.2
Southern U. (SWAC),11,6-5,28,22,1,1,9,1,223,20.3
Illinois St. (MVFC),11,6-5,30,24,0,0,7,0,225,20.5
Morgan St. (MEAC),10,4-6,26,25,0,0,11,0,214,21.4
Merrimack (NEC),11,5-6,33,25,2,0,3,0,236,21.5
Penn (Ivy League),10,6-4,25,20,4,0,13,0,217,21.7
Montana St. (Big Sky),12,8-4,34,29,1,0,9,0,262,21.8
Alcorn (SWAC),11,7-4,29,27,0,0,12,2,241,21.9
Idaho (Big Sky),13,9-4,35,33,1,0,14,0,287,22.1
Central Ark. (ASUN),11,7-4,31,25,2,0,12,1,253,23.0
Howard (MEAC),11,6-5,31,30,0,1,11,2,255,23.2
Lafayette (Patriot),12,9-3,37,26,1,0,10,0,280,23.3
Lamar University (Southland),11,6-5,34,29,1,0,8,0,259,23.5
Richmond (CAA),13,9-4,38,34,0,0,15,0,307,23.6
Southern Utah (ASUN),11,6-5,33,27,0,0,12,0,261,23.7
Jackson St. (SWAC),11,7-4,37,31,2,0,2,0,263,23.9
Mercer (SoCon),13,9-4,37,35,0,0,18,0,311,23.9
Delaware (CAA),13,9-4,38,35,0,0,15,2,312,24.0
Elon (CAA),11,6-5,34,28,1,0,10,0,264,24.0
UT Martin (OVC),11,8-3,34,33,0,0,9,0,264,24.0
Weber St. (Big Sky),11,6-5,35,26,4,0,7,0,265,24.1
