Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Northwestern St. (Southland),6,0-6,45,56,9,110
Tennessee Tech (OVC),11,4-7,59,80,16,155
Kennesaw St. (FCS Independent),9,3-6,69,76,18,163
Dartmouth (Ivy League),10,6-4,72,84,14,170
Merrimack (NEC),11,5-6,74,72,25,171
UIW (Southland),10,8-2,75,69,28,172
Butler (Pioneer),11,7-4,73,91,10,174
Princeton (Ivy League),10,5-5,61,102,11,174
Cornell (Ivy League),10,3-7,78,80,17,175
Howard (MEAC),11,6-5,97,64,16,177
Morgan St. (MEAC),10,4-6,77,86,15,178
Davidson (Pioneer),11,7-4,64,97,22,183
South Carolina St. (MEAC),11,5-6,79,90,14,183
Alabama St. (SWAC),11,7-4,75,93,16,184
Columbia (Ivy League),10,3-7,65,109,11,185
Valparaiso (Pioneer),11,3-8,70,93,22,185
William & Mary (CAA),11,6-5,93,76,18,187
Penn (Ivy League),10,6-4,60,113,15,188
Saint Francis (PA) (NEC),10,4-6,96,75,17,188
South Dakota St. (MVFC),13,13-0,72,89,27,188
UC Davis (Big Sky),11,7-4,55,118,15,188
San Diego (Pioneer),11,4-7,68,94,27,189
Presbyterian (Pioneer),11,4-7,98,73,19,190
Alcorn (SWAC),11,7-4,82,86,24,192
UNI (MVFC),11,6-5,63,114,17,194
Alabama A&M (SWAC),11,5-6,85,93,17,195
Dayton (Pioneer),11,4-7,68,102,25,195
Florida A&M (SWAC),12,11-1,74,85,37,196
Mississippi Val. (SWAC),11,1-10,94,82,21,197
Robert Morris (OVC),11,4-7,95,81,21,197
Tennessee St. (OVC),11,6-5,84,93,20,197
Sacred Heart (NEC),11,2-9,110,71,17,198
Yale (Ivy League),10,7-3,82,103,13,198
Jackson St. (SWAC),11,7-4,89,93,17,199
Brown (Ivy League),10,5-5,85,102,13,200
Houston Christian (Southland),10,5-5,78,113,10,201
VMI (SoCon),11,5-6,101,90,10,201
UT Martin (OVC),11,8-3,54,127,21,202
Hampton (CAA),11,5-6,80,108,18,206
Villanova (CAA),13,10-3,91,100,15,206
Harvard (Ivy League),10,8-2,80,117,10,207
Wagner (NEC),11,4-7,100,96,11,207
Monmouth (CAA),11,4-7,90,100,18,208
Georgetown (Patriot),11,5-6,98,84,27,209
Grambling (SWAC),11,5-6,106,86,17,209
Illinois St. (MVFC),11,6-5,96,100,13,209
N.C. Central (MEAC),12,9-3,92,99,19,210
Southern Utah (ASUN),11,6-5,66,114,30,210
Eastern Ill. (OVC),11,8-3,79,118,16,213
Morehead St. (Pioneer),11,4-7,104,100,12,216
Southern Ill. (MVFC),13,8-5,75,115,26,216
Bethune-Cookman (SWAC),11,3-8,106,101,10,217
Central Ark. (ASUN),11,7-4,69,120,28,217
Chattanooga (SoCon),13,8-5,95,110,12,217
Furman (SoCon),13,10-3,78,119,20,217
Lamar University (Southland),11,6-5,111,89,17,217
Maine (CAA),11,2-9,95,108,15,218
Idaho (Big Sky),13,9-4,93,105,21,219
New Hampshire (CAA),11,6-5,80,117,22,219
Nicholls (Southland),11,6-5,76,118,25,219
Norfolk St. (MEAC),11,3-8,122,83,14,219
Rhode Island (CAA),11,6-5,87,109,23,219
Holy Cross (Patriot),11,7-4,106,95,19,220
Marist (Pioneer),11,4-7,91,112,17,220
Montana St. (Big Sky),12,8-4,91,110,19,220
LIU (NEC),11,4-7,108,95,19,222
Southern U. (SWAC),11,6-5,87,111,24,222
Cal Poly (Big Sky),11,3-8,101,106,16,223
Elon (CAA),11,6-5,100,106,17,223
Gardner-Webb (OVC),12,7-5,71,124,28,223
Montana (Big Sky),13,12-1,73,121,29,223
Western Caro. (SoCon),11,7-4,92,107,24,223
North Dakota St. (MVFC),14,11-3,88,119,17,224
Wofford (SoCon),11,2-9,104,99,21,224
Bryant (OVC),11,6-5,95,113,17,225
Central Conn. St. (NEC),11,3-8,101,103,21,225
Richmond (CAA),13,9-4,79,120,26,225
Ark.-Pine Bluff (SWAC),11,2-9,99,117,11,227
SFA (ASUN),11,3-8,110,92,26,228
Indiana St. (MVFC),11,1-10,92,114,23,229
Youngstown St. (MVFC),13,8-5,71,133,25,229
Southeastern La. (Southland),11,3-8,95,119,16,230
Charleston So. (OVC),11,4-7,102,114,15,231
Lafayette (Patriot),12,9-3,88,124,19,231
Portland St. (Big Sky),11,5-6,97,116,18,231
Samford (SoCon),11,6-5,110,97,24,231
Weber St. (Big Sky),11,6-5,83,128,20,231
Delaware St. (MEAC),11,1-10,120,94,18,232
Fordham (Patriot),11,6-5,85,124,23,232
Mercer (SoCon),13,9-4,93,118,21,232
North Ala. (ASUN),11,3-8,81,124,27,232
Northern Ariz. (Big Sky),11,5-6,104,110,19,233
Stony Brook (CAA),10,0-10,89,128,16,233
Eastern Wash. (Big Sky),11,4-7,116,103,15,234
Stetson (Pioneer),11,3-8,134,84,16,234
Duquesne (NEC),12,7-5,115,100,20,235
Drake (Pioneer),12,8-4,100,111,25,236
Texas Southern (SWAC),11,3-8,105,103,29,237
Bucknell (Patriot),11,4-7,96,125,17,238
Murray St. (MVFC),11,2-9,117,105,17,239
