Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
South Dakota (MVFC),13,10-3,109,110,20,239
Austin Peay (ASUN),12,9-3,90,131,21,242
Prairie View (SWAC),12,6-6,91,122,29,242
Western Ill. (MVFC),11,0-11,119,110,13,242
Delaware (CAA),13,9-4,98,123,23,244
ETSU (SoCon),11,3-8,85,138,25,248
N.C. A&T (CAA),11,1-10,142,89,17,248
Sacramento St. (Big Sky),13,8-5,123,114,11,248
McNeese (Southland),10,0-10,130,100,19,249
Southeast Mo. St. (OVC),11,4-7,76,150,23,249
Lehigh (Patriot),11,2-9,112,123,16,251
Missouri St. (MVFC),11,4-7,104,124,23,251
UAlbany (CAA),14,11-3,68,155,29,252
North Dakota (MVFC),12,7-5,104,129,20,253
The Citadel (SoCon),11,0-11,114,122,17,253
Campbell (CAA),11,5-6,113,118,23,254
Abilene Christian (ASUN),11,5-6,118,120,17,255
Colgate (Patriot),11,6-5,102,142,16,260
Eastern Ky. (ASUN),11,5-6,93,149,20,262
Towson (CAA),11,5-6,118,126,21,265
Idaho St. (Big Sky),11,3-8,126,123,20,269
Northern Colo. (Big Sky),11,0-11,137,124,24,285
Stonehill (NEC),10,5-5,76,83,19,178
St. Thomas (MN) (Pioneer),11,8-3,65,115,26,206
Lindenwood (OVC),10,3-7,89,114,21,224
Tex. A&M-Commerce (Southland),10,1-9,82,116,28,226
Tarleton St. (ASUN),11,8-3,93,116,33,242
Utah Tech (ASUN),11,2-9,120,127,15,262
