Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
South Dakota St. (MVFC),13,13-0,138,75,0.543
Holy Cross (Patriot),11,7-4,129,67,0.519
North Dakota St. (MVFC),14,11-3,163,84,0.515
Yale (Ivy League),10,7-3,145,71,0.490
Portland St. (Big Sky),11,5-6,139,67,0.482
Sacramento St. (Big Sky),13,8-5,178,85,0.478
North Dakota (MVFC),12,7-5,132,63,0.477
Illinois St. (MVFC),11,6-5,156,74,0.474
Howard (MEAC),11,6-5,151,71,0.470
Lafayette (Patriot),12,9-3,155,72,0.465
Southern Utah (ASUN),11,6-5,158,73,0.462
Campbell (CAA),11,5-6,130,59,0.454
Bryant (OVC),11,6-5,147,66,0.449
N.C. Central (MEAC),12,9-3,148,66,0.446
Western Caro. (SoCon),11,7-4,128,57,0.445
UAlbany (CAA),14,11-3,194,86,0.443
Harvard (Ivy League),10,8-2,129,57,0.442
Montana St. (Big Sky),12,8-4,123,54,0.439
South Dakota (MVFC),13,10-3,130,57,0.438
Brown (Ivy League),10,5-5,162,71,0.438
Davidson (Pioneer),11,7-4,137,60,0.438
Missouri St. (MVFC),11,4-7,135,59,0.437
Villanova (CAA),13,10-3,149,65,0.436
UIW (Southland),10,8-2,133,58,0.436
Rhode Island (CAA),11,6-5,156,68,0.436
New Hampshire (CAA),11,6-5,159,69,0.434
Delaware (CAA),13,9-4,171,74,0.433
Penn (Ivy League),10,6-4,141,61,0.433
Idaho (Big Sky),13,9-4,167,72,0.431
Montana (Big Sky),13,12-1,188,81,0.431
Eastern Ky. (ASUN),11,5-6,137,59,0.431
Fordham (Patriot),11,6-5,151,65,0.430
Eastern Wash. (Big Sky),11,4-7,175,75,0.429
William & Mary (CAA),11,6-5,143,61,0.427
UNI (MVFC),11,6-5,130,55,0.423
Bucknell (Patriot),11,4-7,164,69,0.421
Youngstown St. (MVFC),13,8-5,169,71,0.420
Samford (SoCon),11,6-5,160,67,0.419
Georgetown (Patriot),11,5-6,152,63,0.414
Houston Christian (Southland),10,5-5,140,58,0.414
UT Martin (OVC),11,8-3,168,69,0.411
Northern Ariz. (Big Sky),11,5-6,151,62,0.411
Alabama A&M (SWAC),11,5-6,149,61,0.409
Lamar University (Southland),11,6-5,150,61,0.407
Southeast Mo. St. (OVC),11,4-7,158,64,0.405
Dayton (Pioneer),11,4-7,161,65,0.404
Florida A&M (SWAC),12,11-1,139,56,0.403
Furman (SoCon),13,10-3,199,80,0.402
Saint Francis (PA) (NEC),10,4-6,118,47,0.398
Abilene Christian (ASUN),11,5-6,146,58,0.397
Idaho St. (Big Sky),11,3-8,154,61,0.396
Butler (Pioneer),11,7-4,139,55,0.396
Nicholls (Southland),11,6-5,155,61,0.394
Dartmouth (Ivy League),10,6-4,150,59,0.393
Hampton (CAA),11,5-6,135,53,0.393
Maine (CAA),11,2-9,140,54,0.386
Colgate (Patriot),11,6-5,164,63,0.384
Jackson St. (SWAC),11,7-4,164,63,0.384
Southeastern La. (Southland),11,3-8,149,57,0.383
UC Davis (Big Sky),11,7-4,149,57,0.383
Chattanooga (SoCon),13,8-5,168,64,0.381
Eastern Ill. (OVC),11,8-3,161,61,0.379
South Carolina St. (MEAC),11,5-6,125,47,0.376
Stetson (Pioneer),11,3-8,149,55,0.369
Grambling (SWAC),11,5-6,144,53,0.368
Drake (Pioneer),12,8-4,177,65,0.367
Texas Southern (SWAC),11,3-8,139,51,0.367
Marist (Pioneer),11,4-7,162,59,0.364
LIU (NEC),11,4-7,135,49,0.363
SFA (ASUN),11,3-8,171,62,0.363
San Diego (Pioneer),11,4-7,147,53,0.361
Alcorn (SWAC),11,7-4,142,51,0.359
Duquesne (NEC),12,7-5,145,52,0.359
Towson (CAA),11,5-6,143,51,0.357
Austin Peay (ASUN),12,9-3,163,58,0.356
Prairie View (SWAC),12,6-6,152,54,0.355
Cornell (Ivy League),10,3-7,158,56,0.354
Monmouth (CAA),11,4-7,145,51,0.352
Norfolk St. (MEAC),11,3-8,157,55,0.350
Southern Ill. (MVFC),13,8-5,169,59,0.349
Delaware St. (MEAC),11,1-10,132,46,0.348
Tennessee St. (OVC),11,6-5,158,55,0.348
Northern Colo. (Big Sky),11,0-11,161,56,0.348
Columbia (Ivy League),10,3-7,151,52,0.344
Central Ark. (ASUN),11,7-4,154,53,0.344
Robert Morris (OVC),11,4-7,154,53,0.344
Mercer (SoCon),13,9-4,169,58,0.343
The Citadel (SoCon),11,0-11,152,52,0.342
VMI (SoCon),11,5-6,156,53,0.340
Murray St. (MVFC),11,2-9,136,46,0.338
Central Conn. St. (NEC),11,3-8,142,48,0.338
Princeton (Ivy League),10,5-5,153,51,0.333
Tennessee Tech (OVC),11,4-7,180,60,0.333
Western Ill. (MVFC),11,0-11,163,54,0.331
Indiana St. (MVFC),11,1-10,145,48,0.331
Merrimack (NEC),11,5-6,146,48,0.329
Alabama St. (SWAC),11,7-4,137,45,0.328
Stony Brook (CAA),10,0-10,134,44,0.328
Presbyterian (Pioneer),11,4-7,144,47,0.326
McNeese (Southland),10,0-10,120,39,0.325
North Ala. (ASUN),11,3-8,176,57,0.324
Kennesaw St. (FCS Independent),9,3-6,109,35,0.321
Southern U. (SWAC),11,6-5,135,43,0.319
Weber St. (Big Sky),11,6-5,155,49,0.316
Wagner (NEC),11,4-7,152,48,0.316
Bethune-Cookman (SWAC),11,3-8,163,51,0.313
Lehigh (Patriot),11,2-9,144,45,0.312
N.C. A&T (CAA),11,1-10,132,41,0.311
Gardner-Webb (OVC),12,7-5,196,60,0.306
Morehead St. (Pioneer),11,4-7,147,45,0.306
Richmond (CAA),13,9-4,158,48,0.304
Valparaiso (Pioneer),11,3-8,145,44,0.303
Northwestern St. (Southland),6,0-6,96,29,0.302
Elon (CAA),11,6-5,149,45,0.302
Morgan St. (MEAC),10,4-6,144,43,0.299
Cal Poly (Big Sky),11,3-8,143,42,0.294
Sacred Heart (NEC),11,2-9,161,46,0.286
Ark.-Pine Bluff (SWAC),11,2-9,152,40,0.263
Mississippi Val. (SWAC),11,1-10,159,41,0.258
Wofford (SoCon),11,2-9,138,35,0.254
Charleston So. (OVC),11,4-7,142,36,0.254
ETSU (SoCon),11,3-8,139,35,0.252
Utah Tech (ASUN),11,2-9,153,62,0.405
Tarleton St. (ASUN),11,8-3,144,58,0.403
St. Thomas (MN) (Pioneer),11,8-3,146,56,0.384
Stonehill (NEC),10,5-5,156,59,0.378
Lindenwood (OVC),10,3-7,135,46,0.341
Tex. A&M-Commerce (Southland),10,1-9,144,49,0.340
