Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Columbia (Ivy League),10,3-7,15,193,0,12.87
Alcorn (SWAC),11,7-4,44,599,0,13.61
The Citadel (SoCon),11,0-11,17,244,0,14.35
South Carolina St. (MEAC),11,5-6,39,604,1,15.49
Western Ill. (MVFC),11,0-11,12,186,0,15.50
Grambling (SWAC),11,5-6,50,777,0,15.54
Morgan St. (MEAC),10,4-6,25,390,0,15.60
Dayton (Pioneer),11,4-7,33,515,0,15.61
Sacred Heart (NEC),11,2-9,27,422,0,15.63
Monmouth (CAA),11,4-7,37,581,0,15.70
Northern Colo. (Big Sky),11,0-11,2,32,0,16.00
Texas Southern (SWAC),11,3-8,42,695,0,16.55
Mercer (SoCon),13,9-4,51,854,0,16.75
South Dakota St. (MVFC),13,13-0,32,536,0,16.75
Southern Ill. (MVFC),13,8-5,34,570,0,16.76
Delaware St. (MEAC),11,1-10,26,437,0,16.81
Duquesne (NEC),12,7-5,47,790,0,16.81
McNeese (Southland),10,0-10,21,353,0,16.81
Idaho (Big Sky),13,9-4,26,439,0,16.88
Central Ark. (ASUN),11,7-4,41,699,0,17.05
Holy Cross (Patriot),11,7-4,35,597,0,17.06
Alabama St. (SWAC),11,7-4,24,412,0,17.17
N.C. Central (MEAC),12,9-3,49,843,1,17.20
Murray St. (MVFC),11,2-9,15,260,0,17.33
Penn (Ivy League),10,6-4,26,452,0,17.38
San Diego (Pioneer),11,4-7,33,576,0,17.45
Florida A&M (SWAC),12,11-1,38,675,0,17.76
Indiana St. (MVFC),11,1-10,21,374,0,17.81
Towson (CAA),11,5-6,34,606,0,17.82
VMI (SoCon),11,5-6,23,411,1,17.87
Valparaiso (Pioneer),11,3-8,17,304,0,17.88
Southern U. (SWAC),11,6-5,21,377,0,17.95
Missouri St. (MVFC),11,4-7,25,450,0,18.00
Rhode Island (CAA),11,6-5,35,630,0,18.00
SFA (ASUN),11,3-8,37,670,0,18.11
Illinois St. (MVFC),11,6-5,20,363,0,18.15
Mississippi Val. (SWAC),11,1-10,23,418,0,18.17
UNI (MVFC),11,6-5,20,365,0,18.25
Norfolk St. (MEAC),11,3-8,40,731,1,18.28
Southeast Mo. St. (OVC),11,4-7,35,640,0,18.29
Wagner (NEC),11,4-7,24,440,1,18.33
Austin Peay (ASUN),12,9-3,21,387,0,18.43
Richmond (CAA),13,9-4,50,922,1,18.44
Delaware (CAA),13,9-4,38,703,1,18.50
Yale (Ivy League),10,7-3,28,523,0,18.68
Sacramento St. (Big Sky),13,8-5,45,843,0,18.73
Butler (Pioneer),11,7-4,36,675,0,18.75
Merrimack (NEC),11,5-6,37,694,0,18.76
Lamar University (Southland),11,6-5,29,545,0,18.79
New Hampshire (CAA),11,6-5,44,827,1,18.80
Abilene Christian (ASUN),11,5-6,11,207,0,18.82
Youngstown St. (MVFC),13,8-5,53,999,0,18.85
Fordham (Patriot),11,6-5,45,849,0,18.87
Harvard (Ivy League),10,8-2,23,435,0,18.91
Kennesaw St. (FCS Independent),9,3-6,19,362,0,19.05
North Dakota (MVFC),12,7-5,29,555,0,19.14
LIU (NEC),11,4-7,29,556,1,19.17
Campbell (CAA),11,5-6,22,424,0,19.27
Hampton (CAA),11,5-6,40,771,1,19.28
Tennessee St. (OVC),11,6-5,32,617,0,19.28
William & Mary (CAA),11,6-5,34,656,1,19.29
Elon (CAA),11,6-5,44,853,0,19.39
Charleston So. (OVC),11,4-7,22,427,0,19.41
Davidson (Pioneer),11,7-4,51,991,0,19.43
Alabama A&M (SWAC),11,5-6,36,703,0,19.53
Colgate (Patriot),11,6-5,34,666,0,19.59
Weber St. (Big Sky),11,6-5,28,550,0,19.64
Prairie View (SWAC),12,6-6,41,809,0,19.73
Dartmouth (Ivy League),10,6-4,16,316,0,19.75
Bethune-Cookman (SWAC),11,3-8,37,731,0,19.76
UIW (Southland),10,8-2,22,435,0,19.77
Southeastern La. (Southland),11,3-8,22,437,0,19.86
Eastern Ill. (OVC),11,8-3,31,619,0,19.97
Montana (Big Sky),13,12-1,23,460,0,20.00
Howard (MEAC),11,6-5,46,923,2,20.07
UAlbany (CAA),14,11-3,62,1252,0,20.19
Saint Francis (PA) (NEC),10,4-6,37,748,0,20.22
Chattanooga (SoCon),13,8-5,32,649,0,20.28
Marist (Pioneer),11,4-7,34,696,0,20.47
Drake (Pioneer),12,8-4,27,554,0,20.52
Eastern Ky. (ASUN),11,5-6,27,557,0,20.63
Princeton (Ivy League),10,5-5,13,269,0,20.69
Bucknell (Patriot),11,4-7,40,831,1,20.78
Morehead St. (Pioneer),11,4-7,35,729,0,20.83
Portland St. (Big Sky),11,5-6,17,355,0,20.88
Wofford (SoCon),11,2-9,20,419,0,20.95
Samford (SoCon),11,6-5,40,843,0,21.08
Georgetown (Patriot),11,5-6,41,865,0,21.10
Gardner-Webb (OVC),12,7-5,29,612,0,21.10
Maine (CAA),11,2-9,31,657,0,21.19
Western Caro. (SoCon),11,7-4,38,807,0,21.24
Presbyterian (Pioneer),11,4-7,32,682,0,21.31
ETSU (SoCon),11,3-8,26,556,0,21.38
Idaho St. (Big Sky),11,3-8,30,645,0,21.50
South Dakota (MVFC),13,10-3,31,667,1,21.52
North Ala. (ASUN),11,3-8,19,412,0,21.68
Central Conn. St. (NEC),11,3-8,42,914,1,21.76
Nicholls (Southland),11,6-5,37,812,0,21.95
Lehigh (Patriot),11,2-9,27,596,1,22.07
Robert Morris (OVC),11,4-7,27,597,1,22.11
North Dakota St. (MVFC),14,11-3,54,1204,1,22.30
Jackson St. (SWAC),11,7-4,35,782,1,22.34
Lafayette (Patriot),12,9-3,43,961,0,22.35
Bryant (OVC),11,6-5,42,944,0,22.48
Cornell (Ivy League),10,3-7,17,385,0,22.65
Stetson (Pioneer),11,3-8,40,910,2,22.75
Stony Brook (CAA),10,0-10,17,387,0,22.76
Furman (SoCon),13,10-3,15,342,1,22.80
UT Martin (OVC),11,8-3,16,366,0,22.88
UC Davis (Big Sky),11,7-4,22,506,0,23.00
N.C. A&T (CAA),11,1-10,29,669,1,23.07
Eastern Wash. (Big Sky),11,4-7,41,953,0,23.24
Villanova (CAA),13,10-3,46,1074,2,23.35
Ark.-Pine Bluff (SWAC),11,2-9,25,587,0,23.48
Houston Christian (Southland),10,5-5,25,598,1,23.92
Cal Poly (Big Sky),11,3-8,33,790,1,23.94
Tennessee Tech (OVC),11,4-7,17,407,1,23.94
Southern Utah (ASUN),11,6-5,18,441,0,24.50
Montana St. (Big Sky),12,8-4,8,197,0,24.62
Brown (Ivy League),10,5-5,25,620,1,24.80
Northern Ariz. (Big Sky),11,5-6,19,491,0,25.84
Northwestern St. (Southland),6,0-6,11,351,1,31.91
Lindenwood (OVC),10,3-7,21,377,0,17.95
Tarleton St. (ASUN),11,8-3,30,554,1,18.47
Utah Tech (ASUN),11,2-9,13,248,0,19.08
St. Thomas (MN) (Pioneer),11,8-3,36,721,0,20.03
Stonehill (NEC),10,5-5,31,694,0,22.39
Tex. A&M-Commerce (Southland),10,1-9,15,340,0,22.67
