Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Howard (MEAC),11,6-5,137,255,1425,10,5.59,10.40,129.5
Sacred Heart (NEC),11,2-9,131,252,1461,16,5.80,11.15,132.8
Presbyterian (Pioneer),11,4-7,145,267,1573,11,5.89,10.85,143.0
William & Mary (CAA),11,6-5,153,245,1689,12,6.89,11.04,153.5
Merrimack (NEC),11,5-6,134,261,1714,18,6.57,12.79,155.8
UIW (Southland),10,8-2,158,287,1572,10,5.48,9.95,157.2
South Dakota St. (MVFC),13,13-0,229,356,2070,9,5.81,9.04,159.2
Stetson (Pioneer),11,3-8,147,266,1864,11,7.01,12.68,169.5
Norfolk St. (MEAC),11,3-8,140,231,1869,14,8.09,13.35,169.9
Georgetown (Patriot),11,5-6,149,298,1889,13,6.34,12.68,171.7
Florida A&M (SWAC),12,11-1,180,352,2063,14,5.86,11.46,171.9
Cornell (Ivy League),10,3-7,141,260,1762,14,6.78,12.50,176.2
N.C. A&T (CAA),11,1-10,179,273,1962,21,7.19,10.96,178.4
Tennessee St. (OVC),11,6-5,159,315,1967,14,6.24,12.37,178.8
Villanova (CAA),13,10-3,222,383,2337,15,6.10,10.53,179.8
Lamar University (Southland),11,6-5,172,299,1981,16,6.63,11.52,180.1
Morgan St. (MEAC),10,4-6,172,282,1804,12,6.40,10.49,180.4
South Dakota (MVFC),13,10-3,202,329,2351,11,7.15,11.64,180.8
Alabama St. (SWAC),11,7-4,202,335,1991,10,5.94,9.86,181.0
Grambling (SWAC),11,5-6,155,282,1992,19,7.06,12.85,181.1
Idaho (Big Sky),13,9-4,211,386,2368,20,6.13,11.22,182.2
LIU (NEC),11,4-7,162,295,2012,21,6.82,12.42,182.9
Robert Morris (OVC),11,4-7,157,257,2015,15,7.84,12.83,183.2
Saint Francis (PA) (NEC),10,4-6,136,241,1866,18,7.74,13.72,186.6
Butler (Pioneer),11,7-4,181,292,2053,13,7.03,11.34,186.6
VMI (SoCon),11,5-6,188,295,2057,11,6.97,10.94,187.0
North Dakota St. (MVFC),14,11-3,227,368,2631,15,7.15,11.59,187.9
Southern Ill. (MVFC),13,8-5,220,380,2446,7,6.44,11.12,188.2
Jackson St. (SWAC),11,7-4,183,325,2076,16,6.39,11.34,188.7
Duquesne (NEC),12,7-5,177,317,2273,20,7.17,12.84,189.4
Kennesaw St. (FCS Independent),9,3-6,159,263,1705,10,6.48,10.72,189.4
Wofford (SoCon),11,2-9,184,323,2094,11,6.48,11.38,190.4
Tennessee Tech (OVC),11,4-7,170,295,2112,20,7.16,12.42,192.0
Illinois St. (MVFC),11,6-5,200,310,2114,15,6.82,10.57,192.2
SFA (ASUN),11,3-8,171,292,2118,25,7.25,12.39,192.5
Holy Cross (Patriot),11,7-4,173,284,2120,18,7.46,12.25,192.7
Montana St. (Big Sky),12,8-4,218,357,2334,16,6.54,10.71,194.5
Chattanooga (SoCon),13,8-5,217,366,2535,16,6.93,11.68,195.0
McNeese (Southland),10,0-10,163,263,1952,17,7.42,11.98,195.2
Valparaiso (Pioneer),11,3-8,163,301,2148,14,7.14,13.18,195.3
Southern U. (SWAC),11,6-5,206,340,2161,13,6.36,10.49,196.5
N.C. Central (MEAC),12,9-3,178,315,2373,22,7.53,13.33,197.8
Wagner (NEC),11,4-7,161,269,2185,21,8.12,13.57,198.6
Delaware (CAA),13,9-4,207,392,2583,17,6.59,12.48,198.7
Elon (CAA),11,6-5,203,350,2186,13,6.25,10.77,198.7
Delaware St. (MEAC),11,1-10,157,238,2190,20,9.20,13.95,199.1
Drake (Pioneer),12,8-4,215,373,2392,17,6.41,11.13,199.3
Dayton (Pioneer),11,4-7,211,322,2193,18,6.81,10.39,199.4
Alcorn (SWAC),11,7-4,185,304,2199,14,7.23,11.89,199.9
Monmouth (CAA),11,4-7,189,300,2202,23,7.34,11.65,200.2
Dartmouth (Ivy League),10,6-4,204,335,2005,10,5.99,9.83,200.5
South Carolina St. (MEAC),11,5-6,163,272,2213,18,8.14,13.58,201.2
Penn (Ivy League),10,6-4,209,358,2015,16,5.63,9.64,201.5
Texas Southern (SWAC),11,3-8,185,331,2237,18,6.76,12.09,203.4
Samford (SoCon),11,6-5,212,332,2244,12,6.76,10.58,204.0
Alabama A&M (SWAC),11,5-6,164,298,2248,16,7.54,13.71,204.4
Princeton (Ivy League),10,5-5,220,369,2083,11,5.64,9.47,208.3
Marist (Pioneer),11,4-7,190,299,2293,21,7.67,12.07,208.5
Bethune-Cookman (SWAC),11,3-8,188,310,2304,8,7.43,12.26,209.5
Bryant (OVC),11,6-5,208,354,2311,15,6.53,11.11,210.1
Cal Poly (Big Sky),11,3-8,181,293,2311,22,7.89,12.77,210.1
Mississippi Val. (SWAC),11,1-10,190,314,2311,20,7.36,12.16,210.1
San Diego (Pioneer),11,4-7,185,346,2323,16,6.71,12.56,211.2
Brown (Ivy League),10,5-5,182,317,2123,22,6.70,11.66,212.3
Montana (Big Sky),13,12-1,251,466,2761,19,5.92,11.00,212.4
Columbia (Ivy League),10,3-7,221,346,2137,5,6.18,9.67,213.7
Murray St. (MVFC),11,2-9,204,294,2352,22,8.00,11.53,213.8
Morehead St. (Pioneer),11,4-7,185,305,2367,20,7.76,12.79,215.2
Eastern Ill. (OVC),11,8-3,209,361,2388,13,6.61,11.43,217.1
Yale (Ivy League),10,7-3,221,365,2178,13,5.97,9.86,217.8
Central Conn. St. (NEC),11,3-8,169,284,2403,24,8.46,14.22,218.5
Western Caro. (SoCon),11,7-4,181,302,2406,17,7.97,13.29,218.7
Furman (SoCon),13,10-3,243,406,2848,16,7.01,11.72,219.1
Sacramento St. (Big Sky),13,8-5,226,385,2855,17,7.42,12.63,219.6
Mercer (SoCon),13,9-4,247,414,2858,22,6.90,11.57,219.8
Charleston So. (OVC),11,4-7,198,321,2420,20,7.54,12.22,220.0
Lafayette (Patriot),12,9-3,245,397,2642,21,6.65,10.78,220.2
Rhode Island (CAA),11,6-5,206,340,2436,15,7.16,11.83,221.5
Eastern Wash. (Big Sky),11,4-7,200,313,2441,21,7.80,12.20,221.9
Gardner-Webb (OVC),12,7-5,260,452,2666,20,5.90,10.25,222.2
Indiana St. (MVFC),11,1-10,217,321,2449,18,7.63,11.29,222.6
Northwestern St. (Southland),6,0-6,89,175,1339,9,7.65,15.04,223.2
Richmond (CAA),13,9-4,220,365,2935,18,8.04,13.34,225.8
Portland St. (Big Sky),11,5-6,198,308,2489,18,8.08,12.57,226.3
Central Ark. (ASUN),11,7-4,240,401,2494,16,6.22,10.39,226.7
UAlbany (CAA),14,11-3,316,512,3188,18,6.23,10.09,227.7
The Citadel (SoCon),11,0-11,209,289,2526,23,8.74,12.09,229.6
Harvard (Ivy League),10,8-2,222,380,2308,12,6.07,10.40,230.8
UC Davis (Big Sky),11,7-4,216,374,2542,20,6.80,11.77,231.1
North Dakota (MVFC),12,7-5,218,357,2806,18,7.86,12.87,233.8
Northern Ariz. (Big Sky),11,5-6,222,346,2593,21,7.49,11.68,235.7
Davidson (Pioneer),11,7-4,175,307,2614,30,8.51,14.94,237.6
Nicholls (Southland),11,6-5,211,367,2617,19,7.13,12.40,237.9
Southern Utah (ASUN),11,6-5,214,397,2627,18,6.62,12.28,238.8
Maine (CAA),11,2-9,186,298,2632,24,8.83,14.15,239.3
Western Ill. (MVFC),11,0-11,179,261,2634,25,10.09,14.72,239.5
UNI (MVFC),11,6-5,244,337,2639,19,7.83,10.82,239.9
Youngstown St. (MVFC),13,8-5,229,389,3127,27,8.04,13.66,240.5
Fordham (Patriot),11,6-5,227,373,2652,22,7.11,11.68,241.1
Campbell (CAA),11,5-6,214,350,2678,23,7.65,12.51,243.5
Lehigh (Patriot),11,2-9,230,348,2682,20,7.71,11.66,243.8
Hampton (CAA),11,5-6,187,304,2687,28,8.84,14.37,244.3
Abilene Christian (ASUN),11,5-6,225,358,2693,19,7.52,11.97,244.8
Weber St. (Big Sky),11,6-5,238,398,2728,16,6.85,11.46,248.0
Austin Peay (ASUN),12,9-3,274,477,3004,23,6.30,10.96,250.3
Idaho St. (Big Sky),11,3-8,248,361,2773,26,7.68,11.18,252.1
Southeastern La. (Southland),11,3-8,217,334,2774,18,8.31,12.78,252.2
Missouri St. (MVFC),11,4-7,233,373,2777,20,7.45,11.92,252.5
Towson (CAA),11,5-6,208,338,2788,19,8.25,13.40,253.5
Ark.-Pine Bluff (SWAC),11,2-9,205,309,2803,23,9.07,13.67,254.8
Prairie View (SWAC),12,6-6,223,355,3058,27,8.61,13.71,254.8
UT Martin (OVC),11,8-3,233,420,2804,22,6.68,12.03,254.9
Bucknell (Patriot),11,4-7,229,377,2815,25,7.47,12.29,255.9
North Ala. (ASUN),11,3-8,187,326,2827,24,8.67,15.12,257.0
Houston Christian (Southland),10,5-5,206,319,2571,21,8.06,12.48,257.1
Northern Colo. (Big Sky),11,0-11,237,347,2880,23,8.30,12.15,261.8
ETSU (SoCon),11,3-8,255,401,2974,21,7.42,11.66,270.4
New Hampshire (CAA),11,6-5,218,367,3028,23,8.25,13.89,275.3
Colgate (Patriot),11,6-5,269,419,3119,27,7.44,11.59,283.5
Stony Brook (CAA),10,0-10,203,303,2883,26,9.51,14.20,288.3
Southeast Mo. St. (OVC),11,4-7,261,438,3308,28,7.55,12.67,300.7
Eastern Ky. (ASUN),11,5-6,259,412,3437,35,8.34,13.27,312.5
Stonehill (NEC),10,5-5,134,241,2005,19,8.32,14.96,200.5
Tarleton St. (ASUN),11,8-3,246,427,2348,12,5.50,9.54,213.5
St. Thomas (MN) (Pioneer),11,8-3,204,358,2488,15,6.95,12.20,226.2
Tex. A&M-Commerce (Southland),10,1-9,209,331,2503,17,7.56,11.98,250.3
