Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
South Dakota St. (MVFC),13,13-0,9,11,0.818
N.C. Central (MEAC),12,9-3,10,13,0.769
Missouri St. (MVFC),11,4-7,15,20,0.750
UT Martin (OVC),11,8-3,17,23,0.739
Jackson St. (SWAC),11,7-4,13,18,0.722
Illinois St. (MVFC),11,6-5,18,25,0.720
Lafayette (Patriot),12,9-3,15,21,0.714
Eastern Ky. (ASUN),11,5-6,9,13,0.692
Richmond (CAA),13,9-4,11,16,0.688
Bethune-Cookman (SWAC),11,3-8,13,19,0.684
Penn (Ivy League),10,6-4,10,15,0.667
Eastern Wash. (Big Sky),11,4-7,19,29,0.655
North Dakota (MVFC),12,7-5,13,20,0.650
Youngstown St. (MVFC),13,8-5,13,20,0.650
Gardner-Webb (OVC),12,7-5,27,42,0.643
Southern Ill. (MVFC),13,8-5,21,33,0.636
New Hampshire (CAA),11,6-5,19,30,0.633
Dartmouth (Ivy League),10,6-4,10,16,0.625
Holy Cross (Patriot),11,7-4,18,29,0.621
Wagner (NEC),11,4-7,13,21,0.619
Butler (Pioneer),11,7-4,16,26,0.615
Alcorn (SWAC),11,7-4,8,13,0.615
Towson (CAA),11,5-6,14,23,0.609
Davidson (Pioneer),11,7-4,21,35,0.600
Northern Ariz. (Big Sky),11,5-6,15,25,0.600
ETSU (SoCon),11,3-8,9,15,0.600
Rhode Island (CAA),11,6-5,9,15,0.600
Saint Francis (PA) (NEC),10,4-6,9,15,0.600
South Dakota (MVFC),13,10-3,6,10,0.600
Central Ark. (ASUN),11,7-4,13,22,0.591
North Dakota St. (MVFC),14,11-3,13,22,0.591
Fordham (Patriot),11,6-5,14,24,0.583
North Ala. (ASUN),11,3-8,25,43,0.581
SFA (ASUN),11,3-8,25,43,0.581
Florida A&M (SWAC),12,11-1,11,19,0.579
Wofford (SoCon),11,2-9,8,14,0.571
Austin Peay (ASUN),12,9-3,13,23,0.565
Idaho (Big Sky),13,9-4,18,32,0.562
Southern Utah (ASUN),11,6-5,9,16,0.562
Mercer (SoCon),13,9-4,10,18,0.556
Lamar University (Southland),11,6-5,12,22,0.545
Sacred Heart (NEC),11,2-9,12,22,0.545
UAlbany (CAA),14,11-3,12,22,0.545
Lehigh (Patriot),11,2-9,13,24,0.542
Brown (Ivy League),10,5-5,14,26,0.538
Elon (CAA),11,6-5,14,26,0.538
Sacramento St. (Big Sky),13,8-5,14,26,0.538
Yale (Ivy League),10,7-3,7,13,0.538
Monmouth (CAA),11,4-7,23,43,0.535
Montana St. (Big Sky),12,8-4,8,15,0.533
Cornell (Ivy League),10,3-7,18,34,0.529
Duquesne (NEC),12,7-5,9,17,0.529
Merrimack (NEC),11,5-6,9,17,0.529
Campbell (CAA),11,5-6,10,19,0.526
Maine (CAA),11,2-9,11,21,0.524
Samford (SoCon),11,6-5,11,21,0.524
Colgate (Patriot),11,6-5,12,23,0.522
Southeastern La. (Southland),11,3-8,13,25,0.520
Howard (MEAC),11,6-5,14,27,0.519
Dayton (Pioneer),11,4-7,16,32,0.500
Ark.-Pine Bluff (SWAC),11,2-9,11,22,0.500
Cal Poly (Big Sky),11,3-8,11,22,0.500
Mississippi Val. (SWAC),11,1-10,11,22,0.500
Montana (Big Sky),13,12-1,9,18,0.500
McNeese (Southland),10,0-10,8,16,0.500
Presbyterian (Pioneer),11,4-7,8,16,0.500
Grambling (SWAC),11,5-6,7,14,0.500
Portland St. (Big Sky),11,5-6,7,14,0.500
Abilene Christian (ASUN),11,5-6,4,8,0.500
Chattanooga (SoCon),13,8-5,4,8,0.500
UNI (MVFC),11,6-5,4,8,0.500
Robert Morris (OVC),11,4-7,12,25,0.480
Northern Colo. (Big Sky),11,0-11,9,19,0.474
Marist (Pioneer),11,4-7,16,34,0.471
William & Mary (CAA),11,6-5,8,17,0.471
Central Conn. St. (NEC),11,3-8,7,15,0.467
Kennesaw St. (FCS Independent),9,3-6,7,15,0.467
Villanova (CAA),13,10-3,7,15,0.467
Eastern Ill. (OVC),11,8-3,13,28,0.464
Norfolk St. (MEAC),11,3-8,11,24,0.458
Princeton (Ivy League),10,5-5,11,24,0.458
UIW (Southland),10,8-2,11,24,0.458
Georgetown (Patriot),11,5-6,10,22,0.455
Western Caro. (SoCon),11,7-4,10,22,0.455
Harvard (Ivy League),10,8-2,5,11,0.455
The Citadel (SoCon),11,0-11,13,29,0.448
Southern U. (SWAC),11,6-5,12,27,0.444
Murray St. (MVFC),11,2-9,8,18,0.444
Tennessee St. (OVC),11,6-5,4,9,0.444
Delaware (CAA),13,9-4,14,32,0.438
Bryant (OVC),11,6-5,7,16,0.438
Delaware St. (MEAC),11,1-10,7,16,0.438
LIU (NEC),11,4-7,7,16,0.438
Houston Christian (Southland),10,5-5,6,14,0.429
Nicholls (Southland),11,6-5,6,14,0.429
Furman (SoCon),13,10-3,8,19,0.421
Idaho St. (Big Sky),11,3-8,12,29,0.414
Bucknell (Patriot),11,4-7,7,17,0.412
Morehead St. (Pioneer),11,4-7,9,22,0.409
Columbia (Ivy League),10,3-7,11,27,0.407
Tennessee Tech (OVC),11,4-7,14,35,0.400
Alabama A&M (SWAC),11,5-6,10,25,0.400
South Carolina St. (MEAC),11,5-6,6,15,0.400
Drake (Pioneer),12,8-4,8,21,0.381
Stetson (Pioneer),11,3-8,8,21,0.381
UC Davis (Big Sky),11,7-4,6,16,0.375
Northwestern St. (Southland),6,0-6,7,19,0.368
Alabama St. (SWAC),11,7-4,8,22,0.364
Valparaiso (Pioneer),11,3-8,8,22,0.364
Texas Southern (SWAC),11,3-8,4,11,0.364
Charleston So. (OVC),11,4-7,6,17,0.353
San Diego (Pioneer),11,4-7,7,20,0.350
Weber St. (Big Sky),11,6-5,9,26,0.346
Indiana St. (MVFC),11,1-10,8,24,0.333
N.C. A&T (CAA),11,1-10,5,15,0.333
VMI (SoCon),11,5-6,4,12,0.333
Western Ill. (MVFC),11,0-11,10,32,0.312
Southeast Mo. St. (OVC),11,4-7,5,16,0.312
Morgan St. (MEAC),10,4-6,6,20,0.300
Prairie View (SWAC),12,6-6,4,14,0.286
Hampton (CAA),11,5-6,3,11,0.273
Stony Brook (CAA),10,0-10,3,11,0.273
Tarleton St. (ASUN),11,8-3,8,14,0.571
St. Thomas (MN) (Pioneer),11,8-3,11,22,0.500
Lindenwood (OVC),10,3-7,8,16,0.500
Tex. A&M-Commerce (Southland),10,1-9,7,18,0.389
Stonehill (NEC),10,5-5,4,14,0.286
Utah Tech (ASUN),11,2-9,5,20,0.250
