Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Samford (SoCon),11,6-5,15,6,0,0.40
Richmond (CAA),13,9-4,10,22,0,2.20
South Dakota St. (MVFC),13,13-0,9,23,0,2.56
Indiana St. (MVFC),11,1-10,8,22,0,2.75
Northwestern St. (Southland),6,0-6,10,28,0,2.80
Southeast Mo. St. (OVC),11,4-7,6,17,0,2.83
Morgan St. (MEAC),10,4-6,11,32,0,2.91
Abilene Christian (ASUN),11,5-6,13,42,0,3.23
SFA (ASUN),11,3-8,7,23,0,3.29
New Hampshire (CAA),11,6-5,6,20,0,3.33
Youngstown St. (MVFC),13,8-5,11,39,0,3.55
Colgate (Patriot),11,6-5,22,79,0,3.59
Gardner-Webb (OVC),12,7-5,15,58,0,3.87
Missouri St. (MVFC),11,4-7,12,49,0,4.08
Campbell (CAA),11,5-6,9,37,0,4.11
Tennessee Tech (OVC),11,4-7,19,79,0,4.16
Montana (Big Sky),13,12-1,11,46,0,4.18
Davidson (Pioneer),11,7-4,13,55,1,4.23
Stony Brook (CAA),10,0-10,15,64,0,4.27
Dayton (Pioneer),11,4-7,10,43,0,4.30
North Ala. (ASUN),11,3-8,17,75,0,4.41
Northern Ariz. (Big Sky),11,5-6,16,71,0,4.44
Central Ark. (ASUN),11,7-4,8,36,0,4.50
Eastern Wash. (Big Sky),11,4-7,8,36,0,4.50
Merrimack (NEC),11,5-6,24,112,0,4.67
Butler (Pioneer),11,7-4,10,47,0,4.70
Rhode Island (CAA),11,6-5,10,49,1,4.90
Bryant (OVC),11,6-5,3,15,0,5.00
LIU (NEC),11,4-7,9,45,0,5.00
Wofford (SoCon),11,2-9,12,60,0,5.00
Valparaiso (Pioneer),11,3-8,13,66,1,5.08
Brown (Ivy League),10,5-5,14,72,0,5.14
Fordham (Patriot),11,6-5,14,72,0,5.14
Florida A&M (SWAC),12,11-1,16,83,0,5.19
N.C. A&T (CAA),11,1-10,13,68,1,5.23
Harvard (Ivy League),10,8-2,8,43,0,5.38
Portland St. (Big Sky),11,5-6,19,103,0,5.42
Prairie View (SWAC),12,6-6,17,93,1,5.47
Austin Peay (ASUN),12,9-3,13,72,0,5.54
Saint Francis (PA) (NEC),10,4-6,13,72,0,5.54
