Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Butler (Pioneer),11,7-4,24,7,4,4,15,0.625
Northwestern St. (Southland),6,0-6,27,6,2,9,17,0.630
South Dakota St. (MVFC),13,13-0,30,4,6,9,19,0.633
Columbia (Ivy League),10,3-7,33,15,2,5,22,0.667
Southern U. (SWAC),11,6-5,34,9,6,8,23,0.676
UAlbany (CAA),14,11-3,50,8,13,13,34,0.680
Samford (SoCon),11,6-5,41,16,4,8,28,0.683
Florida A&M (SWAC),12,11-1,26,8,6,4,18,0.692
Montana (Big Sky),13,12-1,30,8,10,3,21,0.700
Princeton (Ivy League),10,5-5,24,5,8,4,17,0.708
Furman (SoCon),13,10-3,25,9,7,2,18,0.720
Tennessee St. (OVC),11,6-5,36,14,7,5,26,0.722
Jackson St. (SWAC),11,7-4,37,15,11,1,27,0.730
Saint Francis (PA) (NEC),10,4-6,37,13,11,3,27,0.730
UIW (Southland),10,8-2,26,7,4,8,19,0.731
Bethune-Cookman (SWAC),11,3-8,41,18,5,7,30,0.732
Lafayette (Patriot),12,9-3,49,13,15,8,36,0.735
Mississippi Val. (SWAC),11,1-10,49,12,13,11,36,0.735
Nicholls (Southland),11,6-5,42,9,12,10,31,0.738
Lehigh (Patriot),11,2-9,50,17,9,11,37,0.740
Colgate (Patriot),11,6-5,54,14,16,10,40,0.741
Weber St. (Big Sky),11,6-5,35,14,9,3,26,0.743
Alabama A&M (SWAC),11,5-6,43,14,8,10,32,0.744
Dartmouth (Ivy League),10,6-4,28,10,5,6,21,0.750
Morgan St. (MEAC),10,4-6,28,8,6,7,21,0.750
N.C. A&T (CAA),11,1-10,48,13,13,10,36,0.750
Delaware (CAA),13,9-4,45,14,8,12,34,0.756
Yale (Ivy League),10,7-3,41,11,12,8,31,0.756
South Carolina St. (MEAC),11,5-6,37,13,7,8,28,0.757
Alabama St. (SWAC),11,7-4,25,8,5,6,19,0.760
Tennessee Tech (OVC),11,4-7,25,9,6,4,19,0.760
Eastern Ill. (OVC),11,8-3,34,14,10,2,26,0.765
McNeese (Southland),10,0-10,47,27,8,1,36,0.766
Southern Ill. (MVFC),13,8-5,30,12,1,10,23,0.767
Houston Christian (Southland),10,5-5,35,12,11,4,27,0.771
Marist (Pioneer),11,4-7,44,17,12,5,34,0.773
Morehead St. (Pioneer),11,4-7,31,10,9,5,24,0.774
South Dakota (MVFC),13,10-3,40,14,8,9,31,0.775
Eastern Ky. (ASUN),11,5-6,49,10,20,8,38,0.776
Central Conn. St. (NEC),11,3-8,45,14,16,5,35,0.778
VMI (SoCon),11,5-6,36,13,6,9,28,0.778
Fordham (Patriot),11,6-5,41,11,15,6,32,0.780
New Hampshire (CAA),11,6-5,41,16,10,6,32,0.780
Presbyterian (Pioneer),11,4-7,41,14,7,11,32,0.780
Southern Utah (ASUN),11,6-5,41,12,11,9,32,0.780
Western Caro. (SoCon),11,7-4,41,16,12,4,32,0.780
UC Davis (Big Sky),11,7-4,32,8,11,6,25,0.781
William & Mary (CAA),11,6-5,32,8,7,10,25,0.781
Harvard (Ivy League),10,8-2,33,9,10,7,26,0.788
Dayton (Pioneer),11,4-7,38,11,11,8,30,0.789
Lamar University (Southland),11,6-5,38,14,11,5,30,0.789
Valparaiso (Pioneer),11,3-8,38,14,8,8,30,0.789
Holy Cross (Patriot),11,7-4,34,13,6,8,27,0.794
Villanova (CAA),13,10-3,34,7,10,10,27,0.794
Chattanooga (SoCon),13,8-5,35,12,6,10,28,0.800
Elon (CAA),11,6-5,40,16,7,9,32,0.800
Northern Colo. (Big Sky),11,0-11,50,24,13,3,40,0.800
Charleston So. (OVC),11,4-7,46,17,12,8,37,0.804
Maine (CAA),11,2-9,46,20,11,6,37,0.804
Georgetown (Patriot),11,5-6,36,19,5,5,29,0.806
N.C. Central (MEAC),12,9-3,36,13,11,5,29,0.806
Austin Peay (ASUN),12,9-3,42,9,15,10,34,0.810
San Diego (Pioneer),11,4-7,37,12,9,9,30,0.811
Campbell (CAA),11,5-6,43,20,11,4,35,0.814
SFA (ASUN),11,3-8,43,12,15,8,35,0.814
Towson (CAA),11,5-6,54,20,12,12,44,0.815
Robert Morris (OVC),11,4-7,38,17,9,5,31,0.816
Rhode Island (CAA),11,6-5,44,18,10,8,36,0.818
UT Martin (OVC),11,8-3,28,6,13,4,23,0.821
Southeast Mo. St. (OVC),11,4-7,45,15,16,6,37,0.822
Penn (Ivy League),10,6-4,34,9,10,9,28,0.824
Norfolk St. (MEAC),11,3-8,40,18,6,9,33,0.825
Alcorn (SWAC),11,7-4,35,12,8,9,29,0.829
Indiana St. (MVFC),11,1-10,41,13,12,9,34,0.829
Bucknell (Patriot),11,4-7,47,18,13,8,39,0.830
Brown (Ivy League),10,5-5,24,6,8,6,20,0.833
The Citadel (SoCon),11,0-11,56,24,16,7,47,0.839
Mercer (SoCon),13,9-4,50,11,15,16,42,0.840
Wagner (NEC),11,4-7,38,17,12,3,32,0.842
Duquesne (NEC),12,7-5,45,21,10,7,38,0.844
North Ala. (ASUN),11,3-8,45,14,12,12,38,0.844
Prairie View (SWAC),12,6-6,45,14,12,12,38,0.844
Wofford (SoCon),11,2-9,45,14,8,16,38,0.844
Abilene Christian (ASUN),11,5-6,46,17,13,9,39,0.848
Southeastern La. (Southland),11,3-8,33,15,5,8,28,0.848
Stetson (Pioneer),11,3-8,53,24,8,13,45,0.849
Bryant (OVC),11,6-5,40,20,7,7,34,0.850
ETSU (SoCon),11,3-8,40,19,8,7,34,0.850
UNI (MVFC),11,6-5,40,12,15,7,34,0.850
Eastern Wash. (Big Sky),11,4-7,47,21,15,4,40,0.851
Sacramento St. (Big Sky),13,8-5,47,24,5,11,40,0.851
Cornell (Ivy League),10,3-7,27,13,7,3,23,0.852
Northern Ariz. (Big Sky),11,5-6,41,14,14,7,35,0.854
Grambling (SWAC),11,5-6,35,15,12,3,30,0.857
LIU (NEC),11,4-7,42,13,14,9,36,0.857
Texas Southern (SWAC),11,3-8,50,26,12,5,43,0.860
Richmond (CAA),13,9-4,44,15,10,13,38,0.864
Central Ark. (ASUN),11,7-4,37,12,12,8,32,0.865
Merrimack (NEC),11,5-6,30,10,15,1,26,0.867
Howard (MEAC),11,6-5,31,11,7,9,27,0.871
Illinois St. (MVFC),11,6-5,31,13,7,7,27,0.871
Youngstown St. (MVFC),13,8-5,31,9,12,6,27,0.871
Idaho (Big Sky),13,9-4,32,10,10,8,28,0.875
Kennesaw St. (FCS Independent),9,3-6,24,8,8,5,21,0.875
Davidson (Pioneer),11,7-4,33,7,16,6,29,0.879
Montana St. (Big Sky),12,8-4,33,12,11,6,29,0.879
Idaho St. (Big Sky),11,3-8,50,21,17,6,44,0.880
Stony Brook (CAA),10,0-10,42,19,12,6,37,0.881
Drake (Pioneer),12,8-4,35,14,10,7,31,0.886
Sacred Heart (NEC),11,2-9,35,12,10,9,31,0.886
Murray St. (MVFC),11,2-9,44,18,14,7,39,0.886
Delaware St. (MEAC),11,1-10,47,23,10,9,42,0.894
Hampton (CAA),11,5-6,38,14,13,7,34,0.895
Gardner-Webb (OVC),12,7-5,39,15,13,7,35,0.897
Ark.-Pine Bluff (SWAC),11,2-9,40,16,12,8,36,0.900
North Dakota St. (MVFC),14,11-3,34,10,8,13,31,0.912
Missouri St. (MVFC),11,4-7,46,16,13,13,42,0.913
North Dakota (MVFC),12,7-5,46,20,13,9,42,0.913
Monmouth (CAA),11,4-7,36,15,14,4,33,0.917
Cal Poly (Big Sky),11,3-8,45,21,13,8,42,0.933
Western Ill. (MVFC),11,0-11,49,27,9,10,46,0.939
Portland St. (Big Sky),11,5-6,45,24,11,8,43,0.956
St. Thomas (MN) (Pioneer),11,8-3,37,12,10,6,28,0.757
Tarleton St. (ASUN),11,8-3,45,18,10,7,35,0.778
Tex. A&M-Commerce (Southland),10,1-9,45,18,11,6,35,0.778
Utah Tech (ASUN),11,2-9,47,20,12,6,38,0.809
Stonehill (NEC),10,5-5,38,13,10,8,31,0.816
Lindenwood (OVC),10,3-7,39,16,10,9,35,0.897
