Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Davidson (Pioneer),11,7-4,562,3396,6.04,40,308.7
Montana St. (Big Sky),12,8-4,480,3492,7.28,41,291.0
Holy Cross (Patriot),11,7-4,460,2906,6.32,31,264.2
North Dakota St. (MVFC),14,11-3,577,3385,5.87,45,241.8
South Dakota St. (MVFC),13,13-0,475,3007,6.33,34,231.3
South Carolina St. (MEAC),11,5-6,426,2478,5.82,21,225.3
Portland St. (Big Sky),11,5-6,462,2464,5.33,30,224.0
UT Martin (OVC),11,8-3,439,2453,5.59,19,223.0
Hampton (CAA),11,5-6,445,2380,5.35,20,216.4
Villanova (CAA),13,10-3,504,2789,5.53,34,214.5
Butler (Pioneer),11,7-4,422,2223,5.27,20,202.1
Illinois St. (MVFC),11,6-5,378,2179,5.76,26,198.1
William & Mary (CAA),11,6-5,437,2166,4.96,14,196.9
Kennesaw St. (FCS Independent),9,3-6,362,1760,4.86,21,195.6
Harvard (Ivy League),10,8-2,394,1946,4.94,24,194.6
Texas Southern (SWAC),11,3-8,400,2106,5.26,20,191.5
Montana (Big Sky),13,12-1,568,2481,4.37,30,190.8
Lafayette (Patriot),12,9-3,480,2276,4.74,28,189.7
Central Ark. (ASUN),11,7-4,363,2077,5.72,18,188.8
Monmouth (CAA),11,4-7,393,2065,5.25,27,187.7
Central Conn. St. (NEC),11,3-8,417,2055,4.93,18,186.8
Merrimack (NEC),11,5-6,489,2046,4.18,23,186.0
Western Caro. (SoCon),11,7-4,363,2012,5.54,19,182.9
Howard (MEAC),11,6-5,406,1990,4.90,24,180.9
Sacramento St. (Big Sky),13,8-5,486,2312,4.76,28,177.8
Dartmouth (Ivy League),10,6-4,392,1744,4.45,18,174.4
Norfolk St. (MEAC),11,3-8,458,1912,4.17,14,173.8
Dayton (Pioneer),11,4-7,445,1882,4.23,18,171.1
Saint Francis (PA) (NEC),10,4-6,345,1686,4.89,16,168.6
Yale (Ivy League),10,7-3,403,1645,4.08,15,164.5
Youngstown St. (MVFC),13,8-5,490,2137,4.36,27,164.4
UC Davis (Big Sky),11,7-4,390,1807,4.63,20,164.3
Grambling (SWAC),11,5-6,381,1791,4.70,22,162.8
North Ala. (ASUN),11,3-8,415,1786,4.30,11,162.4
Jackson St. (SWAC),11,7-4,396,1781,4.50,17,161.9
Eastern Ky. (ASUN),11,5-6,347,1778,5.12,17,161.6
Prairie View (SWAC),12,6-6,479,1924,4.02,19,160.3
Delaware (CAA),13,9-4,450,2083,4.63,25,160.2
LIU (NEC),11,4-7,383,1761,4.60,13,160.1
Idaho (Big Sky),13,9-4,473,2077,4.39,22,159.8
Houston Christian (Southland),10,5-5,363,1584,4.36,15,158.4
UIW (Southland),10,8-2,335,1571,4.69,16,157.1
Furman (SoCon),13,10-3,490,2040,4.16,24,156.9
N.C. A&T (CAA),11,1-10,392,1724,4.40,12,156.7
North Dakota (MVFC),12,7-5,399,1876,4.70,30,156.3
Southern Utah (ASUN),11,6-5,385,1715,4.45,16,155.9
ETSU (SoCon),11,3-8,416,1704,4.10,15,154.9
Gardner-Webb (OVC),12,7-5,481,1854,3.85,19,154.5
Nicholls (Southland),11,6-5,414,1699,4.10,19,154.5
N.C. Central (MEAC),12,9-3,407,1852,4.55,28,154.3
Eastern Wash. (Big Sky),11,4-7,409,1697,4.15,20,154.3
