Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Samford (SoCon),11,6-5,561,394,16,4320,7.70,10.96,34,392.7
San Diego (Pioneer),12,9-3,443,287,7,4190,9.46,14.60,40,349.2
UC Davis (Big Sky),13,10-3,585,378,13,4197,7.17,11.10,37,322.8
UIW (Southland),11,6-5,428,248,14,3550,8.29,14.31,26,322.7
Northwestern St. (Southland),11,5-6,475,290,11,3530,7.43,12.17,32,320.9
Stetson (Pioneer),10,8-2,355,234,7,3203,9.02,13.69,28,320.3
Yale (Ivy League),10,5-5,364,223,13,3160,8.68,14.17,18,316.0
VMI (SoCon),11,1-10,587,333,19,3412,5.81,10.25,23,310.2
Eastern Ill. (OVC),11,3-8,519,322,8,3402,6.55,10.57,27,309.3
Jacksonville St. (OVC),13,9-4,483,286,15,3864,8.00,13.51,37,297.2
Sam Houston (Southland),11,6-5,433,253,17,3252,7.51,12.85,22,295.6
Idaho St. (Big Sky),11,6-5,345,196,10,3159,9.16,16.12,27,287.2
South Dakota (MVFC),11,4-7,474,289,8,3144,6.63,10.88,18,285.8
Southeastern La. (Southland),11,4-7,426,254,13,3095,7.27,12.19,18,281.4
Abilene Christian (Southland),11,6-5,491,322,10,3062,6.24,9.51,23,278.4
Howard (MEAC),10,4-6,314,161,17,2780,8.85,17.27,23,278.0
Tennessee St. (OVC),9,4-5,324,200,9,2486,7.67,12.43,21,276.2
Towson (CAA),12,7-5,446,274,11,3300,7.40,12.04,29,275.0
Murray St. (OVC),11,5-6,456,273,16,3015,6.61,11.04,20,274.1
Eastern Wash. (Big Sky),15,12-3,489,301,14,4084,8.35,13.57,38,272.3
Western Ill. (MVFC),11,5-6,409,242,14,2991,7.31,12.36,21,271.9
Montana (Big Sky),11,6-5,410,256,7,2989,7.29,11.68,25,271.7
Houston Christian (Southland),11,1-10,463,263,15,2968,6.41,11.29,25,269.8
UT Martin (OVC),11,2-9,419,263,15,2933,7.00,11.15,21,266.6
Richmond (CAA),11,4-7,367,211,18,2906,7.92,13.77,15,264.2
Central Ark. (Southland),11,6-5,369,200,9,2879,7.80,14.40,26,261.7
Drake (Pioneer),11,7-4,367,210,14,2842,7.74,13.53,29,258.4
Northern Colo. (Big Sky),11,2-9,385,213,18,2830,7.35,13.29,19,257.3
SFA (Southland),10,2-8,414,241,11,2563,6.19,10.63,14,256.3
Western Caro. (SoCon),11,3-8,365,225,8,2813,7.71,12.50,22,255.7
Texas Southern (SWAC),11,2-9,403,196,13,2807,6.97,14.32,18,255.2
Prairie View (SWAC),11,5-6,380,206,13,2805,7.38,13.62,24,255.0
Bryant (NEC),11,6-5,426,245,12,2794,6.56,11.40,23,254.0
South Dakota St. (MVFC),13,10-3,351,206,8,3256,9.28,15.81,35,250.5
Southern Utah (Big Sky),11,1-10,437,277,10,2720,6.22,9.82,13,247.3
Chattanooga (SoCon),11,6-5,379,234,6,2712,7.16,11.59,16,246.5
Marist (Pioneer),11,5-6,324,175,17,2699,8.33,15.42,25,245.4
Alabama A&M (SWAC),11,6-5,375,210,9,2676,7.14,12.74,22,243.3
Butler (Pioneer),11,4-7,386,235,6,2674,6.93,11.38,19,243.1
Monmouth (Big South),11,8-3,350,210,7,2659,7.60,12.66,20,241.7
Princeton (Ivy League),10,10-0,292,195,3,2413,8.26,12.37,24,241.3
Ark.-Pine Bluff (SWAC),11,2-9,357,215,7,2604,7.29,12.11,14,236.7
Harvard (Ivy League),10,6-4,312,173,7,2340,7.50,13.53,18,234.0
Florida A&M (MEAC),11,6-5,358,214,12,2562,7.16,11.97,17,232.9
Southeast Mo. St. (OVC),13,9-4,418,246,11,3009,7.20,12.23,29,231.5
Mercer (SoCon),11,5-6,326,178,8,2541,7.79,14.28,22,231.0
Rhode Island (CAA),11,6-5,306,189,10,2533,8.28,13.40,25,230.3
Dayton (Pioneer),11,6-5,289,176,3,2503,8.66,14.22,21,227.5
Nicholls (Southland),13,9-4,357,216,8,2954,8.27,13.68,21,227.2
UAlbany (CAA),11,3-8,341,173,18,2476,7.26,14.31,16,225.1
James Madison (CAA),13,9-4,380,256,15,2907,7.65,11.36,17,223.6
Valparaiso (Pioneer),11,2-9,354,185,13,2455,6.94,13.27,20,223.2
Villanova (CAA),11,5-6,308,186,9,2446,7.94,13.15,17,222.4
Norfolk St. (MEAC),11,4-7,360,201,17,2425,6.74,12.06,14,220.5
Brown (Ivy League),10,1-9,365,188,11,2204,6.04,11.72,8,220.4
Illinois St. (MVFC),11,6-5,321,187,8,2400,7.48,12.83,24,218.2
Idaho (Big Sky),11,4-7,395,230,12,2394,6.06,10.41,20,217.6
Southern Ill. (MVFC),11,2-9,372,211,14,2379,6.40,11.27,18,216.3
Hampton (FCS Independent),10,7-3,255,155,12,2160,8.47,13.94,25,216.0
Sacramento St. (Big Sky),10,2-8,258,132,4,2152,8.34,16.30,10,215.2
Maine (CAA),14,10-4,484,264,17,3005,6.21,11.38,26,214.6
Grambling (SWAC),11,6-5,347,193,14,2350,6.77,12.18,16,213.6
UNI (MVFC),13,7-6,407,235,9,2775,6.82,11.81,19,213.5
Central Conn. St. (NEC),11,6-5,286,173,6,2295,8.02,13.27,16,208.6
Missouri St. (MVFC),11,4-7,347,179,18,2278,6.56,12.73,14,207.1
Morehead St. (Pioneer),11,3-8,384,199,15,2277,5.93,11.44,16,207.0
ETSU (SoCon),12,8-4,379,211,14,2482,6.55,11.76,9,206.8
Wagner (NEC),11,4-7,344,176,14,2246,6.53,12.76,19,204.2
Youngstown St. (MVFC),11,4-7,324,171,11,2238,6.91,13.09,17,203.5
Northern Ariz. (Big Sky),10,4-6,310,172,14,2019,6.51,11.74,16,201.9
Robert Morris (NEC),11,2-9,313,172,14,2220,7.09,12.91,22,201.8
Campbell (Big South),11,6-5,312,177,10,2218,7.11,12.53,16,201.6
Saint Francis (PA) (NEC),11,4-7,351,188,6,2211,6.30,11.76,22,201.0
Fordham (Patriot),11,2-9,382,203,13,2208,5.78,10.88,12,200.7
Portland St. (Big Sky),11,4-7,282,149,7,2193,7.78,14.72,14,199.4
Columbia (Ivy League),10,6-4,342,197,13,1971,5.76,10.01,11,197.1
Bethune-Cookman (MEAC),12,7-5,320,183,14,2360,7.38,12.90,16,196.7
Lehigh (Patriot),11,3-8,343,176,13,2157,6.29,12.26,11,196.1
Delaware (CAA),12,7-5,333,165,11,2341,7.03,14.19,18,195.1
Holy Cross (Patriot),11,5-6,299,180,15,2143,7.17,11.91,17,194.8
Duquesne (NEC),13,9-4,319,191,12,2524,7.91,13.21,21,194.2
N.C. A&T (MEAC),12,10-2,344,194,6,2290,6.66,11.80,24,190.8
Tennessee Tech (OVC),11,1-10,357,175,9,2088,5.85,11.93,14,189.8
Lamar University (Southland),12,7-5,273,148,10,2275,8.33,15.37,20,189.6
Cornell (Ivy League),10,3-7,307,183,13,1883,6.13,10.29,11,188.3
Alcorn (SWAC),13,9-4,357,220,10,2438,6.83,11.08,18,187.5
William & Mary (CAA),10,4-6,295,168,10,1862,6.31,11.08,9,186.2
North Dakota St. (MVFC),15,15-0,290,180,7,2783,9.60,15.46,28,185.5
Austin Peay (OVC),11,5-6,259,132,11,1996,7.71,15.12,22,181.5
McNeese (Southland),11,6-5,340,190,10,1993,5.86,10.49,14,181.2
Weber St. (Big Sky),13,10-3,394,230,14,2348,5.96,10.21,19,180.6
N.C. Central (MEAC),11,5-6,352,176,3,1970,5.60,11.19,16,179.1
Penn (Ivy League),10,6-4,246,149,6,1788,7.27,12.00,10,178.8
New Hampshire (CAA),11,4-7,346,183,10,1923,5.56,10.51,9,174.8
Elon (CAA),11,6-5,268,147,4,1913,7.14,13.01,7,173.9
Southern U. (SWAC),11,7-4,260,137,8,1886,7.25,13.77,20,171.5
Stony Brook (CAA),12,7-5,318,161,9,2050,6.45,12.73,17,170.8
Lafayette (Patriot),11,3-8,361,196,13,1879,5.20,9.59,4,170.8
Bucknell (Patriot),11,1-10,378,201,16,1870,4.95,9.30,10,170.0
Sacred Heart (NEC),11,7-4,255,140,8,1853,7.27,13.24,13,168.5
North Dakota (FCS Independent),11,6-5,293,159,11,1828,6.24,11.50,16,166.2
Mississippi Val. (SWAC),11,1-10,331,173,15,1792,5.41,10.36,11,162.9
Dartmouth (Ivy League),10,9-1,212,142,3,1626,7.67,11.45,18,162.6
Alabama St. (SWAC),11,4-7,344,172,15,1776,5.16,10.33,12,161.5
Indiana St. (MVFC),11,7-4,228,140,3,1774,7.78,12.67,12,161.3
Jackson St. (SWAC),10,5-5,303,169,10,1568,5.17,9.28,7,156.8
Presbyterian (Big South),10,2-8,261,155,10,1559,5.97,10.06,13,155.9
Georgetown (Patriot),11,5-6,304,154,7,1710,5.63,11.10,9,155.5
Gardner-Webb (Big South),11,3-8,300,144,15,1704,5.68,11.83,10,154.9
Colgate (Patriot),12,10-2,236,146,4,1845,7.82,12.64,7,153.8
Morgan St. (MEAC),11,4-7,277,144,11,1646,5.94,11.43,11,149.6
Furman (SoCon),10,6-4,162,105,4,1494,9.22,14.23,14,149.4
Eastern Ky. (OVC),11,7-4,290,151,12,1630,5.62,10.79,11,148.2
Montana St. (Big Sky),13,8-5,285,163,9,1826,6.41,11.20,8,140.5
Delaware St. (MEAC),11,3-8,264,130,8,1407,5.33,10.82,10,127.9
Davidson (Pioneer),11,6-5,138,74,7,1309,9.49,17.69,13,119.0
Wofford (SoCon),13,9-4,191,114,10,1502,7.86,13.18,11,115.5
South Carolina St. (MEAC),11,5-6,206,89,7,1209,5.87,13.58,5,109.9
Kennesaw St. (Big South),13,11-2,135,79,7,1314,9.73,16.63,13,101.1
Savannah St. (MEAC),10,2-8,190,74,10,987,5.19,13.34,6,98.7
Cal Poly (Big Sky),11,5-6,119,62,0,999,8.39,16.11,9,90.8
The Citadel (SoCon),11,5-6,111,50,5,921,8.30,18.42,5,83.7
Charleston So. (Big South),11,5-6,175,79,9,913,5.22,11.56,6,83.0
Jacksonville (Pioneer),10,2-8,63,24,4,423,6.71,17.63,3,42.3
North Ala. (FCS Independent),10,7-3,306,181,4,2405,7.86,13.29,16,240.5
