Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Fordham (Patriot),11,2-9,21,8,6,6,20,0.952
Davidson (Pioneer),11,6-5,40,31,4,2,37,0.925
Mercer (SoCon),11,5-6,38,15,10,10,35,0.921
Elon (CAA),11,6-5,35,16,3,13,32,0.914
Indiana St. (MVFC),11,7-4,46,24,6,12,42,0.913
Cal Poly (Big Sky),11,5-6,41,24,2,11,37,0.902
San Diego (Pioneer),12,9-3,50,16,21,8,45,0.900
Samford (SoCon),11,6-5,59,20,23,10,53,0.898
ETSU (SoCon),12,8-4,49,22,7,15,44,0.898
UNI (MVFC),13,7-6,49,13,12,19,44,0.898
Drake (Pioneer),11,7-4,38,8,17,9,34,0.895
Colgate (Patriot),12,10-2,46,25,4,12,41,0.891
North Dakota St. (MVFC),15,15-0,63,35,14,7,56,0.889
UC Davis (Big Sky),13,10-3,62,20,27,8,55,0.887
South Dakota St. (MVFC),13,10-3,50,19,18,7,44,0.880
The Citadel (SoCon),11,5-6,33,19,2,8,29,0.879
Jacksonville St. (OVC),13,9-4,57,26,14,10,50,0.877
Montana St. (Big Sky),13,8-5,40,21,4,10,35,0.875
N.C. A&T (MEAC),12,10-2,40,14,17,4,35,0.875
Furman (SoCon),10,6-4,32,15,8,5,28,0.875
Southeast Mo. St. (OVC),13,9-4,55,19,20,9,48,0.873
Kennesaw St. (Big South),13,11-2,61,40,5,8,53,0.869
Eastern Ill. (OVC),11,3-8,45,12,17,10,39,0.867
Nicholls (Southland),13,9-4,60,25,13,14,52,0.867
Stetson (Pioneer),10,8-2,52,16,18,11,45,0.865
Princeton (Ivy League),10,10-0,59,29,14,8,51,0.864
Alcorn (SWAC),13,9-4,51,22,10,12,44,0.863
N.C. Central (MEAC),11,5-6,36,14,6,11,31,0.861
Butler (Pioneer),11,4-7,36,15,11,5,31,0.861
Sacred Heart (NEC),11,7-4,35,16,8,6,30,0.857
Eastern Wash. (Big Sky),15,12-3,76,27,23,15,65,0.855
James Madison (CAA),13,9-4,69,23,14,22,59,0.855
Harvard (Ivy League),10,6-4,34,9,7,13,29,0.853
Lamar University (Southland),12,7-5,39,23,3,7,33,0.846
Weber St. (Big Sky),13,10-3,52,17,13,14,44,0.846
Rhode Island (CAA),11,6-5,39,14,14,5,33,0.846
Morgan St. (MEAC),11,4-7,26,8,6,8,22,0.846
Jacksonville (Pioneer),10,2-8,32,23,2,2,27,0.844
Monmouth (Big South),11,8-3,44,18,11,8,37,0.841
