Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Colgate (Patriot),12,10-2,14,13,0,0,5,0,112,9.3
Dartmouth (Ivy League),10,9-1,15,13,1,0,5,0,120,12.0
North Dakota St. (MVFC),15,15-0,24,24,0,0,7,0,189,12.6
Princeton (Ivy League),10,10-0,17,15,1,0,3,1,130,13.0
N.C. A&T (MEAC),12,10-2,17,11,0,0,19,0,170,14.2
James Madison (CAA),13,9-4,22,22,0,0,12,0,190,14.6
Kennesaw St. (Big South),13,11-2,24,21,1,0,11,0,200,15.4
Wofford (SoCon),13,9-4,32,31,0,0,8,0,247,19.0
Drake (Pioneer),11,7-4,28,20,1,0,6,1,210,19.1
Illinois St. (MVFC),11,6-5,27,23,1,0,11,0,220,20.0
Saint Francis (PA) (NEC),11,4-7,27,22,2,0,10,2,222,20.2
Stony Brook (CAA),12,7-5,32,28,0,0,8,0,244,20.3
Penn (Ivy League),10,6-4,28,22,1,0,5,1,209,20.9
Chattanooga (SoCon),11,6-5,29,27,0,0,10,0,231,21.0
Georgetown (Patriot),11,5-6,27,24,0,0,14,2,232,21.1
Weber St. (Big Sky),13,10-3,35,27,1,0,12,0,275,21.2
UNI (MVFC),13,7-6,34,30,1,0,13,1,277,21.3
Alcorn (SWAC),13,9-4,34,28,4,0,13,0,279,21.5
Delaware (CAA),12,7-5,31,25,2,0,13,2,258,21.5
Harvard (Ivy League),10,6-4,27,21,2,0,9,2,218,21.8
Nicholls (Southland),13,9-4,36,32,2,0,10,1,284,21.8
Campbell (Big South),11,6-5,32,25,1,0,7,1,242,22.0
Sacred Heart (NEC),11,7-4,33,28,1,0,5,0,243,22.1
Florida A&M (MEAC),11,6-5,31,26,1,1,9,0,243,22.1
South Dakota St. (MVFC),13,10-3,38,33,1,0,9,0,290,22.3
North Dakota (FCS Independent),11,6-5,30,28,0,1,13,0,249,22.6
Eastern Wash. (Big Sky),15,12-3,44,40,1,1,10,1,340,22.7
New Hampshire (CAA),11,4-7,32,30,0,0,9,1,251,22.8
Alabama A&M (SWAC),11,6-5,32,27,2,1,9,1,254,23.1
Maine (CAA),14,10-4,40,32,2,0,17,0,327,23.4
Villanova (CAA),11,5-6,32,28,1,0,11,1,257,23.4
Charleston So. (Big South),11,5-6,32,31,0,1,10,2,259,23.5
Elon (CAA),11,6-5,31,26,0,0,16,0,260,23.6
McNeese (Southland),11,6-5,34,30,1,0,10,0,266,24.2
South Carolina St. (MEAC),11,5-6,35,30,1,1,8,0,268,24.4
Jackson St. (SWAC),10,5-5,32,31,0,1,6,1,245,24.5
Jacksonville St. (OVC),13,9-4,41,30,3,0,13,1,323,24.8
Southern U. (SWAC),11,7-4,36,28,2,0,9,1,277,25.2
Grambling (SWAC),11,6-5,38,29,1,0,6,0,277,25.2
Columbia (Ivy League),10,6-4,33,28,3,0,6,1,252,25.2
Central Conn. St. (NEC),11,6-5,38,37,0,0,5,0,280,25.5
Morgan St. (MEAC),11,4-7,35,25,5,0,11,2,282,25.6
Holy Cross (Patriot),11,5-6,36,32,1,0,12,0,286,26.0
Western Ill. (MVFC),11,5-6,33,30,1,1,18,0,286,26.0
Central Ark. (Southland),11,6-5,35,33,1,0,14,0,287,26.1
Dayton (Pioneer),11,6-5,40,33,1,0,4,0,287,26.1
William & Mary (CAA),10,4-6,31,28,0,0,16,0,262,26.2
Samford (SoCon),11,6-5,35,31,1,0,15,1,290,26.4
ETSU (SoCon),12,8-4,40,36,0,0,13,1,317,26.4
Marist (Pioneer),11,5-6,37,33,1,0,12,0,293,26.6
Abilene Christian (Southland),11,6-5,37,32,0,0,14,0,296,26.9
Prairie View (SWAC),11,5-6,36,33,0,0,14,3,297,27.0
Youngstown St. (MVFC),11,4-7,39,33,1,0,10,0,299,27.2
Norfolk St. (MEAC),11,4-7,39,34,1,0,10,0,300,27.3
UC Davis (Big Sky),13,10-3,45,39,3,0,13,1,356,27.4
Duquesne (NEC),13,9-4,49,45,0,0,8,0,363,27.9
Sam Houston (Southland),11,6-5,39,34,1,0,13,0,309,28.1
Fordham (Patriot),11,2-9,41,34,2,0,8,1,310,28.2
Indiana St. (MVFC),11,7-4,39,35,1,0,13,0,310,28.2
Rhode Island (CAA),11,6-5,40,35,1,0,11,0,310,28.2
Furman (SoCon),10,6-4,36,34,0,0,10,1,282,28.2
Bucknell (Patriot),11,1-10,41,37,0,1,8,1,311,28.3
Hampton (FCS Independent),10,7-3,37,33,2,0,8,0,283,28.3
Lamar University (Southland),12,7-5,43,37,2,0,13,1,340,28.3
Montana St. (Big Sky),13,8-5,47,44,1,0,14,0,370,28.5
Yale (Ivy League),10,5-5,38,36,0,0,7,0,285,28.5
Montana (Big Sky),11,6-5,40,33,4,0,11,0,314,28.5
Eastern Ky. (OVC),11,7-4,40,32,3,0,12,1,316,28.7
Towson (CAA),12,7-5,46,41,1,0,9,0,346,28.8
San Diego (Pioneer),12,9-3,48,39,1,0,7,0,350,29.2
Savannah St. (MEAC),10,2-8,38,37,1,0,8,1,293,29.3
Lafayette (Patriot),11,3-8,43,34,1,0,9,1,323,29.4
Stetson (Pioneer),10,8-2,40,37,2,0,5,0,296,29.6
Presbyterian (Big South),10,2-8,39,38,0,0,8,0,296,29.6
Cornell (Ivy League),10,3-7,37,36,0,0,13,0,297,29.7
The Citadel (SoCon),11,5-6,43,37,1,0,12,0,333,30.3
Bethune-Cookman (MEAC),12,7-5,50,36,2,0,7,2,365,30.4
N.C. Central (MEAC),11,5-6,44,37,0,1,10,1,335,30.5
UAlbany (CAA),11,3-8,44,37,2,0,10,1,337,30.6
Austin Peay (OVC),11,5-6,44,38,1,0,11,0,337,30.6
Southeast Mo. St. (OVC),13,9-4,53,47,1,0,12,0,403,31.0
Monmouth (Big South),11,8-3,49,42,0,0,3,1,347,31.5
Tennessee St. (OVC),9,4-5,38,35,1,0,8,0,289,32.1
Northern Ariz. (Big Sky),10,4-6,41,32,3,0,12,1,322,32.2
Mercer (SoCon),11,5-6,47,39,2,0,10,1,357,32.5
Richmond (CAA),11,4-7,47,43,1,0,10,1,359,32.6
Idaho St. (Big Sky),11,6-5,48,44,2,0,9,0,363,33.0
Texas Southern (SWAC),11,2-9,47,41,1,1,12,1,365,33.2
SFA (Southland),10,2-8,44,42,0,0,9,0,333,33.3
Southeastern La. (Southland),11,4-7,48,39,3,0,12,0,369,33.5
Delaware St. (MEAC),11,3-8,50,40,1,0,9,0,369,33.5
Butler (Pioneer),11,4-7,51,46,0,1,6,0,372,33.8
UIW (Southland),11,6-5,50,43,0,0,10,1,375,34.1
Howard (MEAC),10,4-6,43,39,0,0,14,1,341,34.1
South Dakota (MVFC),11,4-7,48,42,2,0,14,0,376,34.2
UT Martin (OVC),11,2-9,48,41,1,0,15,1,378,34.4
Northwestern St. (Southland),11,5-6,49,45,3,0,11,1,380,34.5
Murray St. (OVC),11,5-6,51,48,0,0,10,0,384,34.9
Lehigh (Patriot),11,3-8,51,42,3,1,10,0,386,35.1
Sacramento St. (Big Sky),10,2-8,46,41,2,0,11,0,354,35.4
Northern Colo. (Big Sky),11,2-9,53,50,1,0,7,0,391,35.5
Valparaiso (Pioneer),11,2-9,52,46,1,0,10,1,392,35.6
Missouri St. (MVFC),11,4-7,52,47,1,0,11,1,396,36.0
Portland St. (Big Sky),11,4-7,55,43,2,0,7,0,398,36.2
Brown (Ivy League),10,1-9,50,42,1,0,6,0,362,36.2
Cal Poly (Big Sky),11,5-6,53,52,0,0,10,0,400,36.4
Alabama St. (SWAC),11,4-7,54,51,1,0,10,0,407,37.0
