Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
North Dakota St. (MVFC),15,15-0,6,7,0.857
Princeton (Ivy League),10,10-0,19,23,0.826
Mercer (SoCon),11,5-6,8,10,0.800
Dartmouth (Ivy League),10,9-1,11,14,0.786
Furman (SoCon),10,6-4,9,13,0.692
Illinois St. (MVFC),11,6-5,11,16,0.688
Weber St. (Big Sky),13,10-3,12,18,0.667
Kennesaw St. (Big South),13,11-2,22,34,0.647
Western Caro. (SoCon),11,3-8,11,17,0.647
Southeastern La. (Southland),11,4-7,16,25,0.640
Southern Utah (Big Sky),11,1-10,28,44,0.636
San Diego (Pioneer),12,9-3,14,22,0.636
Ark.-Pine Bluff (SWAC),11,2-9,10,16,0.625
UNI (MVFC),13,7-6,10,16,0.625
ETSU (SoCon),12,8-4,10,16,0.625
UC Davis (Big Sky),13,10-3,16,26,0.615
N.C. Central (MEAC),11,5-6,11,18,0.611
Holy Cross (Patriot),11,5-6,14,23,0.609
The Citadel (SoCon),11,5-6,23,38,0.605
Idaho (Big Sky),11,4-7,15,25,0.600
Sacred Heart (NEC),11,7-4,9,15,0.600
Southeast Mo. St. (OVC),13,9-4,11,19,0.579
Florida A&M (MEAC),11,6-5,11,19,0.579
Jacksonville St. (OVC),13,9-4,11,19,0.579
Tennessee Tech (OVC),11,1-10,16,28,0.571
Eastern Ill. (OVC),11,3-8,12,21,0.571
Northwestern St. (Southland),11,5-6,13,23,0.565
Rhode Island (CAA),11,6-5,9,16,0.563
Samford (SoCon),11,6-5,14,25,0.560
Tennessee St. (OVC),9,4-5,5,9,0.556
Sacramento St. (Big Sky),10,2-8,5,9,0.556
Portland St. (Big Sky),11,4-7,11,20,0.550
Indiana St. (MVFC),11,7-4,6,11,0.545
Lamar University (Southland),12,7-5,6,11,0.545
Jacksonville (Pioneer),10,2-8,14,26,0.538
Stetson (Pioneer),10,8-2,7,13,0.538
Bethune-Cookman (MEAC),12,7-5,8,15,0.533
Davidson (Pioneer),11,6-5,17,32,0.531
Abilene Christian (Southland),11,6-5,9,17,0.529
Northern Ariz. (Big Sky),10,4-6,9,17,0.529
Central Conn. St. (NEC),11,6-5,10,19,0.526
Southern Ill. (MVFC),11,2-9,12,23,0.522
Eastern Ky. (OVC),11,7-4,12,24,0.500
Colgate (Patriot),12,10-2,12,24,0.500
Missouri St. (MVFC),11,4-7,10,20,0.500
William & Mary (CAA),10,4-6,9,18,0.500
Maine (CAA),14,10-4,9,18,0.500
Saint Francis (PA) (NEC),11,4-7,9,18,0.500
Grambling (SWAC),11,6-5,6,12,0.500
McNeese (Southland),11,6-5,5,10,0.500
Robert Morris (NEC),11,2-9,5,10,0.500
N.C. A&T (MEAC),12,10-2,5,10,0.500
James Madison (CAA),13,9-4,3,6,0.500
Valparaiso (Pioneer),11,2-9,13,27,0.481
Columbia (Ivy League),10,6-4,13,27,0.481
