Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Alcorn (SWAC),13,9-4,72,104,539,124,9.5
Sam Houston (Southland),11,6-5,71,46,421,94,8.5
Saint Francis (PA) (NEC),11,4-7,73,40,328,93,8.5
North Dakota (FCS Independent),11,6-5,78,30,380,93,8.5
Grambling (SWAC),11,6-5,71,44,380,93,8.5
Maine (CAA),14,10-4,92,50,488,117,8.4
Nicholls (Southland),13,9-4,90,32,466,106,8.2
Jacksonville St. (OVC),13,9-4,75,62,343,106,8.2
Hampton (FCS Independent),10,7-3,64,34,304,81,8.1
Drake (Pioneer),11,7-4,68,42,346,89,8.1
Central Ark. (Southland),11,6-5,66,46,346,89,8.1
Prairie View (SWAC),11,5-6,62,54,301,89,8.1
Weber St. (Big Sky),13,10-3,69,66,401,102,7.8
Abilene Christian (Southland),11,6-5,63,44,323,85,7.7
N.C. Central (MEAC),11,5-6,71,28,307,85,7.7
ETSU (SoCon),12,8-4,68,48,364,92,7.7
UT Martin (OVC),11,2-9,56,56,340,84,7.6
Stony Brook (CAA),12,7-5,67,48,409,91,7.6
Tennessee St. (OVC),9,4-5,46,44,237,68,7.6
Richmond (CAA),11,4-7,55,56,374,83,7.5
Fordham (Patriot),11,2-9,63,40,346,83,7.5
New Hampshire (CAA),11,4-7,66,34,382,83,7.5
Western Ill. (MVFC),11,5-6,62,42,343,83,7.5
South Carolina St. (MEAC),11,5-6,74,18,253,83,7.5
Kennesaw St. (Big South),13,11-2,85,26,323,98,7.5
The Citadel (SoCon),11,5-6,59,46,306,82,7.5
Bucknell (Patriot),11,1-10,65,34,328,82,7.5
UC Davis (Big Sky),13,10-3,74,45,411,97,7.4
Charleston So. (Big South),11,5-6,57,48,251,81,7.4
Holy Cross (Patriot),11,5-6,72,18,294,81,7.4
Northwestern St. (Southland),11,5-6,60,42,299,81,7.4
Houston Christian (Southland),11,1-10,62,38,255,81,7.4
N.C. A&T (MEAC),12,10-2,69,38,345,88,7.3
Colgate (Patriot),12,10-2,71,34,301,88,7.3
Northern Ariz. (Big Sky),10,4-6,56,34,258,73,7.3
Alabama A&M (SWAC),11,6-5,60,40,297,80,7.3
Penn (Ivy League),10,6-4,58,28,278,72,7.2
McNeese (Southland),11,6-5,65,28,290,79,7.2
James Madison (CAA),13,9-4,69,48,389,93,7.2
Ark.-Pine Bluff (SWAC),11,2-9,51,54,272,78,7.1
North Dakota St. (MVFC),15,15-0,81,48,460,105,7.0
Southern U. (SWAC),11,7-4,55,44,341,77,7.0
UIW (Southland),11,6-5,57,40,291,77,7.0
Alabama St. (SWAC),11,4-7,54,44,266,76,6.9
Elon (CAA),11,6-5,60,30,271,75,6.8
Dartmouth (Ivy League),10,9-1,54,26,256,67,6.7
Austin Peay (OVC),11,5-6,50,46,253,73,6.6
Georgetown (Patriot),11,5-6,55,36,387,73,6.6
Savannah St. (MEAC),10,2-8,50,32,207,66,6.6
Wagner (NEC),11,4-7,58,28,249,72,6.5
