Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Saint Francis (PA) (NEC),11,4-7,3,15,0.200
North Dakota St. (MVFC),15,15-0,7,34,0.206
San Diego (Pioneer),12,9-3,5,22,0.227
Texas Southern (SWAC),11,2-9,3,13,0.231
Illinois St. (MVFC),11,6-5,6,23,0.261
Abilene Christian (Southland),11,6-5,5,19,0.263
Drake (Pioneer),11,7-4,10,36,0.278
Campbell (Big South),11,6-5,4,14,0.286
Northwestern St. (Southland),11,5-6,4,14,0.286
Princeton (Ivy League),10,10-0,6,21,0.286
Morgan St. (MEAC),11,4-7,5,17,0.294
Savannah St. (MEAC),10,2-8,5,17,0.294
Duquesne (NEC),13,9-4,9,30,0.300
Harvard (Ivy League),10,6-4,5,16,0.313
Hampton (FCS Independent),10,7-3,6,19,0.316
McNeese (Southland),11,6-5,5,15,0.333
Grambling (SWAC),11,6-5,7,21,0.333
Penn (Ivy League),10,6-4,5,15,0.333
Cal Poly (Big Sky),11,5-6,5,15,0.333
Delaware (CAA),12,7-5,6,18,0.333
Cornell (Ivy League),10,3-7,4,12,0.333
Alabama St. (SWAC),11,4-7,5,15,0.333
Bucknell (Patriot),11,1-10,6,17,0.353
Charleston So. (Big South),11,5-6,5,14,0.357
Georgetown (Patriot),11,5-6,8,22,0.364
Tennessee St. (OVC),9,4-5,4,11,0.364
N.C. Central (MEAC),11,5-6,10,27,0.370
Rhode Island (CAA),11,6-5,6,16,0.375
Towson (CAA),12,7-5,8,21,0.381
Southern U. (SWAC),11,7-4,8,21,0.381
Maine (CAA),14,10-4,10,26,0.385
Stetson (Pioneer),10,8-2,9,23,0.391
Colgate (Patriot),12,10-2,11,28,0.393
Columbia (Ivy League),10,6-4,8,20,0.400
Eastern Wash. (Big Sky),15,12-3,11,27,0.407
Brown (Ivy League),10,1-9,9,22,0.409
James Madison (CAA),13,9-4,9,22,0.409
Alabama A&M (SWAC),11,6-5,7,17,0.412
UIW (Southland),11,6-5,10,24,0.417
Dartmouth (Ivy League),10,9-1,11,26,0.423
Stony Brook (CAA),12,7-5,9,21,0.429
Youngstown St. (MVFC),11,4-7,3,7,0.429
SFA (Southland),10,2-8,3,7,0.429
The Citadel (SoCon),11,5-6,6,14,0.429
Sacred Heart (NEC),11,7-4,10,23,0.435
Wagner (NEC),11,4-7,10,23,0.435
Alcorn (SWAC),13,9-4,7,16,0.438
Gardner-Webb (Big South),11,3-8,7,16,0.438
UNI (MVFC),13,7-6,8,18,0.444
Central Conn. St. (NEC),11,6-5,8,18,0.444
ETSU (SoCon),12,8-4,9,20,0.450
Norfolk St. (MEAC),11,4-7,9,20,0.450
Jackson St. (SWAC),10,5-5,10,22,0.455
Furman (SoCon),10,6-4,11,24,0.458
Elon (CAA),11,6-5,6,13,0.462
Missouri St. (MVFC),11,4-7,7,15,0.467
Nicholls (Southland),13,9-4,8,17,0.471
Florida A&M (MEAC),11,6-5,8,17,0.471
Eastern Ky. (OVC),11,7-4,9,19,0.474
Southeastern La. (Southland),11,4-7,10,21,0.476
Kennesaw St. (Big South),13,11-2,12,25,0.480
Weber St. (Big Sky),13,10-3,14,29,0.483
Southeast Mo. St. (OVC),13,9-4,15,31,0.484
Austin Peay (OVC),11,5-6,9,18,0.500
Fordham (Patriot),11,2-9,9,18,0.500
Delaware St. (MEAC),11,3-8,10,20,0.500
Valparaiso (Pioneer),11,2-9,8,16,0.500
William & Mary (CAA),10,4-6,6,12,0.500
Montana St. (Big Sky),13,8-5,10,20,0.500
Ark.-Pine Bluff (SWAC),11,2-9,8,16,0.500
N.C. A&T (MEAC),12,10-2,9,18,0.500
