Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Davidson (Pioneer),11,6-5,3,16,0.27
Kennesaw St. (Big South),13,11-2,5,18,0.38
Presbyterian (Big South),10,2-8,5,38,0.50
San Diego (Pioneer),12,9-3,8,60,0.67
Wofford (SoCon),13,9-4,9,61,0.69
Dartmouth (Ivy League),10,9-1,7,40,0.70
Central Conn. St. (NEC),11,6-5,8,50,0.73
North Dakota St. (MVFC),15,15-0,12,68,0.80
The Citadel (SoCon),11,5-6,9,51,0.82
Campbell (Big South),11,6-5,9,67,0.82
Austin Peay (OVC),11,5-6,9,60,0.82
Montana St. (Big Sky),13,8-5,11,72,0.85
Ark.-Pine Bluff (SWAC),11,2-9,10,69,0.91
Dayton (Pioneer),11,6-5,10,50,0.91
Princeton (Ivy League),10,10-0,10,59,1.00
Cal Poly (Big Sky),11,5-6,11,85,1.00
South Dakota St. (MVFC),13,10-3,13,73,1.00
Alcorn (SWAC),13,9-4,14,80,1.08
Penn (Ivy League),10,6-4,11,71,1.10
Jacksonville (Pioneer),10,2-8,11,80,1.10
N.C. A&T (MEAC),12,10-2,14,92,1.17
UC Davis (Big Sky),13,10-3,16,127,1.23
Butler (Pioneer),11,4-7,14,115,1.27
Valparaiso (Pioneer),11,2-9,14,116,1.27
Hampton (FCS Independent),10,7-3,13,83,1.30
Stony Brook (CAA),12,7-5,16,111,1.33
Lafayette (Patriot),11,3-8,15,113,1.36
Wagner (NEC),11,4-7,15,95,1.36
Elon (CAA),11,6-5,16,107,1.45
Sacred Heart (NEC),11,7-4,16,101,1.45
UNI (MVFC),13,7-6,19,145,1.46
Stetson (Pioneer),10,8-2,15,81,1.50
Southern Utah (Big Sky),11,1-10,17,102,1.55
Abilene Christian (Southland),11,6-5,17,102,1.55
Chattanooga (SoCon),11,6-5,17,128,1.55
Samford (SoCon),11,6-5,17,93,1.55
Eastern Wash. (Big Sky),15,12-3,24,163,1.60
South Carolina St. (MEAC),11,5-6,18,96,1.64
Florida A&M (MEAC),11,6-5,18,109,1.64
Illinois St. (MVFC),11,6-5,18,120,1.64
Norfolk St. (MEAC),11,4-7,18,115,1.64
Delaware St. (MEAC),11,3-8,19,102,1.73
Indiana St. (MVFC),11,7-4,19,125,1.73
Youngstown St. (MVFC),11,4-7,19,134,1.73
Saint Francis (PA) (NEC),11,4-7,19,107,1.73
Jacksonville St. (OVC),13,9-4,23,145,1.77
Harvard (Ivy League),10,6-4,18,120,1.80
Western Ill. (MVFC),11,5-6,20,134,1.82
Robert Morris (NEC),11,2-9,20,147,1.82
N.C. Central (MEAC),11,5-6,20,132,1.82
Murray St. (OVC),11,5-6,20,148,1.82
Central Ark. (Southland),11,6-5,20,142,1.82
Idaho (Big Sky),11,4-7,20,119,1.82
Tennessee St. (OVC),9,4-5,17,98,1.89
Cornell (Ivy League),10,3-7,19,137,1.90
Columbia (Ivy League),10,6-4,19,126,1.90
Northern Ariz. (Big Sky),10,4-6,19,122,1.90
Richmond (CAA),11,4-7,21,159,1.91
Southern Ill. (MVFC),11,2-9,21,116,1.91
Bethune-Cookman (MEAC),12,7-5,23,172,1.92
