Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
N.C. A&T (MEAC),12,10-2,44,173,0.254
Jacksonville St. (OVC),13,9-4,48,184,0.261
Weber St. (Big Sky),13,10-3,50,189,0.265
Harvard (Ivy League),10,6-4,37,137,0.270
Sam Houston (Southland),11,6-5,46,169,0.272
N.C. Central (MEAC),11,5-6,42,149,0.282
Stony Brook (CAA),12,7-5,50,177,0.282
North Dakota St. (MVFC),15,15-0,58,204,0.284
Maine (CAA),14,10-4,60,211,0.284
New Hampshire (CAA),11,4-7,45,156,0.288
Kennesaw St. (Big South),13,11-2,52,180,0.289
Colgate (Patriot),12,10-2,48,164,0.293
Saint Francis (PA) (NEC),11,4-7,46,154,0.299
Alabama A&M (SWAC),11,6-5,46,153,0.301
Abilene Christian (Southland),11,6-5,50,165,0.303
Morgan St. (MEAC),11,4-7,45,148,0.304
James Madison (CAA),13,9-4,59,191,0.309
Drake (Pioneer),11,7-4,55,175,0.314
Florida A&M (MEAC),11,6-5,49,155,0.316
Sacred Heart (NEC),11,7-4,47,148,0.318
Savannah St. (MEAC),10,2-8,38,119,0.319
Alcorn (SWAC),13,9-4,60,185,0.324
Georgetown (Patriot),11,5-6,56,172,0.326
Central Ark. (Southland),11,6-5,60,184,0.326
Wofford (SoCon),13,9-4,56,171,0.327
Campbell (Big South),11,6-5,47,143,0.329
Holy Cross (Patriot),11,5-6,56,170,0.329
Grambling (SWAC),11,6-5,50,151,0.331
Prairie View (SWAC),11,5-6,59,176,0.335
Southern U. (SWAC),11,7-4,48,143,0.336
Duquesne (NEC),13,9-4,58,171,0.339
Wagner (NEC),11,4-7,47,137,0.343
Columbia (Ivy League),10,6-4,46,134,0.343
Stetson (Pioneer),10,8-2,44,128,0.344
Eastern Ky. (OVC),11,7-4,54,157,0.344
Delaware St. (MEAC),11,3-8,53,152,0.349
McNeese (Southland),11,6-5,63,180,0.350
The Citadel (SoCon),11,5-6,44,125,0.352
Fordham (Patriot),11,2-9,59,167,0.353
Yale (Ivy League),10,5-5,46,130,0.354
Bucknell (Patriot),11,1-10,56,158,0.354
UAlbany (CAA),11,3-8,53,149,0.356
South Carolina St. (MEAC),11,5-6,54,151,0.358
South Dakota St. (MVFC),13,10-3,67,187,0.358
Bethune-Cookman (MEAC),12,7-5,67,186,0.360
Northern Ariz. (Big Sky),10,4-6,60,166,0.361
Nicholls (Southland),13,9-4,64,177,0.362
Jackson St. (SWAC),10,5-5,55,152,0.362
Illinois St. (MVFC),11,6-5,63,174,0.362
Hampton (FCS Independent),10,7-3,54,149,0.362
South Dakota (MVFC),11,4-7,58,160,0.363
Howard (MEAC),10,4-6,54,148,0.365
Western Ill. (MVFC),11,5-6,60,164,0.366
Alabama St. (SWAC),11,4-7,52,142,0.366
Lamar University (Southland),12,7-5,69,187,0.369
Elon (CAA),11,6-5,55,149,0.369
UC Davis (Big Sky),13,10-3,82,222,0.369
Princeton (Ivy League),10,10-0,51,138,0.370
North Dakota (FCS Independent),11,6-5,60,162,0.370
Villanova (CAA),11,5-6,56,151,0.371
Norfolk St. (MEAC),11,4-7,47,126,0.373
Ark.-Pine Bluff (SWAC),11,2-9,53,142,0.373
Dartmouth (Ivy League),10,9-1,55,146,0.377
Delaware (CAA),12,7-5,62,164,0.378
Youngstown St. (MVFC),11,4-7,58,153,0.379
Bryant (NEC),11,6-5,57,150,0.380
Lehigh (Patriot),11,3-8,62,163,0.380
Samford (SoCon),11,6-5,62,162,0.383
UNI (MVFC),13,7-6,74,193,0.383
Northern Colo. (Big Sky),11,2-9,56,146,0.384
Marist (Pioneer),11,5-6,68,177,0.384
SFA (Southland),10,2-8,56,145,0.386
Penn (Ivy League),10,6-4,57,147,0.388
Furman (SoCon),10,6-4,51,131,0.389
Chattanooga (SoCon),11,6-5,64,164,0.390
Montana (Big Sky),11,6-5,70,179,0.391
Texas Southern (SWAC),11,2-9,58,148,0.392
Davidson (Pioneer),11,6-5,49,125,0.392
Rhode Island (CAA),11,6-5,57,145,0.393
Cal Poly (Big Sky),11,5-6,50,127,0.394
William & Mary (CAA),10,4-6,57,144,0.396
Monmouth (Big South),11,8-3,65,164,0.396
Southeastern La. (Southland),11,4-7,65,164,0.396
Central Conn. St. (NEC),11,6-5,68,171,0.398
Charleston So. (Big South),11,5-6,61,153,0.399
Southeast Mo. St. (OVC),13,9-4,78,195,0.400
UT Martin (OVC),11,2-9,65,162,0.401
Eastern Wash. (Big Sky),15,12-3,98,244,0.402
Austin Peay (OVC),11,5-6,66,164,0.402
Richmond (CAA),11,4-7,63,156,0.404
Towson (CAA),12,7-5,66,163,0.405
