Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Davidson (Pioneer),11,6-5,793,6022,7.59,68,547.5
Princeton (Ivy League),10,10-0,749,5368,7.17,64,536.8
Eastern Wash. (Big Sky),15,12-3,1069,7923,7.41,79,528.2
Samford (SoCon),11,6-5,887,5675,6.40,54,515.9
Jacksonville St. (OVC),13,9-4,997,6465,6.48,66,497.3
Idaho St. (Big Sky),11,6-5,822,5444,6.62,49,494.9
UC Davis (Big Sky),13,10-3,1032,6356,6.16,64,488.9
Stetson (Pioneer),10,8-2,747,4835,6.47,48,483.5
UIW (Southland),11,6-5,811,5301,6.54,44,481.9
South Dakota St. (MVFC),13,10-3,817,6247,7.65,72,480.5
Yale (Ivy League),10,5-5,739,4799,6.49,37,479.9
Nicholls (Southland),13,9-4,962,6162,6.41,53,474.0
Alcorn (SWAC),13,9-4,951,6153,6.47,50,473.3
North Dakota St. (MVFC),15,15-0,960,7076,7.37,82,471.7
Howard (MEAC),10,4-6,754,4708,6.24,43,470.8
San Diego (Pioneer),12,9-3,807,5647,7.00,60,470.6
Western Caro. (SoCon),11,3-8,811,5119,6.31,41,465.4
Towson (CAA),12,7-5,926,5580,6.03,47,465.0
Monmouth (Big South),11,8-3,761,5046,6.63,48,458.7
Prairie View (SWAC),11,5-6,779,5024,6.45,46,456.7
Kennesaw St. (Big South),13,11-2,900,5902,6.56,70,454.0
Dayton (Pioneer),11,6-5,708,4973,7.02,53,452.1
Eastern Ill. (OVC),11,3-8,847,4903,5.79,44,445.7
Abilene Christian (Southland),11,6-5,869,4832,5.56,42,439.3
Harvard (Ivy League),10,6-4,709,4378,6.17,37,437.8
Montana (Big Sky),11,6-5,780,4795,6.15,45,435.9
Southern Utah (Big Sky),11,1-10,901,4787,5.31,36,435.2
Tennessee St. (OVC),9,4-5,652,3892,5.97,32,432.4
Central Conn. St. (NEC),11,6-5,703,4755,6.76,48,432.3
Lamar University (Southland),12,7-5,888,5177,5.83,47,431.4
Southern Ill. (MVFC),11,2-9,866,4740,5.47,38,430.9
Wofford (SoCon),13,9-4,854,5554,6.50,49,427.2
Cal Poly (Big Sky),11,5-6,873,4638,5.31,37,421.6
Sam Houston (Southland),11,6-5,850,4618,5.43,39,419.8
Northwestern St. (Southland),11,5-6,821,4610,5.62,40,419.1
Austin Peay (OVC),11,5-6,744,4609,6.19,46,419.0
Illinois St. (MVFC),11,6-5,739,4599,6.22,46,418.1
Dartmouth (Ivy League),10,9-1,654,4173,6.38,44,417.3
Ark.-Pine Bluff (SWAC),11,2-9,830,4576,5.51,28,416.0
Hampton (FCS Independent),10,7-3,649,4120,6.35,43,412.0
UT Martin (OVC),11,2-9,826,4526,5.48,39,411.5
South Dakota (MVFC),11,4-7,894,4523,5.06,36,411.2
Bryant (NEC),11,6-5,842,4522,5.37,44,411.1
Sacred Heart (NEC),11,7-4,737,4505,6.11,39,409.5
Southeast Mo. St. (OVC),13,9-4,891,5314,5.96,56,408.8
Central Ark. (Southland),11,6-5,772,4479,5.80,40,407.2
James Madison (CAA),13,9-4,890,5290,5.94,45,406.9
Southeastern La. (Southland),11,4-7,819,4476,5.47,31,406.9
Murray St. (OVC),11,5-6,789,4459,5.65,33,405.4
Morehead St. (Pioneer),11,3-8,851,4451,5.23,41,404.6
Sacramento St. (Big Sky),10,2-8,641,4028,6.28,28,402.8
Indiana St. (MVFC),11,7-4,749,4430,5.91,42,402.7
Houston Christian (Southland),11,1-10,821,4337,5.28,35,394.3
Portland St. (Big Sky),11,4-7,775,4330,5.59,37,393.6
Alabama A&M (SWAC),11,6-5,740,4314,5.83,42,392.2
North Dakota (FCS Independent),11,6-5,782,4309,5.51,36,391.7
Florida A&M (MEAC),11,6-5,733,4303,5.87,32,391.2
Grambling (SWAC),11,6-5,769,4288,5.58,32,389.8
Jacksonville (Pioneer),10,2-8,624,3876,6.21,39,387.6
Northern Ariz. (Big Sky),10,4-6,743,3846,5.18,31,384.6
Youngstown St. (MVFC),11,4-7,786,4205,5.35,31,382.3
Butler (Pioneer),11,4-7,743,4174,5.62,34,379.5
Mercer (SoCon),11,5-6,685,4155,6.07,41,377.7
Western Ill. (MVFC),11,5-6,724,4135,5.71,31,375.9
Idaho (Big Sky),11,4-7,795,4127,5.19,32,375.2
Richmond (CAA),11,4-7,709,4112,5.80,27,373.8
Elon (CAA),11,6-5,748,4108,5.49,29,373.5
Duquesne (NEC),13,9-4,878,4844,5.52,49,372.6
Montana St. (Big Sky),13,8-5,830,4840,5.83,45,372.3
Stony Brook (CAA),12,7-5,841,4457,5.30,37,371.4
Campbell (Big South),11,6-5,750,4074,5.43,35,370.4
Villanova (CAA),11,5-6,740,4064,5.49,35,369.5
VMI (SoCon),11,1-10,900,4055,4.51,34,368.6
The Citadel (SoCon),11,5-6,773,4041,5.23,37,367.4
Northern Colo. (Big Sky),11,2-9,773,4029,5.21,32,366.3
N.C. A&T (MEAC),12,10-2,786,4388,5.58,44,365.7
Bethune-Cookman (MEAC),12,7-5,741,4356,5.88,39,363.0
ETSU (SoCon),12,8-4,792,4297,5.43,32,358.1
Wagner (NEC),11,4-7,764,3937,5.15,34,357.9
Furman (SoCon),10,6-4,652,3532,5.42,33,353.2
Eastern Ky. (OVC),11,7-4,814,3876,4.76,32,352.4
Rhode Island (CAA),11,6-5,697,3871,5.55,40,351.9
Southern U. (SWAC),11,7-4,699,3860,5.52,37,350.9
Marist (Pioneer),11,5-6,682,3840,5.63,36,349.1
Maine (CAA),14,10-4,980,4886,4.99,43,349.0
N.C. Central (MEAC),11,5-6,744,3826,5.14,35,347.8
UNI (MVFC),13,7-6,904,4512,4.99,33,347.1
SFA (Southland),10,2-8,761,3467,4.56,21,346.7
Drake (Pioneer),11,7-4,730,3807,5.22,39,346.1
Missouri St. (MVFC),11,4-7,751,3800,5.06,32,345.5
Chattanooga (SoCon),11,6-5,702,3794,5.40,27,344.9
Cornell (Ivy League),10,3-7,697,3444,4.94,24,344.4
Colgate (Patriot),12,10-2,749,4132,5.52,35,344.3
Texas Southern (SWAC),11,2-9,725,3756,5.18,26,341.5
Penn (Ivy League),10,6-4,646,3407,5.27,22,340.7
Robert Morris (NEC),11,2-9,702,3739,5.33,37,339.9
UAlbany (CAA),11,3-8,667,3689,5.53,27,335.4
Holy Cross (Patriot),11,5-6,744,3669,4.93,31,333.5
Valparaiso (Pioneer),11,2-9,681,3658,5.37,33,332.5
Tennessee Tech (OVC),11,1-10,778,3630,4.67,21,330.0
Norfolk St. (MEAC),11,4-7,674,3558,5.28,23,323.5
Weber St. (Big Sky),13,10-3,885,4175,4.72,38,321.2
Delaware St. (MEAC),11,3-8,767,3474,4.53,20,315.8
Morgan St. (MEAC),11,4-7,751,3458,4.60,22,314.4
