Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Davidson (Pioneer),11,6-5,148,82,0.554
Princeton (Ivy League),10,10-0,133,71,0.534
North Dakota St. (MVFC),15,15-0,187,98,0.524
Yale (Ivy League),10,5-5,142,73,0.514
Kennesaw St. (Big South),13,11-2,171,86,0.503
Cal Poly (Big Sky),11,5-6,189,95,0.503
Nicholls (Southland),13,9-4,179,87,0.486
Dayton (Pioneer),11,6-5,124,60,0.484
Jacksonville (Pioneer),10,2-8,125,59,0.472
Samford (SoCon),11,6-5,150,70,0.467
Stetson (Pioneer),10,8-2,148,69,0.466
Butler (Pioneer),11,4-7,157,73,0.465
James Madison (CAA),13,9-4,171,78,0.456
Duquesne (NEC),13,9-4,185,82,0.443
Morehead St. (Pioneer),11,3-8,174,77,0.443
Jacksonville St. (OVC),13,9-4,186,82,0.441
Dartmouth (Ivy League),10,9-1,124,54,0.435
Tennessee St. (OVC),9,4-5,122,53,0.434
UC Davis (Big Sky),13,10-3,211,90,0.427
Campbell (Big South),11,6-5,162,69,0.426
Eastern Wash. (Big Sky),15,12-3,200,85,0.425
The Citadel (SoCon),11,5-6,181,76,0.420
South Dakota St. (MVFC),13,10-3,163,67,0.411
Furman (SoCon),10,6-4,134,55,0.410
Portland St. (Big Sky),11,4-7,162,66,0.407
Hampton (FCS Independent),10,7-3,128,52,0.406
Western Caro. (SoCon),11,3-8,153,62,0.405
North Dakota (FCS Independent),11,6-5,168,68,0.405
Southern Utah (Big Sky),11,1-10,193,78,0.404
Howard (MEAC),10,4-6,151,61,0.404
Eastern Ky. (OVC),11,7-4,184,74,0.402
Murray St. (OVC),11,5-6,160,64,0.400
Grambling (SWAC),11,6-5,165,66,0.400
Montana (Big Sky),11,6-5,160,64,0.400
South Dakota (MVFC),11,4-7,185,74,0.400
Eastern Ill. (OVC),11,3-8,171,68,0.398
Abilene Christian (Southland),11,6-5,180,71,0.394
Southern Ill. (MVFC),11,2-9,160,63,0.394
UNI (MVFC),13,7-6,199,78,0.392
Wofford (SoCon),13,9-4,156,61,0.391
Villanova (CAA),11,5-6,146,57,0.390
Chattanooga (SoCon),11,6-5,149,58,0.389
Monmouth (Big South),11,8-3,144,56,0.389
Western Ill. (MVFC),11,5-6,162,63,0.389
Towson (CAA),12,7-5,175,68,0.389
Indiana St. (MVFC),11,7-4,150,58,0.387
UT Martin (OVC),11,2-9,166,64,0.386
Idaho (Big Sky),11,4-7,172,66,0.384
Idaho St. (Big Sky),11,6-5,152,58,0.382
Robert Morris (NEC),11,2-9,139,53,0.381
Sacred Heart (NEC),11,7-4,155,59,0.381
Lamar University (Southland),12,7-5,184,70,0.380
Houston Christian (Southland),11,1-10,171,65,0.380
Northern Ariz. (Big Sky),10,4-6,158,60,0.380
Southern U. (SWAC),11,7-4,146,55,0.377
Harvard (Ivy League),10,6-4,141,53,0.376
