Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Cal Poly (Big Sky),11,5-6,382:49,34:48
Portland St. (Big Sky),11,4-7,376:53,34:15
Wofford (SoCon),13,9-4,432:07,33:14
Yale (Ivy League),10,5-5,331:35,33:09
The Citadel (SoCon),11,5-6,363:17,33:01
Colgate (Patriot),12,10-2,395:34,32:57
Eastern Ky. (OVC),11,7-4,361:59,32:54
Jacksonville (Pioneer),10,2-8,329:03,32:54
Kennesaw St. (Big South),13,11-2,426:18,32:47
North Dakota St. (MVFC),15,15-0,491:35,32:46
Alcorn (SWAC),13,9-4,425:14,32:42
Nicholls (Southland),13,9-4,424:58,32:41
Morgan St. (MEAC),11,4-7,358:45,32:36
Harvard (Ivy League),10,6-4,325:38,32:33
Furman (SoCon),10,6-4,324:57,32:29
Columbia (Ivy League),10,6-4,324:50,32:29
Davidson (Pioneer),11,6-5,356:06,32:22
Youngstown St. (MVFC),11,4-7,354:28,32:13
Weber St. (Big Sky),13,10-3,417:23,32:06
North Dakota (FCS Independent),11,6-5,352:51,32:04
Towson (CAA),12,7-5,384:27,32:02
Maine (CAA),14,10-4,446:48,31:54
Jacksonville St. (OVC),13,9-4,414:10,31:51
Abilene Christian (Southland),11,6-5,350:14,31:50
Villanova (CAA),11,5-6,350:14,31:50
Dartmouth (Ivy League),10,9-1,317:02,31:42
N.C. A&T (MEAC),12,10-2,380:08,31:40
Butler (Pioneer),11,4-7,348:08,31:38
Saint Francis (PA) (NEC),11,4-7,347:29,31:35
Princeton (Ivy League),10,10-0,315:05,31:30
UT Martin (OVC),11,2-9,345:16,31:23
San Diego (Pioneer),12,9-3,376:11,31:20
Ark.-Pine Bluff (SWAC),11,2-9,344:13,31:17
Alabama St. (SWAC),11,4-7,343:57,31:16
Morehead St. (Pioneer),11,3-8,343:35,31:14
Lamar University (Southland),12,7-5,373:33,31:07
Tennessee St. (OVC),9,4-5,280:08,31:07
Wagner (NEC),11,4-7,341:11,31:01
Duquesne (NEC),13,9-4,402:01,30:55
Delaware St. (MEAC),11,3-8,339:54,30:54
Monmouth (Big South),11,8-3,338:50,30:48
Idaho (Big Sky),11,4-7,338:04,30:44
Central Conn. St. (NEC),11,6-5,337:55,30:43
Rhode Island (CAA),11,6-5,337:36,30:41
McNeese (Southland),11,6-5,336:19,30:34
ETSU (SoCon),12,8-4,366:33,30:32
Florida A&M (MEAC),11,6-5,335:46,30:31
SFA (Southland),10,2-8,305:13,30:31
Southern Ill. (MVFC),11,2-9,335:28,30:29
Chattanooga (SoCon),11,6-5,335:27,30:29
Southern Utah (Big Sky),11,1-10,334:38,30:25
Elon (CAA),11,6-5,334:20,30:23
Presbyterian (Big South),10,2-8,302:55,30:17
Illinois St. (MVFC),11,6-5,332:57,30:16
Savannah St. (MEAC),10,2-8,302:37,30:15
South Dakota St. (MVFC),13,10-3,392:49,30:13
Dayton (Pioneer),11,6-5,332:11,30:11
UNI (MVFC),13,7-6,392:18,30:10
Indiana St. (MVFC),11,7-4,331:55,30:10
Western Ill. (MVFC),11,5-6,331:34,30:08
New Hampshire (CAA),11,4-7,331:11,30:06
Texas Southern (SWAC),11,2-9,330:19,30:01
Stony Brook (CAA),12,7-5,359:39,29:58
Central Ark. (Southland),11,6-5,328:20,29:50
Cornell (Ivy League),10,3-7,296:46,29:40
Mississippi Val. (SWAC),11,1-10,325:59,29:38
Stetson (Pioneer),10,8-2,295:28,29:32
Grambling (SWAC),11,6-5,324:43,29:31
Robert Morris (NEC),11,2-9,324:10,29:28
Northwestern St. (Southland),11,5-6,324:04,29:27
Northern Colo. (Big Sky),11,2-9,323:52,29:26
Campbell (Big South),11,6-5,323:18,29:23
Southeastern La. (Southland),11,4-7,323:12,29:22
Jackson St. (SWAC),10,5-5,293:03,29:18
Bethune-Cookman (MEAC),12,7-5,350:41,29:13
Sacred Heart (NEC),11,7-4,321:09,29:11
Alabama A&M (SWAC),11,6-5,320:48,29:09
Bryant (NEC),11,6-5,320:32,29:08
South Carolina St. (MEAC),11,5-6,320:18,29:07
Delaware (CAA),12,7-5,347:48,28:59
Montana St. (Big Sky),13,8-5,375:04,28:51
Norfolk St. (MEAC),11,4-7,316:51,28:48
N.C. Central (MEAC),11,5-6,316:10,28:44
Lafayette (Patriot),11,3-8,315:36,28:41
Northern Ariz. (Big Sky),10,4-6,286:05,28:36
Southern U. (SWAC),11,7-4,314:16,28:34
Richmond (CAA),11,4-7,313:33,28:30
Sam Houston (Southland),11,6-5,313:17,28:28
Penn (Ivy League),10,6-4,283:31,28:21
William & Mary (CAA),10,4-6,283:24,28:20
Gardner-Webb (Big South),11,3-8,311:00,28:16
Montana (Big Sky),11,6-5,310:59,28:16
Holy Cross (Patriot),11,5-6,310:57,28:16
Southeast Mo. St. (OVC),13,9-4,366:59,28:13
Missouri St. (MVFC),11,4-7,310:30,28:13
Georgetown (Patriot),11,5-6,309:48,28:09
Tennessee Tech (OVC),11,1-10,309:17,28:07
Drake (Pioneer),11,7-4,308:32,28:02
Austin Peay (OVC),11,5-6,307:54,27:59
Samford (SoCon),11,6-5,306:53,27:53
Charleston So. (Big South),11,5-6,306:34,27:52
Eastern Ill. (OVC),11,3-8,306:03,27:49
Hampton (FCS Independent),10,7-3,277:44,27:46
UAlbany (CAA),11,3-8,305:16,27:45
James Madison (CAA),13,9-4,360:32,27:44
Western Caro. (SoCon),11,3-8,304:11,27:39
Lehigh (Patriot),11,3-8,303:55,27:37
Bucknell (Patriot),11,1-10,302:45,27:31
Mercer (SoCon),11,5-6,302:21,27:29
UC Davis (Big Sky),13,10-3,356:15,27:24
South Dakota (MVFC),11,4-7,300:17,27:17
Howard (MEAC),10,4-6,272:47,27:16
Valparaiso (Pioneer),11,2-9,299:20,27:12
UIW (Southland),11,6-5,298:28,27:08
Sacramento St. (Big Sky),10,2-8,271:14,27:07
Idaho St. (Big Sky),11,6-5,297:32,27:02
Eastern Wash. (Big Sky),15,12-3,404:21,26:57
Marist (Pioneer),11,5-6,295:47,26:53
Fordham (Patriot),11,2-9,294:22,26:45
Houston Christian (Southland),11,1-10,293:36,26:41
Murray St. (OVC),11,5-6,290:45,26:25
VMI (SoCon),11,1-10,289:39,26:19
Brown (Ivy League),10,1-9,254:11,25:25
Prairie View (SWAC),11,5-6,268:48,24:26
North Ala. (FCS Independent),10,7-3,303:32,30:21
