Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Princeton (Ivy League),10,10-0,64,58,1,0,8,1,470,47.0
Davidson (Pioneer),11,6-5,70,62,1,1,2,1,494,44.9
Kennesaw St. (Big South),13,11-2,76,72,2,0,11,0,565,43.5
Eastern Wash. (Big Sky),15,12-3,86,75,4,0,16,0,647,43.1
South Dakota St. (MVFC),13,10-3,74,67,0,0,14,0,553,42.5
North Dakota St. (MVFC),15,15-0,85,83,0,0,9,1,622,41.5
Jacksonville St. (OVC),13,9-4,70,64,3,0,10,0,520,40.0
UC Davis (Big Sky),13,10-3,67,62,4,0,14,1,516,39.7
Samford (SoCon),11,6-5,55,54,0,0,13,0,423,38.5
San Diego (Pioneer),12,9-3,62,56,1,0,8,0,454,37.8
Stetson (Pioneer),10,8-2,49,44,1,0,11,0,373,37.3
Southeast Mo. St. (OVC),13,9-4,63,58,1,0,14,1,482,37.1
Dayton (Pioneer),11,6-5,54,50,0,0,6,1,394,35.8
Idaho St. (Big Sky),11,6-5,51,46,0,0,12,0,388,35.3
Hampton (FCS Independent),10,7-3,47,36,5,0,5,1,345,34.5
Towson (CAA),12,7-5,49,42,4,0,22,2,414,34.5
Dartmouth (Ivy League),10,9-1,46,42,1,0,6,1,340,34.0
James Madison (CAA),13,9-4,53,50,1,0,23,1,441,33.9
Montana (Big Sky),11,6-5,48,40,3,0,13,0,373,33.9
Central Conn. St. (NEC),11,6-5,51,45,2,0,5,1,372,33.8
Howard (MEAC),10,4-6,45,32,4,0,8,1,336,33.6
Prairie View (SWAC),11,5-6,50,41,0,0,9,0,368,33.5
Monmouth (Big South),11,8-3,48,41,1,1,10,1,365,33.2
Alcorn (SWAC),13,9-4,54,45,1,1,17,0,424,32.6
Eastern Ill. (OVC),11,3-8,46,40,1,0,13,0,357,32.5
Bryant (NEC),11,6-5,51,43,1,0,2,0,357,32.5
UIW (Southland),11,6-5,48,42,0,0,9,0,357,32.5
Nicholls (Southland),13,9-4,54,48,0,0,16,0,420,32.3
Illinois St. (MVFC),11,6-5,47,43,0,1,7,1,350,31.8
Indiana St. (MVFC),11,7-4,44,40,0,0,15,0,349,31.7
Western Caro. (SoCon),11,3-8,43,38,0,0,17,0,347,31.5
Lamar University (Southland),12,7-5,50,45,1,0,8,0,371,30.9
Austin Peay (OVC),11,5-6,47,41,1,0,5,0,340,30.9
Mercer (SoCon),11,5-6,43,41,0,0,12,1,337,30.6
Central Ark. (Southland),11,6-5,43,37,1,0,13,0,336,30.5
Harvard (Ivy League),10,6-4,38,31,2,0,13,1,304,30.4
Rhode Island (CAA),11,6-5,45,43,0,0,6,1,333,30.3
Abilene Christian (Southland),11,6-5,43,41,1,0,10,0,331,30.1
Southern Ill. (MVFC),11,2-9,43,43,0,0,10,0,331,30.1
N.C. A&T (MEAC),12,10-2,50,44,0,0,5,1,361,30.1
Sam Houston (Southland),11,6-5,41,36,2,0,14,1,330,30.0
Bethune-Cookman (MEAC),12,7-5,47,43,0,3,8,2,359,29.9
The Citadel (SoCon),11,5-6,42,41,0,0,11,1,328,29.8
Drake (Pioneer),11,7-4,42,38,1,2,10,0,326,29.6
Wofford (SoCon),13,9-4,50,49,0,0,12,0,385,29.6
Yale (Ivy League),10,5-5,39,32,3,0,7,1,295,29.5
Tennessee St. (OVC),9,4-5,33,28,0,0,12,1,264,29.3
Grambling (SWAC),11,6-5,39,37,1,1,15,1,322,29.3
Duquesne (NEC),13,9-4,51,44,0,0,10,0,380,29.2
UT Martin (OVC),11,2-9,40,35,2,0,13,0,318,28.9
Cal Poly (Big Sky),11,5-6,40,39,0,0,12,0,315,28.6
Montana St. (Big Sky),13,8-5,47,40,2,0,14,1,370,28.5
Jacksonville (Pioneer),10,2-8,39,34,1,0,4,1,284,28.4
Northwestern St. (Southland),11,5-6,43,35,2,0,5,0,312,28.4
Southern U. (SWAC),11,7-4,42,39,0,0,6,1,311,28.3
Alabama A&M (SWAC),11,6-5,42,36,2,0,6,0,310,28.2
Sacred Heart (NEC),11,7-4,42,37,0,1,6,0,309,28.1
Wagner (NEC),11,4-7,40,36,0,0,10,1,308,28.0
Murray St. (OVC),11,5-6,38,34,0,0,15,0,307,27.9
Weber St. (Big Sky),13,10-3,44,37,2,0,19,0,362,27.8
Morehead St. (Pioneer),11,3-8,42,29,5,0,4,0,303,27.5
Portland St. (Big Sky),11,4-7,38,37,0,1,11,1,302,27.5
Houston Christian (Southland),11,1-10,41,36,1,0,5,1,301,27.4
Furman (SoCon),10,6-4,35,29,0,0,11,0,272,27.2
Colgate (Patriot),12,10-2,40,37,1,0,15,0,324,27.0
Eastern Ky. (OVC),11,7-4,36,33,1,0,15,0,296,26.9
Stony Brook (CAA),12,7-5,44,36,1,0,6,1,322,26.8
South Dakota (MVFC),11,4-7,37,32,2,0,12,0,294,26.7
North Dakota (FCS Independent),11,6-5,39,35,0,0,8,0,293,26.6
Maine (CAA),14,10-4,48,42,1,0,11,3,371,26.5
Valparaiso (Pioneer),11,2-9,38,36,1,0,8,0,290,26.4
Florida A&M (MEAC),11,6-5,35,31,0,1,15,1,290,26.4
N.C. Central (MEAC),11,5-6,37,31,0,0,12,0,289,26.3
Saint Francis (PA) (NEC),11,4-7,36,34,1,0,12,0,288,26.2
ETSU (SoCon),12,8-4,36,33,2,0,19,1,312,26.0
Northern Ariz. (Big Sky),10,4-6,34,29,1,0,7,1,258,25.8
Marist (Pioneer),11,5-6,39,34,1,0,4,0,282,25.6
UNI (MVFC),13,7-6,37,35,2,0,24,0,333,25.6
Southeastern La. (Southland),11,4-7,34,31,2,0,14,0,281,25.5
Southern Utah (Big Sky),11,1-10,38,27,1,0,8,0,281,25.5
Ark.-Pine Bluff (SWAC),11,2-9,31,23,3,0,21,0,278,25.3
Villanova (CAA),11,5-6,37,31,2,0,6,0,275,25.0
Idaho (Big Sky),11,4-7,36,34,0,0,8,0,274,24.9
Campbell (Big South),11,6-5,38,37,0,0,2,1,273,24.8
Robert Morris (NEC),11,2-9,37,33,2,0,4,0,271,24.6
Delaware (CAA),12,7-5,36,30,1,0,13,3,293,24.4
Holy Cross (Patriot),11,5-6,35,32,1,0,6,3,268,24.4
Elon (CAA),11,6-5,31,31,0,0,17,0,268,24.4
Sacramento St. (Big Sky),10,2-8,29,29,0,1,12,0,241,24.1
Western Ill. (MVFC),11,5-6,33,28,1,0,11,1,263,23.9
Northern Colo. (Big Sky),11,2-9,35,22,7,0,4,2,262,23.8
Butler (Pioneer),11,4-7,34,25,3,0,8,0,259,23.5
VMI (SoCon),11,1-10,36,23,2,0,4,1,257,23.4
Columbia (Ivy League),10,6-4,27,24,0,0,15,0,231,23.1
Youngstown St. (MVFC),11,4-7,32,28,2,0,10,0,254,23.1
Missouri St. (MVFC),11,4-7,34,32,1,0,5,0,253,23.0
Richmond (CAA),11,4-7,30,23,1,0,12,1,243,22.1
Chattanooga (SoCon),11,6-5,28,25,1,0,13,1,236,21.5
Charleston So. (Big South),11,5-6,29,23,0,0,12,0,233,21.2
UAlbany (CAA),11,3-8,28,20,1,0,14,0,232,21.1
