Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Colgate (Patriot),12,10-2,740,2852,3.85,14,14,237.7
Kennesaw St. (Big South),13,11-2,772,3428,4.44,23,24,263.7
N.C. A&T (MEAC),12,10-2,762,3248,4.26,14,17,270.7
Dartmouth (Ivy League),10,9-1,676,2804,4.15,14,15,280.4
North Dakota St. (MVFC),15,15-0,911,4339,4.76,22,24,289.3
James Madison (CAA),13,9-4,824,3763,4.57,20,22,289.5
Saint Francis (PA) (NEC),11,4-7,690,3193,4.63,24,27,290.3
Alcorn (SWAC),13,9-4,835,3788,4.54,29,34,291.4
Drake (Pioneer),11,7-4,785,3256,4.15,26,28,296.0
Princeton (Ivy League),10,10-0,636,2973,4.67,17,17,297.3
Georgetown (Patriot),11,5-6,788,3278,4.16,24,27,298.0
Wofford (SoCon),13,9-4,809,3971,4.91,30,32,305.5
Illinois St. (MVFC),11,6-5,756,3408,4.51,26,27,309.8
New Hampshire (CAA),11,4-7,718,3410,4.75,27,32,310.0
Jacksonville St. (OVC),13,9-4,846,4047,4.78,37,41,311.3
Villanova (CAA),11,5-6,715,3439,4.81,28,32,312.6
Maine (CAA),14,10-4,960,4383,4.57,38,40,313.1
Stony Brook (CAA),12,7-5,818,3784,4.63,30,32,315.3
Savannah St. (MEAC),10,2-8,632,3162,5.00,35,38,316.2
Weber St. (Big Sky),13,10-3,871,4130,4.74,28,35,317.7
Hampton (FCS Independent),10,7-3,644,3214,4.99,33,37,321.4
Charleston So. (Big South),11,5-6,723,3572,4.94,29,32,324.7
Western Ill. (MVFC),11,5-6,766,3607,4.71,28,33,327.9
Harvard (Ivy League),10,6-4,639,3308,5.18,24,27,330.8
Campbell (Big South),11,6-5,692,3689,5.33,29,32,335.4
Sacred Heart (NEC),11,7-4,749,3696,4.93,30,33,336.0
Nicholls (Southland),13,9-4,860,4386,5.10,33,36,337.4
Penn (Ivy League),10,6-4,689,3409,4.95,27,28,340.9
Norfolk St. (MEAC),11,4-7,665,3796,5.71,33,39,345.1
Rhode Island (CAA),11,6-5,720,3796,5.27,37,40,345.1
Lafayette (Patriot),11,3-8,726,3831,5.28,39,43,348.3
ETSU (SoCon),12,8-4,840,4214,5.02,36,40,351.2
Delaware (CAA),12,7-5,814,4219,5.18,28,31,351.6
Florida A&M (MEAC),11,6-5,716,3903,5.45,27,31,354.8
Jackson St. (SWAC),10,5-5,707,3553,5.03,25,32,355.3
McNeese (Southland),11,6-5,788,3916,4.97,32,34,356.0
Delaware St. (MEAC),11,3-8,725,3941,5.44,42,50,358.3
Elon (CAA),11,6-5,739,3950,5.35,29,31,359.1
Alabama A&M (SWAC),11,6-5,774,3962,5.12,30,32,360.2
Youngstown St. (MVFC),11,4-7,697,3969,5.69,38,39,360.8
Central Conn. St. (NEC),11,6-5,764,3980,5.21,34,38,361.8
Morgan St. (MEAC),11,4-7,714,3984,5.58,32,35,362.2
Chattanooga (SoCon),11,6-5,779,3990,5.12,27,29,362.7
UNI (MVFC),13,7-6,881,4749,5.39,34,34,365.3
William & Mary (CAA),10,4-6,677,3663,5.41,27,31,366.3
Holy Cross (Patriot),11,5-6,775,4061,5.24,31,36,369.2
UT Martin (OVC),11,2-9,744,4062,5.46,41,48,369.3
UAlbany (CAA),11,3-8,737,4081,5.54,40,44,371.0
Prairie View (SWAC),11,5-6,861,4084,4.74,35,36,371.3
Eastern Ky. (OVC),11,7-4,780,4089,5.24,40,40,371.7
North Dakota (FCS Independent),11,6-5,760,4096,5.39,28,30,372.4
Southern U. (SWAC),11,7-4,748,4125,5.51,33,36,375.0
Samford (SoCon),11,6-5,790,4125,5.22,34,35,375.0
Richmond (CAA),11,4-7,735,4126,5.61,41,47,375.1
Marist (Pioneer),11,5-6,816,4185,5.13,35,37,380.5
Duquesne (NEC),13,9-4,868,4948,5.70,45,49,380.6
Northern Ariz. (Big Sky),10,4-6,728,3824,5.25,37,41,382.4
Austin Peay (OVC),11,5-6,804,4228,5.26,40,44,384.4
Abilene Christian (Southland),11,6-5,792,4241,5.35,33,37,385.5
South Dakota St. (MVFC),13,10-3,884,5015,5.67,37,38,385.8
Grambling (SWAC),11,6-5,799,4253,5.32,36,38,386.6
Columbia (Ivy League),10,6-4,637,3884,6.10,32,33,388.4
Yale (Ivy League),10,5-5,618,3884,6.28,37,38,388.4
Bucknell (Patriot),11,1-10,780,4275,5.48,38,41,388.6
Monmouth (Big South),11,8-3,752,4284,5.70,45,49,389.5
Towson (CAA),12,7-5,805,4676,5.81,42,46,389.7
South Carolina St. (MEAC),11,5-6,768,4315,5.62,34,35,392.3
Eastern Wash. (Big Sky),15,12-3,1155,5887,5.10,42,44,392.5
Cornell (Ivy League),10,3-7,681,3948,5.80,34,37,394.8
Bethune-Cookman (MEAC),12,7-5,876,4740,5.41,47,50,395.0
The Citadel (SoCon),11,5-6,675,4349,6.44,38,43,395.4
Central Ark. (Southland),11,6-5,835,4422,5.30,35,35,402.0
Dayton (Pioneer),11,6-5,739,4480,6.06,40,40,407.3
Montana St. (Big Sky),13,8-5,918,5306,5.78,46,47,408.2
Furman (SoCon),10,6-4,680,4085,6.01,33,36,408.5
Fordham (Patriot),11,2-9,784,4507,5.75,38,41,409.7
Presbyterian (Big South),10,2-8,677,4101,6.06,36,39,410.1
Jacksonville (Pioneer),10,2-8,620,4138,6.67,50,51,413.8
N.C. Central (MEAC),11,5-6,779,4579,5.88,42,44,416.3
Montana (Big Sky),11,6-5,861,4590,5.33,39,40,417.3
Wagner (NEC),11,4-7,744,4597,6.18,54,59,417.9
Portland St. (Big Sky),11,4-7,700,4612,6.59,50,55,419.3
Stetson (Pioneer),10,8-2,683,4215,6.17,39,40,421.5
SFA (Southland),10,2-8,726,4253,5.86,42,44,425.3
Texas Southern (SWAC),11,2-9,778,4687,6.02,41,47,426.1
Sam Houston (Southland),11,6-5,859,4707,5.48,36,39,427.9
South Dakota (MVFC),11,4-7,803,4731,5.89,43,48,430.1
Tennessee St. (OVC),9,4-5,627,3871,6.17,36,38,430.1
Indiana St. (MVFC),11,7-4,812,4733,5.83,36,39,430.3
UC Davis (Big Sky),13,10-3,1025,5614,5.48,44,45,431.8
Northern Colo. (Big Sky),11,2-9,799,4794,6.00,51,53,435.8
Lamar University (Southland),12,7-5,907,5308,5.85,40,43,442.3
Lehigh (Patriot),11,3-8,790,4906,6.21,50,51,446.0
Valparaiso (Pioneer),11,2-9,812,4918,6.06,48,52,447.1
Howard (MEAC),10,4-6,760,4487,5.90,38,43,448.7
Butler (Pioneer),11,4-7,723,4941,6.83,49,51,449.2
Bryant (NEC),11,6-5,766,4955,6.47,56,61,450.5
Alabama St. (SWAC),11,4-7,760,4959,6.53,47,54,450.8
Idaho St. (Big Sky),11,6-5,862,4960,5.75,44,48,450.9
Idaho (Big Sky),11,4-7,798,5008,6.28,50,56,455.3
Cal Poly (Big Sky),11,5-6,712,5033,7.07,49,53,457.5
Murray St. (OVC),11,5-6,889,5040,5.67,45,51,458.2
Morehead St. (Pioneer),11,3-8,716,5044,7.04,61,66,458.5
Mississippi Val. (SWAC),11,1-10,776,5046,6.50,59,63,458.7
Southeastern La. (Southland),11,4-7,844,5046,5.98,42,48,458.7
San Diego (Pioneer),12,9-3,842,5532,6.57,46,48,461.0
Davidson (Pioneer),11,6-5,750,5145,6.86,61,62,467.7
Missouri St. (MVFC),11,4-7,822,5188,6.31,50,52,471.6
Northwestern St. (Southland),11,5-6,868,5230,6.03,48,49,475.5
Southeast Mo. St. (OVC),13,9-4,1041,6226,5.98,51,53,478.9
UIW (Southland),11,6-5,879,5271,6.00,48,50,479.2
Mercer (SoCon),11,5-6,834,5287,6.34,44,47,480.6
Houston Christian (Southland),11,1-10,874,5305,6.07,57,65,482.3
Southern Ill. (MVFC),11,2-9,781,5317,6.81,56,59,483.4
Sacramento St. (Big Sky),10,2-8,734,4890,6.66,44,46,489.0
Western Caro. (SoCon),11,3-8,837,5391,6.44,56,59,490.1
Gardner-Webb (Big South),11,3-8,773,5408,7.00,52,56,491.6
Eastern Ill. (OVC),11,3-8,850,5412,6.37,55,57,492.0
Brown (Ivy League),10,1-9,766,4951,6.46,48,50,495.1
