Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Southeast Mo. St. (OVC),13,9-4,13,23,36,1,11,12,24,1.85
Dartmouth (Ivy League),10,9-1,10,16,26,5,3,8,18,1.80
Princeton (Ivy League),10,10-0,5,15,20,3,3,6,14,1.40
North Dakota St. (MVFC),15,15-0,7,23,30,4,7,11,19,1.27
Colgate (Patriot),12,10-2,11,15,26,7,4,11,15,1.25
South Dakota St. (MVFC),13,10-3,8,17,25,2,8,10,15,1.15
UNI (MVFC),13,7-6,9,18,27,5,9,14,13,1.00
Charleston So. (Big South),11,5-6,13,13,26,7,9,16,10,0.91
Central Ark. (Southland),11,6-5,17,11,28,9,9,18,10,0.91
Indiana St. (MVFC),11,7-4,11,4,15,3,3,6,9,0.82
Elon (CAA),11,6-5,7,13,20,7,4,11,9,0.82
Montana St. (Big Sky),13,8-5,11,12,23,4,9,13,10,0.77
Grambling (SWAC),11,6-5,14,14,28,6,14,20,8,0.73
Rhode Island (CAA),11,6-5,13,12,25,7,10,17,8,0.73
Northwestern St. (Southland),11,5-6,13,13,26,7,11,18,8,0.73
Eastern Wash. (Big Sky),15,12-3,12,22,34,10,14,24,10,0.67
Eastern Ky. (OVC),11,7-4,11,19,30,11,12,23,7,0.64
Villanova (CAA),11,5-6,8,17,25,9,9,18,7,0.64
Weber St. (Big Sky),13,10-3,12,18,30,8,14,22,8,0.62
Stetson (Pioneer),10,8-2,8,10,18,5,7,12,6,0.60
Georgetown (Patriot),11,5-6,6,20,26,13,7,20,6,0.55
Chattanooga (SoCon),11,6-5,9,11,20,8,6,14,6,0.55
South Carolina St. (MEAC),11,5-6,10,14,24,11,7,18,6,0.55
N.C. Central (MEAC),11,5-6,10,6,16,7,3,10,6,0.55
N.C. A&T (MEAC),12,10-2,7,12,19,7,6,13,6,0.50
Illinois St. (MVFC),11,6-5,3,15,18,5,8,13,5,0.45
Alcorn (SWAC),13,9-4,10,14,24,9,10,19,5,0.38
UC Davis (Big Sky),13,10-3,7,17,24,6,13,19,5,0.38
Southern U. (SWAC),11,7-4,10,10,20,8,8,16,4,0.36
Dayton (Pioneer),11,6-5,5,8,13,6,3,9,4,0.36
UIW (Southland),11,6-5,12,18,30,12,14,26,4,0.36
Maine (CAA),14,10-4,13,18,31,9,17,26,5,0.36
San Diego (Pioneer),12,9-3,8,8,16,5,7,12,4,0.33
Lamar University (Southland),12,7-5,10,17,27,13,10,23,4,0.33
Nicholls (Southland),13,9-4,12,10,22,10,8,18,4,0.31
Sacramento St. (Big Sky),10,2-8,6,5,11,4,4,8,3,0.30
North Dakota (FCS Independent),11,6-5,11,8,19,5,11,16,3,0.27
Saint Francis (PA) (NEC),11,4-7,10,9,19,10,6,16,3,0.27
Portland St. (Big Sky),11,4-7,7,11,18,8,7,15,3,0.27
Kennesaw St. (Big South),13,11-2,8,13,21,11,7,18,3,0.23
The Citadel (SoCon),11,5-6,7,10,17,10,5,15,2,0.18
Sacred Heart (NEC),11,7-4,8,7,15,5,8,13,2,0.18
Western Ill. (MVFC),11,5-6,8,12,20,4,14,18,2,0.18
Idaho St. (Big Sky),11,6-5,9,11,20,8,10,18,2,0.18
Brown (Ivy League),10,1-9,10,5,15,3,11,14,1,0.10
Columbia (Ivy League),10,6-4,7,8,15,1,13,14,1,0.10
Central Conn. St. (NEC),11,6-5,10,7,17,10,6,16,1,0.09
Drake (Pioneer),11,7-4,6,17,23,8,14,22,1,0.09
Gardner-Webb (Big South),11,3-8,11,6,17,1,15,16,1,0.09
South Dakota (MVFC),11,4-7,10,7,17,8,8,16,1,0.09
Bucknell (Patriot),11,1-10,15,11,26,9,16,25,1,0.09
New Hampshire (CAA),11,4-7,7,12,19,8,10,18,1,0.09
Delaware (CAA),12,7-5,8,15,23,11,11,22,1,0.08
ETSU (SoCon),12,8-4,8,15,23,8,14,22,1,0.08
Towson (CAA),12,7-5,8,8,16,4,11,15,1,0.08
Alabama A&M (SWAC),11,6-5,7,11,18,9,9,18,0,0.00
Austin Peay (OVC),11,5-6,7,12,19,8,11,19,0,0.00
Cal Poly (Big Sky),11,5-6,8,7,15,15,0,15,0,0.00
Stony Brook (CAA),12,7-5,9,11,20,11,9,20,0,0.00
Eastern Ill. (OVC),11,3-8,8,7,15,7,8,15,0,0.00
McNeese (Southland),11,6-5,13,8,21,11,10,21,0,0.00
Morgan St. (MEAC),11,4-7,8,14,22,11,11,22,0,0.00
Harvard (Ivy League),10,6-4,5,12,17,10,7,17,0,0.00
Wofford (SoCon),13,9-4,5,13,18,9,10,19,-1,-0.08
James Madison (CAA),13,9-4,9,14,23,9,15,24,-1,-0.08
Alabama St. (SWAC),11,4-7,11,10,21,7,15,22,-1,-0.09
Mercer (SoCon),11,5-6,8,6,14,7,8,15,-1,-0.09
Campbell (Big South),11,6-5,9,9,18,9,10,19,-1,-0.09
Western Caro. (SoCon),11,3-8,8,12,20,13,8,21,-1,-0.09
Penn (Ivy League),10,6-4,4,10,14,9,6,15,-1,-0.10
Bethune-Cookman (MEAC),12,7-5,5,16,21,9,14,23,-2,-0.17
Wagner (NEC),11,4-7,12,9,21,9,14,23,-2,-0.18
Valparaiso (Pioneer),11,2-9,6,9,15,4,13,17,-2,-0.18
Davidson (Pioneer),11,6-5,4,13,17,12,7,19,-2,-0.18
Furman (SoCon),10,6-4,8,4,12,10,4,14,-2,-0.20
Jackson St. (SWAC),10,5-5,9,9,18,10,10,20,-2,-0.20
Jacksonville (Pioneer),10,2-8,4,6,10,8,4,12,-2,-0.20
Savannah St. (MEAC),10,2-8,9,10,19,11,10,21,-2,-0.20
SFA (Southland),10,2-8,9,8,17,8,11,19,-2,-0.20
Abilene Christian (Southland),11,6-5,6,13,19,12,10,22,-3,-0.27
Florida A&M (MEAC),11,6-5,4,10,14,5,12,17,-3,-0.27
Butler (Pioneer),11,4-7,7,2,9,6,6,12,-3,-0.27
Montana (Big Sky),11,6-5,7,10,17,13,7,20,-3,-0.27
Southern Utah (Big Sky),11,1-10,7,3,10,4,10,14,-4,-0.36
Bryant (NEC),11,6-5,10,8,18,10,12,22,-4,-0.36
Northern Ariz. (Big Sky),10,4-6,8,17,25,15,14,29,-4,-0.40
Hampton (FCS Independent),10,7-3,12,6,18,10,12,22,-4,-0.40
Presbyterian (Big South),10,2-8,7,8,15,9,10,19,-4,-0.40
Sam Houston (Southland),11,6-5,12,11,23,11,17,28,-5,-0.45
Norfolk St. (MEAC),11,4-7,11,8,19,7,17,24,-5,-0.45
Samford (SoCon),11,6-5,8,10,18,7,16,23,-5,-0.45
Morehead St. (Pioneer),11,3-8,7,6,13,3,15,18,-5,-0.45
Marist (Pioneer),11,5-6,8,12,20,8,17,25,-5,-0.45
Duquesne (NEC),13,9-4,10,9,19,13,12,25,-6,-0.46
Cornell (Ivy League),10,3-7,2,7,9,1,13,14,-5,-0.50
Jacksonville St. (OVC),13,9-4,5,15,20,12,15,27,-7,-0.54
Monmouth (Big South),11,8-3,4,7,11,10,7,17,-6,-0.55
Prairie View (SWAC),11,5-6,9,12,21,14,13,27,-6,-0.55
Texas Southern (SWAC),11,2-9,7,12,19,12,13,25,-6,-0.55
William & Mary (CAA),10,4-6,8,9,17,13,10,23,-6,-0.60
Murray St. (OVC),11,5-6,11,10,21,12,16,28,-7,-0.64
Holy Cross (Patriot),11,5-6,12,5,17,9,15,24,-7,-0.64
Ark.-Pine Bluff (SWAC),11,2-9,7,5,12,12,7,19,-7,-0.64
Tennessee St. (OVC),9,4-5,3,7,10,7,9,16,-6,-0.67
Howard (MEAC),10,4-6,9,8,17,7,17,24,-7,-0.70
Southern Ill. (MVFC),11,2-9,4,12,16,10,14,24,-8,-0.73
Delaware St. (MEAC),11,3-8,4,8,12,13,8,21,-9,-0.82
UAlbany (CAA),11,3-8,7,7,14,5,18,23,-9,-0.82
Fordham (Patriot),11,2-9,5,10,15,11,13,24,-9,-0.82
Richmond (CAA),11,4-7,8,10,18,9,18,27,-9,-0.82
Youngstown St. (MVFC),11,4-7,6,3,9,8,11,19,-10,-0.91
Houston Christian (Southland),11,1-10,10,10,20,15,15,30,-10,-0.91
UT Martin (OVC),11,2-9,5,8,13,8,15,23,-10,-0.91
Tennessee Tech (OVC),11,1-10,6,3,9,10,9,19,-10,-0.91
Robert Morris (NEC),11,2-9,8,8,16,13,14,27,-11,-1.00
Lehigh (Patriot),11,3-8,8,5,13,11,13,24,-11,-1.00
Northern Colo. (Big Sky),11,2-9,8,9,17,10,18,28,-11,-1.00
Lafayette (Patriot),11,3-8,5,5,10,8,13,21,-11,-1.00
Yale (Ivy League),10,5-5,4,3,7,5,13,18,-11,-1.10
Idaho (Big Sky),11,4-7,4,3,7,8,12,20,-13,-1.18
Southeastern La. (Southland),11,4-7,7,8,15,15,13,28,-13,-1.18
VMI (SoCon),11,1-10,4,8,12,7,19,26,-14,-1.27
Missouri St. (MVFC),11,4-7,6,8,14,10,18,28,-14,-1.27
Mississippi Val. (SWAC),11,1-10,9,5,14,14,15,29,-15,-1.36
North Ala. (FCS Independent),10,7-3,8,9,17,5,4,9,8,0.80
