Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
North Dakota St. (MVFC),15,15-0,24,5,4,4,13,0.542
Dartmouth (Ivy League),10,9-1,23,7,3,3,13,0.565
Jackson St. (SWAC),10,5-5,30,9,5,4,18,0.600
Stony Brook (CAA),12,7-5,38,12,7,5,24,0.632
Colgate (Patriot),12,10-2,23,7,3,5,15,0.652
Chattanooga (SoCon),11,6-5,39,11,7,8,26,0.667
Sacred Heart (NEC),11,7-4,35,15,8,1,24,0.686
Morgan St. (MEAC),11,4-7,33,11,5,7,23,0.697
Grambling (SWAC),11,6-5,44,11,16,4,31,0.705
Holy Cross (Patriot),11,5-6,35,5,9,11,25,0.714
Alcorn (SWAC),13,9-4,35,9,8,8,25,0.714
Drake (Pioneer),11,7-4,35,11,9,5,25,0.714
Eastern Wash. (Big Sky),15,12-3,46,15,11,7,33,0.717
South Carolina St. (MEAC),11,5-6,39,14,6,8,28,0.718
Brown (Ivy League),10,1-9,54,20,13,6,39,0.722
Campbell (Big South),11,6-5,29,12,5,4,21,0.724
Penn (Ivy League),10,6-4,33,11,10,3,24,0.727
Southeastern La. (Southland),11,4-7,54,19,10,11,40,0.741
Illinois St. (MVFC),11,6-5,35,14,7,5,26,0.743
UNI (MVFC),13,7-6,43,13,10,9,32,0.744
Mercer (SoCon),11,5-6,47,13,16,6,35,0.745
Duquesne (NEC),13,9-4,48,15,14,7,36,0.750
Marist (Pioneer),11,5-6,41,15,6,10,31,0.756
Alabama St. (SWAC),11,4-7,54,25,9,7,41,0.759
Sam Houston (Southland),11,6-5,46,16,8,11,35,0.761
Savannah St. (MEAC),10,2-8,46,19,8,8,35,0.761
Nicholls (Southland),13,9-4,38,8,15,6,29,0.763
Presbyterian (Big South),10,2-8,38,18,4,7,29,0.763
Wofford (SoCon),13,9-4,34,10,12,4,26,0.765
Ark.-Pine Bluff (SWAC),11,2-9,34,14,6,6,26,0.765
Princeton (Ivy League),10,10-0,17,6,4,3,13,0.765
Southeast Mo. St. (OVC),13,9-4,56,13,21,9,43,0.768
