Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Maine (CAA),14,10-4,459,1109,2.42,10,79.2
Dartmouth (Ivy League),10,9-1,302,797,2.64,8,79.7
Alcorn (SWAC),13,9-4,415,1186,2.86,13,91.2
N.C. A&T (MEAC),12,10-2,371,1127,3.04,6,93.9
Princeton (Ivy League),10,10-0,313,961,3.07,6,96.1
Drake (Pioneer),11,7-4,398,1065,2.68,13,96.8
Colgate (Patriot),12,10-2,415,1209,2.91,9,100.8
Georgetown (Patriot),11,5-6,414,1135,2.74,16,103.2
Wofford (SoCon),13,9-4,413,1352,3.27,12,104.0
James Madison (CAA),13,9-4,443,1357,3.06,8,104.4
Nicholls (Southland),13,9-4,416,1370,3.29,13,105.4
Central Ark. (Southland),11,6-5,411,1226,2.98,16,111.5
Kennesaw St. (Big South),13,11-2,446,1452,3.26,9,111.7
Abilene Christian (Southland),11,6-5,359,1251,3.48,12,113.7
Harvard (Ivy League),10,6-4,329,1139,3.46,14,113.9
North Dakota St. (MVFC),15,15-0,512,1718,3.36,10,114.5
McNeese (Southland),11,6-5,383,1315,3.43,12,119.5
Saint Francis (PA) (NEC),11,4-7,402,1317,3.28,9,119.7
Weber St. (Big Sky),13,10-3,459,1576,3.43,12,121.2
Stony Brook (CAA),12,7-5,440,1465,3.33,12,122.1
Villanova (CAA),11,5-6,383,1364,3.56,15,124.0
Illinois St. (MVFC),11,6-5,418,1395,3.34,14,126.8
New Hampshire (CAA),11,4-7,412,1416,3.44,17,128.7
Jacksonville St. (OVC),13,9-4,434,1677,3.86,15,129.0
Hampton (FCS Independent),10,7-3,373,1303,3.49,18,130.3
UT Martin (OVC),11,2-9,433,1436,3.32,18,130.5
ETSU (SoCon),12,8-4,439,1588,3.62,25,132.3
UNI (MVFC),13,7-6,487,1734,3.56,16,133.4
North Dakota (FCS Independent),11,6-5,378,1481,3.92,14,134.6
Delaware (CAA),12,7-5,446,1619,3.63,16,134.9
