Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Harvard (Ivy League),10,6-4,56,93,6,155
Princeton (Ivy League),10,10-0,52,104,10,166
Dartmouth (Ivy League),10,9-1,58,101,8,167
Hampton (FCS Independent),10,7-3,70,77,21,168
Columbia (Ivy League),10,6-4,77,88,7,172
Colgate (Patriot),12,10-2,74,81,19,174
Savannah St. (MEAC),10,2-8,97,60,18,175
Kennesaw St. (Big South),13,11-2,75,82,18,175
Saint Francis (PA) (NEC),11,4-7,78,75,27,180
N.C. A&T (MEAC),12,10-2,63,95,23,181
Illinois St. (MVFC),11,6-5,89,83,12,184
New Hampshire (CAA),11,4-7,73,101,11,185
Penn (Ivy League),10,6-4,86,84,16,186
Florida A&M (MEAC),11,6-5,80,88,18,186
Drake (Pioneer),11,7-4,56,108,22,186
William & Mary (CAA),10,4-6,87,89,13,189
Northern Ariz. (Big Sky),10,4-6,88,82,22,192
Yale (Ivy League),10,5-5,84,88,20,192
James Madison (CAA),13,9-4,66,111,17,194
Georgetown (Patriot),11,5-6,87,90,17,194
Charleston So. (Big South),11,5-6,114,66,14,194
Campbell (Big South),11,6-5,116,54,25,195
Tennessee St. (OVC),9,4-5,67,114,17,198
Morgan St. (MEAC),11,4-7,92,84,22,198
Villanova (CAA),11,5-6,87,96,16,199
Jackson St. (SWAC),10,5-5,82,101,16,199
McNeese (Southland),11,6-5,70,107,23,200
Lafayette (Patriot),11,3-8,99,94,8,201
Norfolk St. (MEAC),11,4-7,114,72,15,201
Elon (CAA),11,6-5,105,92,6,203
Holy Cross (Patriot),11,5-6,85,107,11,203
Central Conn. St. (NEC),11,6-5,80,109,14,203
UT Martin (OVC),11,2-9,73,102,28,203
Furman (SoCon),10,6-4,82,109,14,205
The Citadel (SoCon),11,5-6,75,113,17,205
Youngstown St. (MVFC),11,4-7,84,100,21,205
Sacred Heart (NEC),11,7-4,109,83,13,206
Monmouth (Big South),11,8-3,80,114,12,206
Abilene Christian (Southland),11,6-5,65,126,16,207
Cornell (Ivy League),10,3-7,95,96,16,207
Richmond (CAA),11,4-7,93,101,15,209
UAlbany (CAA),11,3-8,93,102,14,209
Wagner (NEC),11,4-7,102,92,15,209
Central Ark. (Southland),11,6-5,73,123,14,210
Fordham (Patriot),11,2-9,97,103,10,210
Alcorn (SWAC),13,9-4,82,99,29,210
Delaware St. (MEAC),11,3-8,102,79,30,211
Stetson (Pioneer),10,8-2,103,84,24,211
North Dakota (FCS Independent),11,6-5,87,108,17,212
Bucknell (Patriot),11,1-10,104,100,9,213
Presbyterian (Big South),10,2-8,129,66,18,213
Rhode Island (CAA),11,6-5,96,87,30,213
Western Ill. (MVFC),11,5-6,85,108,20,213
North Dakota St. (MVFC),15,15-0,93,108,15,216
Jacksonville (Pioneer),10,2-8,93,96,28,217
Weber St. (Big Sky),13,10-3,81,106,30,217
Eastern Ky. (OVC),11,7-4,86,110,22,218
South Carolina St. (MEAC),11,5-6,122,85,11,218
Stony Brook (CAA),12,7-5,93,103,23,219
Jacksonville St. (OVC),13,9-4,81,106,32,219
Wofford (SoCon),13,9-4,75,121,23,219
