Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Campbell (Big South),11,6-5,116,246,1347,13,5.48,11.61,122.5
Colgate (Patriot),12,10-2,164,325,1643,5,5.06,10.02,136.9
Savannah St. (MEAC),10,2-8,132,218,1385,13,6.35,10.49,138.5
Charleston So. (Big South),11,5-6,122,215,1533,17,7.13,12.57,139.4
Sacred Heart (NEC),11,7-4,155,283,1637,12,5.78,10.56,148.8
Norfolk St. (MEAC),11,4-7,147,263,1649,14,6.27,11.22,149.9
Kennesaw St. (Big South),13,11-2,180,326,1976,14,6.06,10.98,152.0
Presbyterian (Big South),10,2-8,126,232,1640,12,7.07,13.02,164.0
Saint Francis (PA) (NEC),11,4-7,153,288,1876,15,6.51,12.26,170.5
Prairie View (SWAC),11,5-6,195,375,1900,11,5.07,9.74,172.7
North Dakota St. (MVFC),15,15-0,204,399,2621,12,6.57,12.85,174.7
N.C. A&T (MEAC),12,10-2,193,391,2121,8,5.42,10.99,176.8
Alabama A&M (SWAC),11,6-5,189,338,1948,12,5.76,10.31,177.1
Northern Ariz. (Big Sky),10,4-6,148,296,1797,17,6.07,12.14,179.7
Alabama St. (SWAC),11,4-7,126,234,1980,16,8.46,15.71,180.0
New Hampshire (CAA),11,4-7,180,306,1994,10,6.52,11.08,181.3
Rhode Island (CAA),11,6-5,171,304,2003,16,6.59,11.71,182.1
Jacksonville St. (OVC),13,9-4,205,412,2370,22,5.75,11.56,182.3
South Carolina St. (MEAC),11,5-6,163,294,2011,11,6.84,12.34,182.8
Illinois St. (MVFC),11,6-5,177,338,2013,12,5.96,11.37,183.0
Penn (Ivy League),10,6-4,163,282,1850,15,6.56,11.35,185.0
James Madison (CAA),13,9-4,205,381,2406,12,6.31,11.74,185.1
Delaware St. (MEAC),11,3-8,149,308,2048,22,6.65,13.74,186.2
Villanova (CAA),11,5-6,189,332,2075,13,6.25,10.98,188.6
William & Mary (CAA),10,4-6,172,278,1900,7,6.83,11.05,190.0
Hampton (FCS Independent),10,7-3,153,271,1911,15,7.05,12.49,191.1
Western Ill. (MVFC),11,5-6,192,333,2119,13,6.36,11.04,192.6
Cal Poly (Big Sky),11,5-6,190,324,2119,17,6.54,11.15,192.6
Stony Brook (CAA),12,7-5,206,378,2319,18,6.13,11.26,193.3
Elon (CAA),11,6-5,171,307,2127,15,6.93,12.44,193.4
Lafayette (Patriot),11,3-8,182,286,2134,15,7.46,11.73,194.0
Georgetown (Patriot),11,5-6,197,374,2143,8,5.73,10.88,194.8
Youngstown St. (MVFC),11,4-7,167,306,2148,18,7.02,12.86,195.3
Weber St. (Big Sky),13,10-3,220,412,2554,16,6.20,11.61,196.5
South Dakota St. (MVFC),13,10-3,204,370,2568,17,6.94,12.59,197.5
Duquesne (NEC),13,9-4,200,390,2586,25,6.63,12.93,198.9
Drake (Pioneer),11,7-4,204,387,2191,13,5.66,10.74,199.2
Alcorn (SWAC),13,9-4,219,420,2602,16,6.20,11.88,200.2
Dartmouth (Ivy League),10,9-1,235,374,2007,6,5.37,8.54,200.7
Princeton (Ivy League),10,10-0,187,323,2012,11,6.23,10.76,201.2
Wofford (SoCon),13,9-4,239,396,2619,18,6.61,10.96,201.5
Chattanooga (SoCon),11,6-5,191,328,2217,12,6.76,11.61,201.5
Stetson (Pioneer),10,8-2,142,280,2018,18,7.21,14.21,201.8
Towson (CAA),12,7-5,173,325,2427,18,7.47,14.03,202.3
Cornell (Ivy League),10,3-7,147,272,2026,12,7.45,13.78,202.6
Florida A&M (MEAC),11,6-5,185,335,2232,12,6.66,12.06,202.9
Gardner-Webb (Big South),11,3-8,179,294,2246,17,7.64,12.55,204.2
Samford (SoCon),11,6-5,189,330,2268,16,6.87,12.00,206.2
Morgan St. (MEAC),11,4-7,168,338,2291,15,6.78,13.64,208.3
Holy Cross (Patriot),11,5-6,213,348,2299,20,6.61,10.79,209.0
Wagner (NEC),11,4-7,170,309,2301,24,7.45,13.54,209.2
Jackson St. (SWAC),10,5-5,191,327,2092,15,6.40,10.95,209.2
Austin Peay (OVC),11,5-6,194,356,2328,21,6.54,12.00,211.6
Morehead St. (Pioneer),11,3-8,155,278,2331,25,8.38,15.04,211.9
Bethune-Cookman (MEAC),12,7-5,194,370,2546,18,6.88,13.12,212.2
Southern U. (SWAC),11,7-4,207,356,2334,13,6.56,11.28,212.2
Montana St. (Big Sky),13,8-5,226,385,2775,13,7.21,12.28,213.5
Grambling (SWAC),11,6-5,213,366,2380,23,6.50,11.17,216.4
N.C. Central (MEAC),11,5-6,182,323,2383,24,7.38,13.09,216.6
Delaware (CAA),12,7-5,216,368,2600,12,7.07,12.04,216.7
Bucknell (Patriot),11,1-10,171,299,2384,13,7.97,13.94,216.7
Harvard (Ivy League),10,6-4,168,310,2169,10,7.00,12.91,216.9
Butler (Pioneer),11,4-7,174,279,2392,22,8.57,13.75,217.5
Fordham (Patriot),11,2-9,180,299,2395,15,8.01,13.31,217.7
Howard (MEAC),10,4-6,187,332,2185,16,6.58,11.68,218.5
ETSU (SoCon),12,8-4,236,401,2626,11,6.55,11.13,218.8
UAlbany (CAA),11,3-8,198,328,2410,19,7.35,12.17,219.1
South Dakota (MVFC),11,4-7,213,357,2411,25,6.75,11.32,219.2
Eastern Ky. (OVC),11,7-4,222,397,2411,21,6.07,10.86,219.2
Sam Houston (Southland),11,6-5,195,360,2414,16,6.71,12.38,219.5
Lehigh (Patriot),11,3-8,165,307,2416,17,7.87,14.64,219.6
Marist (Pioneer),11,5-6,203,345,2435,17,7.06,12.00,221.4
Yale (Ivy League),10,5-5,144,269,2220,17,8.25,15.42,222.0
Portland St. (Big Sky),11,4-7,164,292,2449,24,8.39,14.93,222.6
Sacramento St. (Big Sky),10,2-8,195,296,2227,13,7.52,11.42,222.7
Bryant (NEC),11,6-5,175,296,2459,23,8.31,14.05,223.5
Mississippi Val. (SWAC),11,1-10,178,300,2464,27,8.21,13.84,224.0
Richmond (CAA),11,4-7,178,302,2478,23,8.21,13.92,225.3
Central Conn. St. (NEC),11,6-5,210,370,2493,17,6.74,11.87,226.6
Dayton (Pioneer),11,6-5,191,312,2494,22,7.99,13.06,226.7
Eastern Wash. (Big Sky),15,12-3,323,534,3403,19,6.37,10.54,226.9
SFA (Southland),10,2-8,173,314,2289,22,7.29,13.23,228.9
Jacksonville (Pioneer),10,2-8,175,259,2289,22,8.84,13.08,228.9
Northern Colo. (Big Sky),11,2-9,206,319,2518,17,7.89,12.22,228.9
UNI (MVFC),13,7-6,244,394,3015,18,7.65,12.36,231.9
Nicholls (Southland),13,9-4,263,444,3016,20,6.79,11.47,232.0
Valparaiso (Pioneer),11,2-9,175,286,2553,26,8.93,14.59,232.1
Indiana St. (MVFC),11,7-4,229,358,2559,18,7.15,11.17,232.6
Maine (CAA),14,10-4,249,501,3274,28,6.53,13.15,233.9
Brown (Ivy League),10,1-9,199,296,2361,23,7.98,11.86,236.1
McNeese (Southland),11,6-5,229,405,2601,20,6.42,11.36,236.5
North Dakota (FCS Independent),11,6-5,218,382,2615,14,6.85,12.00,237.7
Montana (Big Sky),11,6-5,221,386,2619,17,6.78,11.85,238.1
UT Martin (OVC),11,2-9,189,311,2626,23,8.44,13.89,238.7
Texas Southern (SWAC),11,2-9,229,370,2627,22,7.10,11.47,238.8
Monmouth (Big South),11,8-3,211,371,2639,24,7.11,12.51,239.9
Columbia (Ivy League),10,6-4,162,297,2404,16,8.09,14.84,240.4
Idaho (Big Sky),11,4-7,221,350,2664,27,7.61,12.05,242.2
VMI (SoCon),11,1-10,194,309,2687,24,8.70,13.85,244.3
UC Davis (Big Sky),13,10-3,246,435,3204,22,7.37,13.02,246.5
Idaho St. (Big Sky),11,6-5,244,398,2713,22,6.82,11.12,246.6
Robert Morris (NEC),11,2-9,196,312,2735,20,8.77,13.95,248.6
Missouri St. (MVFC),11,4-7,228,351,2745,29,7.82,12.04,249.5
San Diego (Pioneer),12,9-3,213,401,3003,18,7.49,14.10,250.3
Furman (SoCon),10,6-4,206,327,2507,21,7.67,12.17,250.7
The Citadel (SoCon),11,5-6,218,330,2785,20,8.44,12.78,253.2
Mercer (SoCon),11,5-6,227,352,2864,28,8.14,12.62,260.4
Western Caro. (SoCon),11,3-8,224,350,2877,24,8.22,12.84,261.5
Southern Ill. (MVFC),11,2-9,194,340,2883,25,8.48,14.86,262.1
Murray St. (OVC),11,5-6,268,417,2891,23,6.93,10.79,262.8
Northwestern St. (Southland),11,5-6,227,394,2968,29,7.53,13.07,269.8
Southern Utah (Big Sky),11,1-10,194,314,2987,30,9.51,15.40,271.5
Abilene Christian (Southland),11,6-5,243,433,2990,21,6.91,12.30,271.8
Houston Christian (Southland),11,1-10,231,362,3016,33,8.33,13.06,274.2
Southeastern La. (Southland),11,4-7,253,400,3026,22,7.57,11.96,275.1
Eastern Ill. (OVC),11,3-8,232,363,3033,27,8.36,13.07,275.7
Davidson (Pioneer),11,6-5,204,348,3110,31,8.94,15.25,282.7
Tennessee St. (OVC),9,4-5,201,325,2587,23,7.96,12.87,287.4
Tennessee Tech (OVC),11,1-10,247,342,3179,30,9.30,12.87,289.0
Central Ark. (Southland),11,6-5,247,424,3196,19,7.54,12.94,290.5
Lamar University (Southland),12,7-5,267,500,3532,25,7.06,13.23,294.3
Southeast Mo. St. (OVC),13,9-4,301,526,3835,34,7.29,12.74,295.0
UIW (Southland),11,6-5,244,394,3248,30,8.24,13.31,295.3
Ark.-Pine Bluff (SWAC),11,2-9,180,297,3276,30,11.03,18.20,297.8
North Ala. (FCS Independent),10,7-3,173,279,2109,18,7.56,12.19,210.9
