Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Davidson (Pioneer),11,6-5,655,4713,7.20,55,428.5
Kennesaw St. (Big South),13,11-2,765,4588,6.00,57,352.9
Jacksonville (Pioneer),10,2-8,561,3453,6.16,36,345.3
Cal Poly (Big Sky),11,5-6,754,3639,4.83,28,330.8
Wofford (SoCon),13,9-4,663,4052,6.11,38,311.7
Princeton (Ivy League),10,10-0,457,2955,6.47,40,295.5
North Dakota St. (MVFC),15,15-0,670,4293,6.41,54,286.2
Alcorn (SWAC),13,9-4,594,3715,6.25,32,285.8
The Citadel (SoCon),11,5-6,662,3120,4.71,32,283.6
Eastern Wash. (Big Sky),15,12-3,580,3839,6.62,41,255.9
Dartmouth (Ivy League),10,9-1,442,2547,5.76,26,254.7
Nicholls (Southland),13,9-4,605,3208,5.30,32,246.8
Lamar University (Southland),12,7-5,615,2902,4.72,27,241.8
Indiana St. (MVFC),11,7-4,521,2656,5.10,30,241.5
Sacred Heart (NEC),11,7-4,482,2652,5.50,26,241.1
Austin Peay (OVC),11,5-6,485,2613,5.39,24,237.5
Montana St. (Big Sky),13,8-5,545,3014,5.53,37,231.8
South Dakota St. (MVFC),13,10-3,466,2991,6.42,37,230.1
North Dakota (FCS Independent),11,6-5,489,2481,5.07,20,225.5
Dayton (Pioneer),11,6-5,419,2470,5.89,32,224.5
Central Conn. St. (NEC),11,6-5,417,2460,5.90,32,223.6
Monmouth (Big South),11,8-3,411,2387,5.81,28,217.0
Southern Ill. (MVFC),11,2-9,494,2361,4.78,20,214.6
Western Caro. (SoCon),11,3-8,446,2306,5.17,19,209.6
Idaho St. (Big Sky),11,6-5,477,2285,4.79,22,207.7
Eastern Ky. (OVC),11,7-4,524,2246,4.29,21,204.2
Harvard (Ivy League),10,6-4,397,2038,5.13,19,203.8
Furman (SoCon),10,6-4,490,2038,4.16,19,203.8
Prairie View (SWAC),11,5-6,399,2219,5.56,22,201.7
Stony Brook (CAA),12,7-5,523,2407,4.60,20,200.6
Jacksonville St. (OVC),13,9-4,514,2601,5.06,29,200.1
Illinois St. (MVFC),11,6-5,418,2199,5.26,22,199.9
Elon (CAA),11,6-5,480,2195,4.57,22,199.5
Morehead St. (Pioneer),11,3-8,467,2174,4.66,25,197.6
Hampton (FCS Independent),10,7-3,394,1960,4.97,18,196.0
Portland St. (Big Sky),11,4-7,493,2137,4.33,23,194.3
Howard (MEAC),10,4-6,440,1928,4.38,20,192.8
Colgate (Patriot),12,10-2,513,2287,4.46,28,190.6
Towson (CAA),12,7-5,480,2280,4.75,18,190.0
Southern Utah (Big Sky),11,1-10,464,2067,4.45,23,187.9
Delaware St. (MEAC),11,3-8,503,2067,4.11,10,187.9
Sacramento St. (Big Sky),10,2-8,383,1876,4.90,18,187.6
South Carolina St. (MEAC),11,5-6,488,2018,4.14,20,183.5
James Madison (CAA),13,9-4,510,2383,4.67,28,183.3
Northern Ariz. (Big Sky),10,4-6,433,1827,4.22,15,182.7
Southern U. (SWAC),11,7-4,439,1974,4.50,17,179.5
Ark.-Pine Bluff (SWAC),11,2-9,473,1972,4.17,14,179.3
Youngstown St. (MVFC),11,4-7,462,1967,4.26,14,178.8
Duquesne (NEC),13,9-4,559,2320,4.15,28,178.5
Southeast Mo. St. (OVC),13,9-4,473,2305,4.87,27,177.3
Grambling (SWAC),11,6-5,422,1938,4.59,16,176.2
N.C. A&T (MEAC),12,10-2,442,2098,4.75,20,174.8
Campbell (Big South),11,6-5,438,1856,4.24,19,168.7
N.C. Central (MEAC),11,5-6,392,1856,4.73,19,168.7
Charleston So. (Big South),11,5-6,417,1853,4.44,16,168.5
Bethune-Cookman (MEAC),12,7-5,421,1996,4.74,23,166.3
UC Davis (Big Sky),13,10-3,447,2159,4.83,27,166.1
Morgan St. (MEAC),11,4-7,474,1812,3.82,11,164.7
Montana (Big Sky),11,6-5,370,1806,4.88,20,164.2
Yale (Ivy League),10,5-5,375,1639,4.37,19,163.9
Stetson (Pioneer),10,8-2,392,1632,4.16,20,163.2
Penn (Ivy League),10,6-4,400,1619,4.05,12,161.9
Abilene Christian (Southland),11,6-5,378,1770,4.68,19,160.9
UIW (Southland),11,6-5,383,1751,4.57,18,159.2
Florida A&M (MEAC),11,6-5,375,1741,4.64,15,158.3
