Kickoff Return Def Rank,Team,Games,Win-Loss,Opp Kickoff Returns,Kickoff Touchbacks,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
100,FIU (C-USA),12,4-8,18,23,398,0,22.11
101,BYU (FBS Independent),12,7-5,28,33,621,1,22.18
102,New Mexico St. (FBS Independent),12,6-6,29,24,644,0,22.21
103,Auburn (SEC),12,5-7,31,16,694,1,22.39
104,TCU (Big 12),13,12-1,44,42,988,0,22.45
105,Wyoming (Mountain West),12,7-5,26,27,584,0,22.46
106,North Carolina (ACC),13,9-4,23,53,517,0,22.48
107,Western Mich. (MAC),12,5-7,29,16,654,0,22.55
108,Maryland (Big Ten),12,7-5,17,47,385,0,22.65
109,Southern Miss. (Sun Belt),12,6-6,23,35,531,0,23.09
110,Indiana (Big Ten),12,4-8,18,30,417,0,23.17
111,UAB (C-USA),12,6-6,26,38,607,0,23.35
112,Arkansas (SEC),12,6-6,8,58,187,0,23.38
113,Georgia St. (Sun Belt),12,4-8,14,47,329,0,23.5
114,Rice (C-USA),12,5-7,22,31,519,0,23.59
115,Buffalo (MAC),12,6-6,23,40,543,1,23.61
116,Oregon St. (Pac-12),12,9-3,30,35,714,1,23.8
117,Oregon (Pac-12),12,9-3,22,56,524,0,23.82
118,Kansas (Big 12),12,6-6,21,41,501,0,23.86
118,Kentucky (SEC),12,7-5,14,43,334,0,23.86
120,LSU (SEC),13,9-4,27,42,645,0,23.89
121,Baylor (Big 12),12,6-6,15,56,361,1,24.07
122,Memphis (AAC),12,6-6,32,31,775,1,24.22
123,Virginia (ACC),10,3-7,13,25,324,0,24.92
124,Rutgers (Big Ten),12,4-8,23,17,577,2,25.09
125,Colorado (Pac-12),12,1-11,10,34,255,0,25.5
126,SMU (AAC),12,7-5,32,44,832,0,26.0
127,Oklahoma (Big 12),12,6-6,16,54,420,0,26.25
128,Virginia Tech (ACC),11,3-8,13,32,353,1,27.15
129,Boston College (ACC),12,3-9,21,16,608,1,28.95
130,ULM (Sun Belt),12,4-8,22,22,649,1,29.5
131,Texas A&M (SEC),12,5-7,6,47,200,1,33.33
