Redzone Def Rank,Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
114,Virginia Tech (ACC),11,3-8,38,11,8,15,34,0.895
116,Nebraska (Big Ten),12,4-8,41,16,11,10,37,0.902
116,Oklahoma St. (Big 12),12,7-5,41,13,11,13,37,0.902
118,Iowa St. (Big 12),12,4-8,32,7,15,7,29,0.906
119,Ole Miss (SEC),12,8-4,44,13,17,10,40,0.909
120,Baylor (Big 12),12,6-6,45,20,10,11,41,0.911
121,Ohio St. (Big Ten),12,11-1,23,6,8,7,21,0.913
122,Missouri (SEC),12,6-6,35,16,7,9,32,0.914
123,NIU (MAC),12,3-9,47,14,18,11,43,0.915
124,Arkansas St. (Sun Belt),12,3-9,36,17,10,6,33,0.917
125,Utah St. (Mountain West),12,6-6,43,12,17,11,40,0.93
126,New Mexico (Mountain West),12,2-10,29,13,4,10,27,0.931
127,Colorado St. (Mountain West),12,3-9,44,23,10,8,41,0.932
128,Eastern Mich. (MAC),12,8-4,46,17,14,12,43,0.935
129,Notre Dame (FBS Independent),12,8-4,33,14,12,5,31,0.939
130,Houston (AAC),12,7-5,51,15,19,14,48,0.941
131,Rutgers (Big Ten),12,4-8,41,21,8,10,39,0.951
