Def Rank,Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
96,West Virginia (Big 12),12,5-7,820,4947,6.03,46,50,412.2
97,Coastal Carolina (Sun Belt),12,9-3,771,4948,6.42,43,44,412.3
98,Middle Tenn. (C-USA),12,7-5,887,4959,5.59,41,44,413.2
99,Tulsa (AAC),12,5-7,846,4971,5.88,41,47,414.2
100,Nebraska (Big Ten),12,4-8,907,4973,5.48,40,41,414.4
101,Texas Tech (Big 12),12,7-5,857,4974,5.8,37,41,414.5
102,Southern California (Pac-12),13,11-2,857,5396,6.3,48,48,415.1
103,Florida (SEC),12,6-6,838,4990,5.95,42,44,415.8
104,Michigan St. (Big Ten),12,5-7,860,4998,5.81,40,41,416.5
105,Bowling Green (MAC),12,6-6,868,5048,5.82,48,51,420.7
106,Arizona St. (Pac-12),12,3-9,841,5058,6.01,45,46,421.5
107,Fla. Atlantic (C-USA),12,5-7,845,5097,6.03,40,41,424.8
108,ULM (Sun Belt),12,4-8,829,5133,6.19,46,53,427.8
109,California (Pac-12),12,4-8,883,5143,5.82,42,43,428.6
110,Houston (AAC),12,7-5,864,5160,5.97,49,51,430.0
111,Kent St. (MAC),12,5-7,898,5199,5.79,42,42,433.2
112,Stanford (Pac-12),12,3-9,794,5209,6.56,47,50,434.1
113,Ohio (MAC),13,9-4,908,5686,6.26,45,46,437.4
114,Hawaii (Mountain West),13,3-10,863,5696,6.6,49,55,438.2
115,North Carolina (ACC),13,9-4,933,5697,6.11,52,53,438.2
116,Oklahoma St. (Big 12),12,7-5,919,5290,5.76,44,44,440.8
117,Old Dominion (Sun Belt),12,3-9,927,5311,5.73,36,37,442.6
118,SMU (AAC),12,7-5,880,5349,6.08,53,53,445.8
119,Indiana (Big Ten),12,4-8,916,5391,5.89,49,53,449.2
120,Oklahoma (Big 12),12,6-6,971,5406,5.57,45,45,450.5
121,Kansas (Big 12),12,6-6,911,5419,5.95,51,51,451.6
122,FIU (C-USA),12,4-8,897,5425,6.05,55,58,452.1
123,Arkansas (SEC),12,6-6,846,5444,6.43,43,44,453.7
124,North Texas (C-USA),13,7-6,987,5981,6.06,46,51,460.1
125,Vanderbilt (SEC),12,5-7,796,5536,6.95,54,56,461.3
126,Arizona (Pac-12),12,5-7,850,5612,6.6,58,60,467.7
127,Louisiana Tech (C-USA),12,3-9,863,5625,6.52,54,58,468.8
128,Charlotte (C-USA),12,3-9,820,5805,7.08,57,62,483.8
129,Ga. Southern (Sun Belt),12,6-6,894,5954,6.66,46,47,496.2
130,Colorado (Pac-12),12,1-11,850,6117,7.2,70,72,509.8
131,South Fla. (AAC),12,1-11,835,6199,7.42,62,64,516.6
