Rushing Off Rank,Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
82,Texas A&M (SEC),12,5-7,366,1698,4.64,12,141.5
83,Ga. Southern (Sun Belt),12,6-6,350,1689,4.83,23,140.8
84,Tulsa (AAC),12,5-7,429,1664,3.88,18,138.7
85,Ohio (MAC),13,9-4,455,1802,3.96,22,138.6
86,Hawaii (Mountain West),13,3-10,406,1784,4.39,16,137.2
87,UNLV (Mountain West),12,5-7,402,1645,4.09,18,137.1
88,Cincinnati (AAC),12,9-3,388,1642,4.23,19,136.8
89,Western Mich. (MAC),12,5-7,465,1635,3.52,14,136.2
90,Arizona St. (Pac-12),12,3-9,385,1623,4.22,21,135.2
91,Georgia Tech (ACC),12,5-7,426,1592,3.74,13,132.7
92,Wake Forest (ACC),12,7-5,470,1590,3.38,16,132.5
93,Oklahoma St. (Big 12),12,7-5,450,1580,3.51,20,131.7
94,Rutgers (Big Ten),12,4-8,431,1538,3.57,11,128.2
95,Miami (FL) (ACC),12,5-7,414,1537,3.71,12,128.1
96,Fresno St. (Mountain West),13,9-4,434,1630,3.76,26,125.4
97,Northwestern (Big Ten),12,1-11,469,1501,3.2,11,125.1
98,Louisiana Tech (C-USA),12,3-9,399,1497,3.75,14,124.8
99,Southern Miss. (Sun Belt),12,6-6,440,1481,3.37,13,123.4
100,Nebraska (Big Ten),12,4-8,420,1480,3.52,17,123.3
100,South Carolina (SEC),12,8-4,389,1480,3.8,27,123.3
102,New Mexico (Mountain West),12,2-10,439,1478,3.37,12,123.2
103,Virginia (ACC),10,3-7,329,1231,3.74,13,123.1
104,Middle Tenn. (C-USA),12,7-5,423,1477,3.49,20,123.1
105,Purdue (Big Ten),13,8-5,430,1600,3.72,17,123.1
106,Troy (Sun Belt),13,11-2,455,1591,3.5,20,122.4
107,NC State (ACC),12,8-4,424,1452,3.42,8,121.0
108,ULM (Sun Belt),12,4-8,418,1448,3.46,16,120.7
109,Kentucky (SEC),12,7-5,432,1443,3.34,9,120.2
110,Nevada (Mountain West),12,2-10,427,1429,3.35,19,119.1
111,Charlotte (C-USA),12,3-9,371,1393,3.75,13,116.1
112,Michigan St. (Big Ten),12,5-7,361,1356,3.76,16,113.0
113,Washington St. (Pac-12),12,7-5,339,1344,3.96,16,112.0
114,Indiana (Big Ten),12,4-8,396,1330,3.36,15,110.8
115,Virginia Tech (ACC),11,3-8,388,1212,3.12,15,110.2
116,Colorado (Pac-12),12,1-11,387,1300,3.36,11,108.3
117,Iowa St. (Big 12),12,4-8,393,1296,3.3,10,108.0
118,Stanford (Pac-12),12,3-9,376,1288,3.43,14,107.3
119,FIU (C-USA),12,4-8,356,1260,3.54,11,105.0
120,Texas St. (Sun Belt),12,4-8,383,1249,3.26,9,104.1
121,Bowling Green (MAC),12,6-6,394,1195,3.03,8,99.6
122,Iowa (Big Ten),12,7-5,399,1167,2.92,12,97.2
123,California (Pac-12),12,4-8,319,1159,3.63,10,96.6
124,San Jose St. (Mountain West),11,7-4,318,1017,3.2,18,92.5
125,Old Dominion (Sun Belt),12,3-9,311,1107,3.56,8,92.2
126,Akron (MAC),12,2-10,373,1075,2.88,16,89.6
127,Colorado St. (Mountain West),12,3-9,385,1068,2.77,4,89.0
128,Arkansas St. (Sun Belt),12,3-9,381,1058,2.78,16,88.2
129,Temple (AAC),12,3-9,318,989,3.11,11,82.4
130,Mississippi St. (SEC),12,8-4,273,946,3.47,12,78.8
131,Boston College (ACC),12,3-9,363,758,2.09,6,63.2
