Pass Def Rank,Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
113,Washington St. (Pac-12),12,7-5,262,424,3200,17,7.55,12.21,266.7
114,Oklahoma St. (Big 12),12,7-5,270,472,3234,23,6.85,11.98,269.5
115,North Texas (C-USA),13,7-6,296,465,3532,23,7.6,11.93,271.7
116,Wake Forest (ACC),12,7-5,251,418,3276,28,7.84,13.05,273.0
117,Kent St. (MAC),12,5-7,281,402,3278,23,8.15,11.67,273.2
118,Arkansas (SEC),12,6-6,238,393,3287,19,8.36,13.81,273.9
119,Indiana (Big Ten),12,4-8,262,409,3290,30,8.04,12.56,274.2
120,UCLA (Pac-12),12,9-3,297,443,3308,24,7.47,11.14,275.7
121,North Carolina (ACC),13,9-4,294,452,3593,25,7.95,12.22,276.4
122,Charlotte (C-USA),12,3-9,240,343,3342,28,9.74,13.92,278.5
123,California (Pac-12),12,4-8,300,457,3354,23,7.34,11.18,279.5
124,Coastal Carolina (Sun Belt),12,9-3,229,364,3384,23,9.3,14.78,282.0
124,South Fla. (AAC),12,1-11,275,375,3384,25,9.02,12.31,282.0
126,Houston (AAC),12,7-5,283,448,3428,31,7.65,12.11,285.7
127,Tennessee (SEC),12,10-2,303,476,3444,21,7.24,11.37,287.0
128,Vanderbilt (SEC),12,5-7,257,399,3486,29,8.74,13.56,290.5
129,Middle Tenn. (C-USA),12,7-5,275,467,3496,27,7.49,12.71,291.3
130,Ohio (MAC),13,9-4,315,481,3818,28,7.94,12.12,293.7
131,East Carolina (AAC),12,7-5,271,411,3582,26,8.72,13.22,298.5
