Tackle for Loss Rank,Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
113,Northwestern (Big Ten),12,1-11,42,26,213,55,4.6
115,Arizona (Pac-12),12,5-7,41,26,177,54,4.5
115,Eastern Mich. (MAC),12,8-4,42,24,220,54,4.5
115,Miami (OH) (MAC),12,6-6,43,22,224,54,4.5
115,South Carolina (SEC),12,8-4,42,24,230,54,4.5
115,UCLA (Pac-12),12,9-3,43,22,256,54,4.5
120,California (Pac-12),12,4-8,38,30,201,53,4.4
120,Rice (C-USA),12,5-7,42,22,230,53,4.4
122,Army West Point (FBS Independent),12,6-6,31,42,187,52,4.3
123,Kentucky (SEC),12,7-5,36,30,216,51,4.2
124,Arizona St. (Pac-12),12,3-9,39,22,182,50,4.2
125,Hawaii (Mountain West),13,3-10,41,26,198,54,4.2
126,Colorado (Pac-12),12,1-11,41,16,166,49,4.1
126,Oregon (Pac-12),12,9-3,38,22,208,49,4.1
128,Ga. Southern (Sun Belt),12,6-6,35,24,158,47,3.9
129,BYU (FBS Independent),12,7-5,34,22,188,45,3.8
130,North Carolina (ACC),13,9-4,32,30,180,47,3.6
131,Minnesota (Big Ten),12,8-4,35,12,147,41,3.4
