Redzone Off Rank,Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
106,North Carolina (ACC),13,9-4,66,19,23,10,52,0.788
107,Kentucky (SEC),12,7-5,47,8,17,12,37,0.787
108,BYU (FBS Independent),12,7-5,42,10,15,8,33,0.786
108,New Mexico (Mountain West),12,2-10,28,11,2,9,22,0.786
108,Old Dominion (Sun Belt),12,3-9,28,5,9,8,22,0.786
108,Rutgers (Big Ten),12,4-8,28,7,8,7,22,0.786
112,Louisiana (Sun Belt),12,6-6,41,9,14,9,32,0.78
113,Bowling Green (MAC),12,6-6,36,7,12,9,28,0.778
114,Kent St. (MAC),12,5-7,49,20,7,11,38,0.776
115,UAB (C-USA),12,6-6,48,19,9,9,37,0.771
116,Coastal Carolina (Sun Belt),12,9-3,38,16,9,4,29,0.763
117,Florida (SEC),12,6-6,50,21,10,7,38,0.76
118,Colorado (Pac-12),12,1-11,29,9,6,7,22,0.759
119,Northwestern (Big Ten),12,1-11,33,11,7,7,25,0.758
120,Virginia (ACC),10,3-7,32,12,4,8,24,0.75
121,Indiana (Big Ten),12,4-8,43,10,12,10,32,0.744
122,Central Mich. (MAC),12,4-8,42,19,10,2,31,0.738
123,Western Mich. (MAC),12,5-7,33,11,3,10,24,0.727
124,Michigan St. (Big Ten),12,5-7,39,15,10,3,28,0.718
125,Louisiana Tech (C-USA),12,3-9,49,11,12,12,35,0.714
126,Georgia Tech (ACC),12,5-7,38,10,5,12,27,0.711
127,Iowa St. (Big 12),12,4-8,44,9,13,9,31,0.705
128,Utah St. (Mountain West),12,6-6,37,10,8,8,26,0.703
129,Marshall (Sun Belt),12,8-4,46,14,8,10,32,0.696
130,FIU (C-USA),12,4-8,34,9,10,4,23,0.676
131,Colorado St. (Mountain West),12,3-9,23,2,3,7,12,0.522
